Title,Link,pubDate,Description,Source
Researchers compile largest-ever photo database of Amazon wildlife - Mongabay.com,https://news.mongabay.com/2022/05/researchers-compile-largest-ever-photo-database-of-amazon-wildlife/,2022/05/20,Researchers compile largest-ever photo database of Amazon wildlife&nbsp;&nbsp;Mongabay.com,Mongabay.com
Financing conservation by valuing carbon services produced by wild animals | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/doi/10.1073/pnas.2120426119,2022/05/25,Financing conservation by valuing carbon services produced by wild animals | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org
The economic importance of biodiversity | JP Morgan Asset Management - J.P. Morgan & Co.,https://am.jpmorgan.com/us/en/asset-management/adv/insights/portfolio-insights/sustainable-investing/the-economic-importance-of-biodiversity/,2022/05/09,The economic importance of biodiversity | JP Morgan Asset Management&nbsp;&nbsp;J.P. Morgan & Co.,J.P. Morgan & Co.
Photos of Amazon animals supply extensive collection of biodiversity data - Mirage News,https://www.miragenews.com/photos-of-amazon-animals-supply-extensive-792797/,2022/06/01,Photos of Amazon animals supply extensive collection of biodiversity data&nbsp;&nbsp;Mirage News,Mirage News
This Lion Safari Gives Travelers a Deeper Look at Wildlife Conservation in Africa - AFAR Media,https://www.afar.com/magazine/how-safari-company-andbeyond-is-helping-lions-thrive,2022/05/18,This Lion Safari Gives Travelers a Deeper Look at Wildlife Conservation in Africa&nbsp;&nbsp;AFAR Media,AFAR Media
"Offshore wind developers, conservation groups collaborate to protect birds - Port City Daily",https://portcitydaily.com/local-news/2022/05/29/offshore-wind-developers-conservation-groups-collaborate-to-protect-birds/,2022/05/29,"Offshore wind developers, conservation groups collaborate to protect birds&nbsp;&nbsp;Port City Daily",Port City Daily
"May 28: Flying salamanders, headbutting animals and brain damage, undersea cable sensors and more… - CBC.ca",https://www.cbc.ca/radio/quirks/may-28-flying-salamanders-headbutting-animals-and-brain-damage-undersea-cable-sensors-and-more-1.6467018,2022/05/27,"May 28: Flying salamanders, headbutting animals and brain damage, undersea cable sensors and more…&nbsp;&nbsp;CBC.ca",CBC.ca
Researchers Put Together the Largest Photo Database of Amazon's Wildlife - The Swaddle,https://theswaddle.com/researchers-put-together-the-largest-photo-database-of-amazons-wildlife/,2022/05/25,Researchers Put Together the Largest Photo Database of Amazon's Wildlife&nbsp;&nbsp;The Swaddle,The Swaddle
Acoustic sensors to pinpoint shooters in an urban setting - Verve Times,https://vervetimes.com/acoustic-sensors-to-pinpoint-shooters-in-an-urban-setting/,2022/05/24,Acoustic sensors to pinpoint shooters in an urban setting&nbsp;&nbsp;Verve Times,Verve Times
International Day for Biological Diversity: Israeli tech making a difference - Geektime,https://www.geektime.com/international-day-for-biological-diversity-israeli-tech/,2022/05/22,International Day for Biological Diversity: Israeli tech making a difference&nbsp;&nbsp;Geektime,Geektime
Preserving Biodiversity: Islamia College leads the way - Greater Kashmir,https://www.greaterkashmir.com/kashmir/preserving-biodiversity-islamia-college-leads-the-way,2022/05/29,Preserving Biodiversity: Islamia College leads the way&nbsp;&nbsp;Greater Kashmir,Greater Kashmir
"8 Desert Animals You Should Know About, from the Sand Cat to Kangaroo Rat - Brightly",https://brightly.eco/desert-animals/,2022/05/11,"8 Desert Animals You Should Know About, from the Sand Cat to Kangaroo Rat&nbsp;&nbsp;Brightly",Brightly
Biodiversity and infrastructure interact to drive tourism to and within Costa Rica | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/doi/10.1073/pnas.2107662119,2022/03/04,Biodiversity and infrastructure interact to drive tourism to and within Costa Rica | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org
"At GWF 2022, Jane Goodall and Jack Dangermond Call for Collaboration for a Sustainable Future USA - English - USA - English - PR Newswire",https://www.prnewswire.com/in/news-releases/at-gwf-2022-jane-goodall-and-jack-dangermond-call-for-collaboration-for-a-sustainable-future-819703757.html,2022/05/11,"At GWF 2022, Jane Goodall and Jack Dangermond Call for Collaboration for a Sustainable Future USA - English - USA - English&nbsp;&nbsp;PR Newswire",PR Newswire
Drones and tech keeping track of koalas - 7NEWS,https://7news.com.au/news/wildlife/drones-and-tech-keeping-track-of-koalas-c-7056039,2022/06/04,Drones and tech keeping track of koalas&nbsp;&nbsp;7NEWS,7NEWS
Why biodiversity—and global collaboration—is more important than it's ever been – The NAU Review - NAU News,https://news.nau.edu/un-biodiversity-lab/,2021/10/20,Why biodiversity—and global collaboration—is more important than it's ever been – The NAU Review&nbsp;&nbsp;NAU News,NAU News
Emerging Marine Monitoring Technologies Enable More Effective Management of Protected Areas - The Pew Charitable Trusts,https://www.pewtrusts.org/research-and-analysis/articles/2021/09/27/emerging-marine-monitoring-technologies-enable-more-effective-management-of-protected-areas,2021/09/27,Emerging Marine Monitoring Technologies Enable More Effective Management of Protected Areas&nbsp;&nbsp;The Pew Charitable Trusts,The Pew Charitable Trusts
"6G component provides speed, efficiency needed for next-gen network — ScienceDaily - Verve Times",https://vervetimes.com/6g-component-provides-speed-efficiency-needed-for-next-gen-network-sciencedaily/,2022/06/02,"6G component provides speed, efficiency needed for next-gen network — ScienceDaily&nbsp;&nbsp;Verve Times",Verve Times
New monitoring method may help prevent biodiversity loss - Earth.com,https://www.earth.com/news/new-monitoring-method-may-help-prevent-biodiversity-loss/,2022/04/29,New monitoring method may help prevent biodiversity loss&nbsp;&nbsp;Earth.com,Earth.com
"Campaign on Butterflies diversity, conservation organized at Raika Environmental Park - India Education Diary",https://indiaeducationdiary.in/campaign-on-butterflies-diversity-conservation-organized-at-raika-environmental-park/,2022/05/27,"Campaign on Butterflies diversity, conservation organized at Raika Environmental Park&nbsp;&nbsp;India Education Diary",India Education Diary
