Title,Link,pubDate,Description,Source,Tag
CofC Offers Applications of Artificial Intelligence Workshop - The College Today,https://today.cofc.edu/2022/06/15/cofc-offers-applications-of-artificial-intelligence-workshop/,6/15/2022,CofC Offers Applications of Artificial Intelligence Workshop&nbsp;&nbsp;The College Today,The College Today,AI-General
Can conservation technology help save our rapidly disappearing species? | Problem Solved - Mongabay.com,https://news.mongabay.com/2022/06/can-conservation-technology-help-save-our-rapidly-disappearing-species-problem-solved/,6/8/2022,Can conservation technology help save our rapidly disappearing species? | Problem Solved&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-General
Satellite images and artificial intelligence systems facilitate whales census and conservation work - MercoPress,https://en.mercopress.com/2022/06/16/satellite-images-and-artificial-intelligence-systems-facilitate-whales-census-and-conservation-work,6/16/2022,Satellite images and artificial intelligence systems facilitate whales census and conservation work&nbsp;&nbsp;MercoPress,MercoPress,AI-General
A self-cloning sea grass is the world's biggest plant: 3 stories you may have missed - Conservation International,https://www.conservation.org/blog/a-self-cloning-sea-grass-is-the-world-s-biggest-plant-3-stories-you-may-have-missed,6/13/2022,A self-cloning sea grass is the world's biggest plant: 3 stories you may have missed&nbsp;&nbsp;Conservation International,Conservation International,AI-General
Newsletter 2022-06-16 - Mongabay.com,https://news.mongabay.com/newsletter/newsletter-2022-06-16/,6/16/2022,Newsletter 2022-06-16&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-General
Singapore develops Asia's first AI-based mobile app for shark and ray fin identification to combat illegal wildlife trade - Microsoft,https://news.microsoft.com/en-sg/2022/06/08/singapore-develops-asias-first-ai-based-mobile-app-for-shark-and-ray-fin-identification-to-combat-illegal-wildlife-trade/,6/8/2022,Singapore develops Asia's first AI-based mobile app for shark and ray fin identification to combat illegal wildlife trade&nbsp;&nbsp;Microsoft,Microsoft,AI-General
Five ways AI is saving wildlife – from counting chimps to locating whales - The Guardian,https://www.theguardian.com/environment/2022/feb/21/five-ways-ai-is-saving-wildlife-from-counting-chimps-to-locating-whales-aoe,2/21/2022,Five ways AI is saving wildlife – from counting chimps to locating whales&nbsp;&nbsp;The Guardian,The Guardian,AI-General
Ground-breaking project to monitor well-being of wildlife using robotics and AI - University of Cape Town News,http://www.news.uct.ac.za/article/-2022-05-25-ground-breaking-project-to-monitor-well-being-of-wildlife-using-robotics-and-ai,5/25/2022,Ground-breaking project to monitor well-being of wildlife using robotics and AI&nbsp;&nbsp;University of Cape Town News,University of Cape Town News,AI-General
"Happy the Elephant Isn’t Legally a Person, Top New York Court Rules - The New York Times",https://www.nytimes.com/2022/06/14/nyregion/happy-elephant-animal-rights.html,6/14/2022,"Happy the Elephant Isn’t Legally a Person, Top New York Court Rules&nbsp;&nbsp;The New York Times",The New York Times,AI-General
How turtle-watching tours actually help conservation - National Geographic,https://www.nationalgeographic.com/travel/article/how-turtle-watching-tours-actually-help-conservation,6/8/2022,How turtle-watching tours actually help conservation&nbsp;&nbsp;National Geographic,National Geographic,AI-General
Improving biodiversity protection through artificial intelligence - Nature.com,https://www.nature.com/articles/s41893-022-00851-6,3/24/2022,Improving biodiversity protection through artificial intelligence&nbsp;&nbsp;Nature.com,Nature.com,AI-General
Aerial survey wrapping up for Southeast sea otters - KFSK,https://www.kfsk.org/2022/06/15/aerial-survey-wrapping-up-for-southeast-sea-otters/,6/15/2022,Aerial survey wrapping up for Southeast sea otters&nbsp;&nbsp;KFSK,KFSK,AI-General
How do we find shipwrecks—and who owns them? - National Geographic,https://www.nationalgeographic.com/history/article/how-do-we-find-shipwrecks-and-who-owns-them,6/16/2022,How do we find shipwrecks—and who owns them?&nbsp;&nbsp;National Geographic,National Geographic,AI-General
New near-real-time tool reveals Earth's land cover in more detail than ever before - Mongabay.com,https://news.mongabay.com/2022/06/new-near-real-time-tool-reveals-earths-land-cover-in-more-detail-than-ever-before/,6/9/2022,New near-real-time tool reveals Earth's land cover in more detail than ever before&nbsp;&nbsp;Mongabay.com,Mongabay.com,AI-General
Snake trade in Indonesia is not sustainable enough -- but it could be - Science Daily,https://www.sciencedaily.com/releases/2022/05/220520073146.htm,5/20/2022,Snake trade in Indonesia is not sustainable enough -- but it could be&nbsp;&nbsp;Science Daily,Science Daily,AI-General
AI is a powerful ally in Ireland's battle for biodiversity - Siliconrepublic.com,https://www.siliconrepublic.com/innovation/biodiversity-loss-ireland-conservation-technology-ai-analytics-data,5/18/2022,AI is a powerful ally in Ireland's battle for biodiversity&nbsp;&nbsp;Siliconrepublic.com,Siliconrepublic.com,AI-General
How Artificial Intelligence is Protecting Wildlife - BBN Times,https://www.bbntimes.com/environment/how-artificial-intelligence-is-protecting-wildlife,3/9/2022,How Artificial Intelligence is Protecting Wildlife&nbsp;&nbsp;BBN Times,BBN Times,AI-General
"Offshore wind developers, conservation groups collaborate to protect birds - Port City Daily",https://portcitydaily.com/local-news/2022/05/29/offshore-wind-developers-conservation-groups-collaborate-to-protect-birds/,5/29/2022,"Offshore wind developers, conservation groups collaborate to protect birds&nbsp;&nbsp;Port City Daily",Port City Daily,AI-General
Artificial intelligence to shape future of fishing with targeted catches - Stuff,https://www.stuff.co.nz/business/industries/128892148/artificial-intelligence-to-shape-future-of-fishing-with-targeted-catches,6/8/2022,Artificial intelligence to shape future of fishing with targeted catches&nbsp;&nbsp;Stuff,Stuff,AI-General
"Underwater videos of Taranaki reserve available to public, part of a 'game' - Stuff",https://www.stuff.co.nz/taranaki-daily-news/news/128884250/underwater-videos-of-taranaki-reserve-available-to-public-part-of-a-game,6/13/2022,"Underwater videos of Taranaki reserve available to public, part of a 'game'&nbsp;&nbsp;Stuff",Stuff,AI-General
