Title,Link,pubDate,Description,Source,Tag
Nacora Insurance Brokers Launches Integrated Marine Habitat Protection Model in Commercial Insurance - American Journal of Transportation,https://ajot.com/news/article/nacora-insurance-brokers-launches-integrated-marine-habitat-protection-model-in-commercial-insurance,6/9/2022,Nacora Insurance Brokers Launches Integrated Marine Habitat Protection Model in Commercial Insurance&nbsp;&nbsp;American Journal of Transportation,American Journal of Transportation,AI-LTS
"Nature Recovery Green Paper: 'A lot of interest' shown in UK remaining aligned to international standards, says DEFRA official - ENDS Report",https://www.endsreport.com/article/1789981/nature-recovery-green-paper-a-lot-interest-shown-uk-remaining-aligned-international-standards-says-defra-official,6/16/2022,"Nature Recovery Green Paper: 'A lot of interest' shown in UK remaining aligned to international standards, says DEFRA official&nbsp;&nbsp;ENDS Report",ENDS Report,AI-LTS
Metagenomics to characterize sediment microbial biodiversity associated with fishing exposure within the Stellwagen Bank National Marine Sanctuary | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-13409-5,6/9/2022,Metagenomics to characterize sediment microbial biodiversity associated with fishing exposure within the Stellwagen Bank National Marine Sanctuary | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-LTS
"Celsius Is Crashing, and Crypto Investors Are Spooked - The Wall Street Journal",https://www.wsj.com/articles/celsius-is-crashing-and-crypto-investors-are-spooked-11655371801,6/16/2022,"Celsius Is Crashing, and Crypto Investors Are Spooked&nbsp;&nbsp;The Wall Street Journal",The Wall Street Journal,AI-LTS
Head of People and Organisational Development - recruitment pack - Scottish Natural Heritage,https://www.nature.scot/doc/head-people-and-organisational-development-recruitment-pack,5/25/2022,Head of People and Organisational Development - recruitment pack&nbsp;&nbsp;Scottish Natural Heritage,Scottish Natural Heritage,AI-LTS
"Grenada: Maritime Economy Plan, March 2021 - GOV.UK",https://www.gov.uk/government/publications/commonwealth-marine-economies-cme-programme-grenada/grenada-maritime-economy-plan-march-2021,5/18/2022,"Grenada: Maritime Economy Plan, March 2021&nbsp;&nbsp;GOV.UK",GOV.UK,AI-LTS
Tribunal orders Town of Canmore to allow Three Sisters Mountain Village projects to move forward - CBC.ca,https://www.cbc.ca/news/canada/calgary/three-sisters-smith-creek-canmore-1.6457360,5/17/2022,Tribunal orders Town of Canmore to allow Three Sisters Mountain Village projects to move forward&nbsp;&nbsp;CBC.ca,CBC.ca,AI-LTS
"Ross Saxton: Look to land conservation, not new hunting laws, to protect wildlife - vtdigger.org",https://vtdigger.org/2022/04/18/ross-saxton-look-to-land-conservation-not-new-hunting-laws-to-protect-wildlife/,4/18/2022,"Ross Saxton: Look to land conservation, not new hunting laws, to protect wildlife&nbsp;&nbsp;vtdigger.org",vtdigger.org,AI-LTS
"Otonomo Introduces Mobility Intelligence Solutions to Advance Electric Vehicle Adoption, Mobility as a Service and Urban Planning - Yahoo Finance",https://finance.yahoo.com/news/otonomo-introduces-mobility-intelligence-solutions-070000793.html,6/15/2022,"Otonomo Introduces Mobility Intelligence Solutions to Advance Electric Vehicle Adoption, Mobility as a Service and Urban Planning&nbsp;&nbsp;Yahoo Finance",Yahoo Finance,AI-LTS
Envisioning a resilient future for biodiversity conservation in the wake of the COVID‐19 pandemic - Wiley,https://besjournals.onlinelibrary.wiley.com/doi/10.1002/pan3.10262,9/28/2021,Envisioning a resilient future for biodiversity conservation in the wake of the COVID‐19 pandemic&nbsp;&nbsp;Wiley,Wiley,AI-LTS
