Title,Link,pubDate,Description,Source,Tag
Gains in biodiversity conservation and ecosystem services from the expansion of the planet's protected areas - Science,https://www.science.org/doi/10.1126/sciadv.abl9885,6/1/2022,Gains in biodiversity conservation and ecosystem services from the expansion of the planet's protected areas&nbsp;&nbsp;Science,Science,AI-NeuralNetworks
Neural activities in music frogs reveal call variations and phylogenetic relationships within the genus Nidirana | Communications Biology - Nature.com,https://www.nature.com/articles/s42003-022-03504-8,6/6/2022,Neural activities in music frogs reveal call variations and phylogenetic relationships within the genus Nidirana | Communications Biology&nbsp;&nbsp;Nature.com,Nature.com,AI-NeuralNetworks
"Auterion announces AI Node for drones, mobile robots - Robot Report",https://www.therobotreport.com/auterion-announces-ai-node-for-drones-mobile-robots/,5/31/2022,"Auterion announces AI Node for drones, mobile robots&nbsp;&nbsp;Robot Report",Robot Report,AI-NeuralNetworks
Auterion Delivers Supercomputer Performance Onboard Drones and Mobile Robots With AI Node - AiThority,https://aithority.com/machine-learning/auterion-delivers-supercomputer-performance-onboard-drones-and-mobile-robots-with-ai-node/,5/26/2022,Auterion Delivers Supercomputer Performance Onboard Drones and Mobile Robots With AI Node&nbsp;&nbsp;AiThority,AiThority,AI-NeuralNetworks
The effects of embodying wildlife in virtual reality on conservation behaviors | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-10268-y,4/19/2022,The effects of embodying wildlife in virtual reality on conservation behaviors | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-NeuralNetworks
Biodiversity impacts and conservation implications of urban land expansion projected to 2050 | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/doi/10.1073/pnas.2117297119,3/14/2022,Biodiversity impacts and conservation implications of urban land expansion projected to 2050 | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org,AI-NeuralNetworks
These flying robots protect endangered wildlife - Science News for Students,https://www.sciencenewsforstudents.org/article/drones-protect-endangered-wildlife-ai-conservation,3/10/2022,These flying robots protect endangered wildlife&nbsp;&nbsp;Science News for Students,Science News for Students,AI-NeuralNetworks
Brain injury environment critically influences the connectivity of transplanted neurons - Science,https://www.science.org/doi/10.1126/sciadv.abg9445,6/10/2022,Brain injury environment critically influences the connectivity of transplanted neurons&nbsp;&nbsp;Science,Science,AI-NeuralNetworks
AI Experts Develop Big Data Approach for Wildlife Preservation - Unite.AI,https://www.unite.ai/ai-experts-develop-big-data-approach-for-wildlife-preservation/,2/13/2022,AI Experts Develop Big Data Approach for Wildlife Preservation&nbsp;&nbsp;Unite.AI,Unite.AI,AI-NeuralNetworks
"Remote Sensing, Neural Networks Combine to Measure Tree Height - Photonics.com",https://www.photonics.com/Articles/Remote_Sensing_Neural_Networks_Combine_to/a67980,4/29/2022,"Remote Sensing, Neural Networks Combine to Measure Tree Height&nbsp;&nbsp;Photonics.com",Photonics.com,AI-NeuralNetworks
A guide to explaining feature importance in neural networks using SHAP - Analytics India Magazine,https://analyticsindiamag.com/a-guide-to-explaining-feature-importance-in-neural-networks-using-shap/,3/22/2022,A guide to explaining feature importance in neural networks using SHAP&nbsp;&nbsp;Analytics India Magazine,Analytics India Magazine,AI-NeuralNetworks
New Protocol for Studying and Preserving Biodiversity - Lab Manager Magazine,https://www.labmanager.com/news/new-protocol-for-studying-and-preserving-biodiversity-27998,4/27/2022,New Protocol for Studying and Preserving Biodiversity&nbsp;&nbsp;Lab Manager Magazine,Lab Manager Magazine,AI-NeuralNetworks
The AI that deciphers ancient Greek graffiti - Nature.com,https://www.nature.com/articles/d41586-022-00701-7,3/9/2022,The AI that deciphers ancient Greek graffiti&nbsp;&nbsp;Nature.com,Nature.com,AI-NeuralNetworks
What is the Plateau Problem in Neural Networks and How to Fix it? - Analytics India Magazine,https://analyticsindiamag.com/what-is-the-plateau-problem-in-neural-networks-and-how-to-fix-it/,9/19/2021,What is the Plateau Problem in Neural Networks and How to Fix it?&nbsp;&nbsp;Analytics India Magazine,Analytics India Magazine,AI-NeuralNetworks
How to Use Learning Rate Annealing with Neural Networks? - Analytics India Magazine,https://analyticsindiamag.com/how-to-use-learning-rate-annealing-with-neural-networks/,11/28/2021,How to Use Learning Rate Annealing with Neural Networks?&nbsp;&nbsp;Analytics India Magazine,Analytics India Magazine,AI-NeuralNetworks
Introduction to Probabilistic Neural Networks For Beginners - Analytics India Magazine,https://analyticsindiamag.com/introduction-to-probabilistic-neural-networks-for-beginners/,10/5/2021,Introduction to Probabilistic Neural Networks For Beginners&nbsp;&nbsp;Analytics India Magazine,Analytics India Magazine,AI-NeuralNetworks
How Do Activation Functions Introduce Non-Linearity In Neural Networks? - Analytics India Magazine,https://analyticsindiamag.com/how-do-activation-functions-introduce-non-linearity-in-neural-networks/,11/30/2021,How Do Activation Functions Introduce Non-Linearity In Neural Networks?&nbsp;&nbsp;Analytics India Magazine,Analytics India Magazine,AI-NeuralNetworks
A Beginner's Guide to Using Attention Layer in Neural Networks - Analytics India Magazine,https://analyticsindiamag.com/a-beginners-guide-to-using-attention-layer-in-neural-networks/,12/4/2021,A Beginner's Guide to Using Attention Layer in Neural Networks&nbsp;&nbsp;Analytics India Magazine,Analytics India Magazine,AI-NeuralNetworks
A beginner's guide to Knowledge Distillation in Deep Learning - Analytics India Magazine,https://analyticsindiamag.com/a-beginners-guide-to-knowledge-distillation-in-deep-learning/,1/15/2022,A beginner's guide to Knowledge Distillation in Deep Learning&nbsp;&nbsp;Analytics India Magazine,Analytics India Magazine,AI-NeuralNetworks
A new neural network is able to read tree heights using satellite images - Dataconomy,https://dataconomy.com/2022/04/neural-network-reads-tree-heights/,4/21/2022,A new neural network is able to read tree heights using satellite images&nbsp;&nbsp;Dataconomy,Dataconomy,AI-NeuralNetworks
How Neurocompositional computing results in a new generation of AI systems - Analytics India Magazine,https://analyticsindiamag.com/how-neurocompositional-computing-results-in-a-new-generation-of-ai-systems/,5/14/2022,How Neurocompositional computing results in a new generation of AI systems&nbsp;&nbsp;Analytics India Magazine,Analytics India Magazine,AI-NeuralNetworks
A Hands-On Guide to Automatic Music Generation using RNN - Analytics India Magazine,https://analyticsindiamag.com/a-hands-on-guide-to-automatic-music-generation-using-rnn/,12/15/2021,A Hands-On Guide to Automatic Music Generation using RNN&nbsp;&nbsp;Analytics India Magazine,Analytics India Magazine,AI-NeuralNetworks
Utilizing DeepSqueak for automatic detection and classification of mammalian vocalizations: a case study on primate vocalizations | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-021-03941-1,12/27/2021,Utilizing DeepSqueak for automatic detection and classification of mammalian vocalizations: a case study on primate vocalizations | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-NeuralNetworks
Scientists Urge Sweeping Changes to Reverse Dangerous Biodiversity Loss - Lab Manager Magazine,https://www.labmanager.com/news/scientists-urge-sweeping-changes-to-reverse-dangerous-biodiversity-loss-27405,1/19/2022,Scientists Urge Sweeping Changes to Reverse Dangerous Biodiversity Loss&nbsp;&nbsp;Lab Manager Magazine,Lab Manager Magazine,AI-NeuralNetworks
