Title,Link,pubDate,Description,Source,Tag
Three Rivers Land Trust receives $25000 grant for habitat improvement project - The Stanly News & Press - Stanly News & Press,https://www.thesnaponline.com/2022/06/15/three-rivers-land-trust-receives-25000-grant-for-habitat-improvement-project/,6/15/2022,Three Rivers Land Trust receives $25000 grant for habitat improvement project - The Stanly News & Press&nbsp;&nbsp;Stanly News & Press,Stanly News & Press,Acoustic-Ornithology
Biodiversity Collapse: Whats Foiling Indias Conservation Efforts? - IndiaSpend,https://www.indiaspend.com/earthcheck/biodiversity-collapse-whats-foiling-indias-conservation-efforts-820777,6/4/2022,Biodiversity Collapse: Whats Foiling Indias Conservation Efforts?&nbsp;&nbsp;IndiaSpend,IndiaSpend,Acoustic-Ornithology
New study offers hope that conservation can help nature adapt to climate change - Phys.org,https://phys.org/news/2022-05-nature-climate.html,5/19/2022,New study offers hope that conservation can help nature adapt to climate change&nbsp;&nbsp;Phys.org,Phys.org,Acoustic-Ornithology
Survey of Protected Scottish Mountain Hares Hailed a Success - Newsweek,https://www.newsweek.com/survey-protected-scottish-mountain-hares-hailed-success-1710621,5/26/2022,Survey of Protected Scottish Mountain Hares Hailed a Success&nbsp;&nbsp;Newsweek,Newsweek,Acoustic-Ornithology
Which way ahead for biodiversity conservation? Answer may lie in communities - Down To Earth Magazine,https://www.downtoearth.org.in/blog/wildlife-and-biodiversity/which-way-ahead-for-biodiversity-conservation-answer-may-lie-in-communities-82955,5/22/2022,Which way ahead for biodiversity conservation? Answer may lie in communities&nbsp;&nbsp;Down To Earth Magazine,Down To Earth Magazine,Acoustic-Ornithology
"In some places, humans and wildlife are 'business partners.' The relationships may not last - Science",https://www.science.org/content/article/some-places-humans-and-wildlife-are-business-partners-relationships-may-not-last,6/9/2022,"In some places, humans and wildlife are 'business partners.' The relationships may not last&nbsp;&nbsp;Science",Science,Acoustic-Ornithology
Cornell Lab Of Ornithology Streams Newest California Condor Chick Live On Webcam - Los Alamos Daily Post,https://ladailypost.com/cornell-lab-of-ornithology-streams-newest-california-condor-chick-live-on-webcam/,6/12/2022,Cornell Lab Of Ornithology Streams Newest California Condor Chick Live On Webcam&nbsp;&nbsp;Los Alamos Daily Post,Los Alamos Daily Post,Acoustic-Ornithology
Poll the audience: Using data from citizen science to keep wild birds in flight: Data from birding apps offer utility to researchers and managers - Science Daily,https://www.sciencedaily.com/releases/2022/05/220519132738.htm,5/19/2022,Poll the audience: Using data from citizen science to keep wild birds in flight: Data from birding apps offer utility to researchers and managers&nbsp;&nbsp;Science Daily,Science Daily,Acoustic-Ornithology
"Tara Gandhi, author, Words for Birds: The Collected Radio Broadcasts - “We need to protect our urban biodiversity as well” - Hindustan Times",https://www.hindustantimes.com/books/tara-gandhi-author-words-for-birds-the-collected-radio-broadcasts-we-need-to-protect-our-urban-biodiversity-as-well-101654285049791.html,6/4/2022,"Tara Gandhi, author, Words for Birds: The Collected Radio Broadcasts - “We need to protect our urban biodiversity as well”&nbsp;&nbsp;Hindustan Times",Hindustan Times,Acoustic-Ornithology
The week in wildlife – in pictures | Environment - The Guardian,https://www.theguardian.com/environment/gallery/2022/may/27/the-week-in-wildlife-in-pictures,5/27/2022,The week in wildlife – in pictures | Environment&nbsp;&nbsp;The Guardian,The Guardian,Acoustic-Ornithology
Audubon Scientists Develop New Method to Improve Mapping of Bird Migrations | Audubon - National Audubon Society,https://www.audubon.org/news/audubon-scientists-develop-new-method-improve-mapping-bird-migrations,6/1/2022,Audubon Scientists Develop New Method to Improve Mapping of Bird Migrations | Audubon&nbsp;&nbsp;National Audubon Society,National Audubon Society,Acoustic-Ornithology
Midwest Falconry hopes to help next generation of falconers take flight - Coshocton Tribune,https://www.coshoctontribune.com/story/news/local/2022/06/16/midwest-falconry-hopes-help-next-generation-falconers-take-flight/7622124001/,6/16/2022,Midwest Falconry hopes to help next generation of falconers take flight&nbsp;&nbsp;Coshocton Tribune,Coshocton Tribune,Acoustic-Ornithology
Best Father's Day gifts for wildlife lovers | BBC Wildlife - BBC Discover Wildlife,https://www.discoverwildlife.com/reviews/fathers-day-gifts-wildlife/,6/9/2022,Best Father's Day gifts for wildlife lovers | BBC Wildlife&nbsp;&nbsp;BBC Discover Wildlife,BBC Discover Wildlife,Acoustic-Ornithology
How America saved its iconic bird from extinction - Boston.com,https://www.boston.com/news/environment/2022/05/24/how-america-saved-its-iconic-bird-from-extinction/,5/24/2022,How America saved its iconic bird from extinction&nbsp;&nbsp;Boston.com,Boston.com,Acoustic-Ornithology
Endangered California Condor Chick Hatches Live in the Wild on ‘Condor Cam’ - Noozhawk,https://www.noozhawk.com/article/endangered_california_condor_chick_hatches_live_in_the_wild_on_condor_cam,5/19/2022,Endangered California Condor Chick Hatches Live in the Wild on ‘Condor Cam’&nbsp;&nbsp;Noozhawk,Noozhawk,Acoustic-Ornithology
Summer Session 2022 offers unique learning opportunities | Cornell Chronicle - Cornell Chronicle,https://news.cornell.edu/stories/2022/06/summer-session-2022-offers-unique-learning-opportunities,6/3/2022,Summer Session 2022 offers unique learning opportunities | Cornell Chronicle&nbsp;&nbsp;Cornell Chronicle,Cornell Chronicle,Acoustic-Ornithology
Rachel Carson's 'Silent Spring' 60 years on: Birds still fading from the skies - Mongabay.com,https://news.mongabay.com/2022/05/rachel-carsons-silent-spring-60-years-on-birds-still-fading-from-the-skies/,5/23/2022,Rachel Carson's 'Silent Spring' 60 years on: Birds still fading from the skies&nbsp;&nbsp;Mongabay.com,Mongabay.com,Acoustic-Ornithology
Koreshan State Park kicks off Citizen Science series with a focus on threatened gopher tortoises - WGCU,https://news.wgcu.org/show/gulf-coast-life/2022-06-06/koreshan-state-park-kicks-off-citizen-science-series-with-a-focus-on-threatened-gopher-tortoises,6/6/2022,Koreshan State Park kicks off Citizen Science series with a focus on threatened gopher tortoises&nbsp;&nbsp;WGCU,WGCU,Acoustic-Ornithology
Rare curlew eggs collected and reared from airfields - BBC,https://www.bbc.com/news/uk-england-gloucestershire-61659308,6/1/2022,Rare curlew eggs collected and reared from airfields&nbsp;&nbsp;BBC,BBC,Acoustic-Ornithology
Black bear sightings increase in Oklahoma in early summer: Safety tips - Oklahoman.com,https://www.oklahoman.com/story/sports/outdoors/2022/05/30/black-bear-sightings-increase-across-oklahoma-early-summer-safety-tips/9941962002/,5/30/2022,Black bear sightings increase in Oklahoma in early summer: Safety tips&nbsp;&nbsp;Oklahoman.com,Oklahoman.com,Acoustic-Ornithology
University of Denver opens Colorado's latest college mountain campus - The Colorado Sun,https://coloradosun.com/2022/06/15/colorado-colleges-universities-mountain-campuses-university-of-denver/,6/15/2022,University of Denver opens Colorado's latest college mountain campus&nbsp;&nbsp;The Colorado Sun,The Colorado Sun,Acoustic-Ornithology
"A South Texan’s Wild, Life-affirming Quest to Break a National Birding Record - Texas Monthly",https://www.texasmonthly.com/being-texan/south-texan-wild-quest-birding-record/,5/18/2022,"A South Texan’s Wild, Life-affirming Quest to Break a National Birding Record&nbsp;&nbsp;Texas Monthly",Texas Monthly,Acoustic-Ornithology
