Title,Link,pubDate,Description,Source,Tag
Gob.cl - Article: Images That Are Too Adorable: Conaf Los Lagos Camera Traps Capture A Number Of Endangered Species - Gobierno de Chile,https://www.gob.cl/en/news/images-are-too-adorable-conaf-los-lagos-camera-traps-capture-number-endangered-species/,6/10/2022,Gob.cl - Article: Images That Are Too Adorable: Conaf Los Lagos Camera Traps Capture A Number Of Endangered Species&nbsp;&nbsp;Gobierno de Chile,Gobierno de Chile,Camera-Conservation
Amazonian 'camera traps' provided images for massive archive - The Washington Post,https://www.washingtonpost.com/science/2022/05/21/amazon-forests-camera-traps-dataset/,5/21/2022,Amazonian 'camera traps' provided images for massive archive&nbsp;&nbsp;The Washington Post,The Washington Post,Camera-Conservation
Riveting Camera Trap Photos Create New Database of Amazon Wildlife - Treehugger,https://www.treehugger.com/camera-trap-photos-database-amazon-wildlife-5295696,5/25/2022,Riveting Camera Trap Photos Create New Database of Amazon Wildlife&nbsp;&nbsp;Treehugger,Treehugger,Camera-Conservation
The Society for Conservation Biology - Wiley,https://conbio.onlinelibrary.wiley.com/doi/abs/10.1111/csp2.12743,6/7/2022,The Society for Conservation Biology&nbsp;&nbsp;Wiley,Wiley,Camera-Conservation
"Roundup: 84 rare hog deer found present in NE Cambodia, raising hope for species conservation - China.org.cn",http://www.china.org.cn/world/Off_the_Wire/2022-06/16/content_78274731.htm,6/16/2022,"Roundup: 84 rare hog deer found present in NE Cambodia, raising hope for species conservation&nbsp;&nbsp;China.org.cn",China.org.cn,Camera-Conservation
Can conservation technology help save our rapidly disappearing species? | Problem Solved - Mongabay.com,https://news.mongabay.com/2022/06/can-conservation-technology-help-save-our-rapidly-disappearing-species-problem-solved/,6/8/2022,Can conservation technology help save our rapidly disappearing species? | Problem Solved&nbsp;&nbsp;Mongabay.com,Mongabay.com,Camera-Conservation
How a Forest Officer Clicked India’s 1st Photo of a Tiger in The Wild - The Better India,https://www.thebetterindia.com/288507/how-forest-officer-frederick-walter-took-indias-first-tiger-pic/,6/16/2022,How a Forest Officer Clicked India’s 1st Photo of a Tiger in The Wild&nbsp;&nbsp;The Better India,The Better India,Camera-Conservation
Using leeches to map biodiversity – Harvard Gazette - Harvard Gazette,https://news.harvard.edu/gazette/story/2022/06/using-leeches-to-map-biodiversity/,6/15/2022,Using leeches to map biodiversity – Harvard Gazette&nbsp;&nbsp;Harvard Gazette,Harvard Gazette,Camera-Conservation
"Protect Persian leopards, and their defenders, for World Environment Day (commentary) - Mongabay.com",https://news.mongabay.com/2022/06/protect-persian-leopards-and-their-defenders-for-world-environment-day-commentary/,6/3/2022,"Protect Persian leopards, and their defenders, for World Environment Day (commentary)&nbsp;&nbsp;Mongabay.com",Mongabay.com,Camera-Conservation
Data from thousands of cameras confirms protected areas promote mammal diversity - Science Daily,https://www.sciencedaily.com/releases/2022/01/220127120156.htm,1/27/2022,Data from thousands of cameras confirms protected areas promote mammal diversity&nbsp;&nbsp;Science Daily,Science Daily,Camera-Conservation
Go Beyond the Safari With These Wildlife-focused Volunteer Trips in East and Southern Africa - Travel + Leisure,https://www.travelandleisure.com/animals/africa-wildlife-conservation-voluntourism-trips,6/9/2022,Go Beyond the Safari With These Wildlife-focused Volunteer Trips in East and Southern Africa&nbsp;&nbsp;Travel + Leisure,Travel + Leisure,Camera-Conservation
A self-cloning sea grass is the world's biggest plant: 3 stories you may have missed - Conservation International,https://www.conservation.org/blog/a-self-cloning-sea-grass-is-the-world-s-biggest-plant-3-stories-you-may-have-missed,6/13/2022,A self-cloning sea grass is the world's biggest plant: 3 stories you may have missed&nbsp;&nbsp;Conservation International,Conservation International,Camera-Conservation
Data from thousands of surveillance cameras confirms that protected areas safeguard species diversity - The Conversation,https://theconversation.com/data-from-thousands-of-surveillance-cameras-confirms-that-protected-areas-safeguard-species-diversity-176292,3/3/2022,Data from thousands of surveillance cameras confirms that protected areas safeguard species diversity&nbsp;&nbsp;The Conversation,The Conversation,Camera-Conservation
A Big Thank You from Snapshot Wisconsin | Science Mission Directorate - Science@NASA,https://science.nasa.gov/science-news/citizenscience/a-big-thank-you-from-snapshot-wisconsin,6/3/2022,A Big Thank You from Snapshot Wisconsin | Science Mission Directorate&nbsp;&nbsp;Science@NASA,Science@NASA,Camera-Conservation
Can Humans and Jaguars Coexist? A Wildlife Biologist Uses Technology and Education to Reduce Conflict - Smithsonian Magazine,https://www.smithsonianmag.com/blogs/smithsonian-tropical-research-institute/2022/05/27/can-humans-and-jaguars-coexist-a-wildlife-biologist-uses-technology-and-education-to-reduce-conflict/,5/27/2022,Can Humans and Jaguars Coexist? A Wildlife Biologist Uses Technology and Education to Reduce Conflict&nbsp;&nbsp;Smithsonian Magazine,Smithsonian Magazine,Camera-Conservation
'Protecting snow leopards benefits other species': Q&A with Rinzin Phunjok Lama - Mongabay.com,https://news.mongabay.com/2022/06/protecting-snow-leopards-benefits-other-species-qa-with-rinzin-phunjok-lama/,6/9/2022,'Protecting snow leopards benefits other species': Q&amp;A with Rinzin Phunjok Lama&nbsp;&nbsp;Mongabay.com,Mongabay.com,Camera-Conservation
Cambodia: Development threatens a last refuge of wildlife rescued from illegal trade (commentary) - Mongabay.com,https://news.mongabay.com/2022/05/cambodia-development-threatens-a-last-refuge-of-wildlife-rescued-from-illegal-trade-commentary/,5/20/2022,Cambodia: Development threatens a last refuge of wildlife rescued from illegal trade (commentary)&nbsp;&nbsp;Mongabay.com,Mongabay.com,Camera-Conservation
Black leopard caught on camera at BRT Tiger Reserve - The Hindu,https://www.thehindu.com/news/national/karnataka/black-leopard-camera-trapped-at-brt-tiger-reserve/article65447332.ece,5/22/2022,Black leopard caught on camera at BRT Tiger Reserve&nbsp;&nbsp;The Hindu,The Hindu,Camera-Conservation
Etalin hydel: Experts warn of biodiversity loss in Dibang Valley in letter to forest advisory panel - Down To Earth Magazine,https://www.downtoearth.org.in/news/wildlife-biodiversity/etalin-hydel-experts-warn-of-biodiversity-loss-in-dibang-valley-in-letter-to-forest-advisory-panel-83087,5/31/2022,Etalin hydel: Experts warn of biodiversity loss in Dibang Valley in letter to forest advisory panel&nbsp;&nbsp;Down To Earth Magazine,Down To Earth Magazine,Camera-Conservation
NC State Student Supports Wildlife Conservation in Africa - NC State College of Natural Resources News,https://cnr.ncsu.edu/news/2022/01/nc-state-student-supports-wildlife-conservation-in-africa/,1/24/2022,NC State Student Supports Wildlife Conservation in Africa&nbsp;&nbsp;NC State College of Natural Resources News,NC State College of Natural Resources News,Camera-Conservation
Voluntary consensus based geospatial data standards for the global illegal trade in wild fauna and flora | Scientific Data - Nature.com,https://www.nature.com/articles/s41597-022-01371-w,6/3/2022,Voluntary consensus based geospatial data standards for the global illegal trade in wild fauna and flora | Scientific Data&nbsp;&nbsp;Nature.com,Nature.com,Camera-Conservation
A New Safe Haven for Endangered Species Established by Vallarta Botanical Garden - Puerto Vallarta Daily News,https://www.vallartadaily.com/a-new-safe-haven-for-endangered-species-established-by-vallarta-botanical-garden/,5/31/2022,A New Safe Haven for Endangered Species Established by Vallarta Botanical Garden&nbsp;&nbsp;Puerto Vallarta Daily News,Puerto Vallarta Daily News,Camera-Conservation
Edinburgh Zoo supporting threatened wildlife in Brazil - The Edinburgh Reporter,https://theedinburghreporter.co.uk/2022/06/edinburgh-zoo-supporting-threatened-wildlife-in-brazil/,6/15/2022,Edinburgh Zoo supporting threatened wildlife in Brazil&nbsp;&nbsp;The Edinburgh Reporter,The Edinburgh Reporter,Camera-Conservation
These new technologies could transform wildlife conservation - The Hill,https://thehill.com/changing-america/sustainability/environment/592820-these-new-technologies-could-transform-wildlife/,2/4/2022,These new technologies could transform wildlife conservation&nbsp;&nbsp;The Hill,The Hill,Camera-Conservation
Centre to conduct combined elephant and tiger survey this year - The Hindu,https://www.thehindu.com/sci-tech/energy-and-environment/centre-to-conduct-combined-elephant-and-tiger-survey-this-year/article65504679.ece,6/7/2022,Centre to conduct combined elephant and tiger survey this year&nbsp;&nbsp;The Hindu,The Hindu,Camera-Conservation
Wildlife camera trap surveys provide new insights into the occurrence of two threatened Annamite endemics in Viet Nam and Laos - Science Daily,https://www.sciencedaily.com/releases/2022/02/220222135259.htm,2/22/2022,Wildlife camera trap surveys provide new insights into the occurrence of two threatened Annamite endemics in Viet Nam and Laos&nbsp;&nbsp;Science Daily,Science Daily,Camera-Conservation
"For Ecuador's A'i Cofán leaders, Goldman Prize validates Indigenous struggle - Mongabay.com",https://news.mongabay.com/2022/06/for-ecuadors-ai-cofan-leaders-goldman-prize-validates-indigenous-struggle/,6/16/2022,"For Ecuador's A'i Cofán leaders, Goldman Prize validates Indigenous struggle&nbsp;&nbsp;Mongabay.com",Mongabay.com,Camera-Conservation
"Texas wildlife documentary features elusive, endangered ocelots in the Rio Grande Valley - Brownsville Herald",https://myrgv.com/local-news/2022/06/06/texas-wildlife-documentary-features-elusive-endangered-ocelots-in-the-rio-grande-valley/,6/7/2022,"Texas wildlife documentary features elusive, endangered ocelots in the Rio Grande Valley&nbsp;&nbsp;Brownsville Herald",Brownsville Herald,Camera-Conservation
World’s first fishing cat census done in Chilika - The Hindu,https://www.thehindu.com/news/national/other-states/worlds-first-fishing-cat-census-done-in-chilika/article65496773.ece,6/5/2022,World’s first fishing cat census done in Chilika&nbsp;&nbsp;The Hindu,The Hindu,Camera-Conservation
"Pride and protection must go hand in hand | Print Edition - The Sunday Times, Sri Lanka - The Sunday Times Sri Lanka",http://www.sundaytimes.lk/220612/plus/pride-and-protection-must-go-hand-in-hand-485367.html,6/12/2022,"Pride and protection must go hand in hand | Print Edition - The Sunday Times, Sri Lanka&nbsp;&nbsp;The Sunday Times Sri Lanka",The Sunday Times Sri Lanka,Camera-Conservation
The Largest Camera Trap Wildlife Study is Now a Free Mobile Game - PetaPixel,https://petapixel.com/2021/07/27/the-largest-camera-trap-wildlife-study-is-now-a-free-mobile-game/,7/27/2021,The Largest Camera Trap Wildlife Study is Now a Free Mobile Game&nbsp;&nbsp;PetaPixel,PetaPixel,Camera-Conservation
