Title,Link,pubDate,Description,Source,Tag
Drones and High Resolution Lenses Protect Wildlife Around the World: Quantum Systems and Wilderness International in Peru - DroneLife,https://dronelife.com/2022/06/08/drones-and-high-resolution-lenses-protect-wildlife-around-the-world/,6/8/2022,Drones and High Resolution Lenses Protect Wildlife Around the World: Quantum Systems and Wilderness International in Peru&nbsp;&nbsp;DroneLife,DroneLife,Drones-Aircraft
"Not Just Enemies In Battle, You Can Use Drones To Kill Weeds And Shoot Movies Too - Entrepreneur",https://www.entrepreneur.com/article/429448,6/14/2022,"Not Just Enemies In Battle, You Can Use Drones To Kill Weeds And Shoot Movies Too&nbsp;&nbsp;Entrepreneur",Entrepreneur,Drones-Aircraft
Innovative Unmanned Vehicles Inspired by Mama Nature - SOFREP,https://sofrep.com/news/innovative-unmanned-vehicles-inspired-by-mama-nature/,6/5/2022,Innovative Unmanned Vehicles Inspired by Mama Nature&nbsp;&nbsp;SOFREP,SOFREP,Drones-Aircraft
HENSOLDT defence industry developer of Land Air Sea Solutions and Products | Germany German defence industry company UK | Europe defence industry company UK - Army Recognition,https://www.armyrecognition.com/germany_german_defence_industry_company_uk/hensoldt_defence_industry_developer_of_land_air_sea_solutions_and_products.html,6/10/2022,HENSOLDT defence industry developer of Land Air Sea Solutions and Products | Germany German defence industry company UK | Europe defence industry company UK&nbsp;&nbsp;Army Recognition,Army Recognition,Drones-Aircraft
"Lawmakers adopt several laws, resolutions on June 14 - http://en.vietnamplus.vn/",https://en.vietnamplus.vn/lawmakers-adopt-several-laws-resolutions-on-june-14/231142.vnp,6/14/2022,"Lawmakers adopt several laws, resolutions on June 14&nbsp;&nbsp;http://en.vietnamplus.vn/",http://en.vietnamplus.vn/,Drones-Aircraft
VIETNAM NEWS HEADLINES JUNE 15 - VietNamNet,https://vietnamnet.vn/en/vietnam-news-headlines-june-15-2030431.html,6/15/2022,VIETNAM NEWS HEADLINES JUNE 15&nbsp;&nbsp;VietNamNet,VietNamNet,Drones-Aircraft
Colorado Parks and Wildlife asking drone users to avoid harassing wildlife - The Denver Gazette,https://denvergazette.com/news/environment/colorado-parks-and-wildlife-asking-drone-users-to-avoid-harassing-wildlife/article_9dd8786e-05d7-11ec-b61e-d384e72dfa70.html,8/27/2021,Colorado Parks and Wildlife asking drone users to avoid harassing wildlife&nbsp;&nbsp;The Denver Gazette,The Denver Gazette,Drones-Aircraft
Dye tracing and concentration mapping in coastal waters using unmanned aerial vehicles | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-05189-9,1/21/2022,Dye tracing and concentration mapping in coastal waters using unmanned aerial vehicles | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Drones-Aircraft
JOINT RELEASE: North Dakota utilizes UAS network to assist storm recovery efforts with drones - North Dakota Office of the Governor,https://www.governor.nd.gov/news/joint-release-north-dakota-utilizes-uas-network-assist-storm-recovery-efforts-drones,4/27/2022,JOINT RELEASE: North Dakota utilizes UAS network to assist storm recovery efforts with drones&nbsp;&nbsp;North Dakota Office of the Governor,North Dakota Office of the Governor,Drones-Aircraft
Pentagon's Counter-UAS Program Holds Second Industry Demonstration - National Defense Magazine,https://www.nationaldefensemagazine.org/articles/2021/9/24/pentagons-counter-uas-program-holds-second-industry-demonstration,9/24/2021,Pentagon's Counter-UAS Program Holds Second Industry Demonstration&nbsp;&nbsp;National Defense Magazine,National Defense Magazine,Drones-Aircraft
