Title,Link,pubDate,Description,Source,Tag
Aerial survey wrapping up for Southeast sea otters - KFSK,https://www.kfsk.org/2022/06/15/aerial-survey-wrapping-up-for-southeast-sea-otters/,6/15/2022,Aerial survey wrapping up for Southeast sea otters&nbsp;&nbsp;KFSK,KFSK,Drones
Drones and High Resolution Lenses Protect Wildlife Around the World: Quantum Systems and Wilderness International in Peru - DroneLife,https://dronelife.com/2022/06/08/drones-and-high-resolution-lenses-protect-wildlife-around-the-world/,6/8/2022,Drones and High Resolution Lenses Protect Wildlife Around the World: Quantum Systems and Wilderness International in Peru&nbsp;&nbsp;DroneLife,DroneLife,Drones
Draganfly Announces New Long Range Lidar System - Geo Week News,https://www.geoweeknews.com/news/draganfly-announces-new-long-range-lidar-system,6/16/2022,Draganfly Announces New Long Range Lidar System&nbsp;&nbsp;Geo Week News,Geo Week News,Drones
Responses of free-living horses and bison to a drone assessed in US national park - Horsetalk.co.nz - Horsetalk,https://www.horsetalk.co.nz/2022/05/27/responses-horses-bison-drone-national-park/,5/27/2022,Responses of free-living horses and bison to a drone assessed in US national park - Horsetalk.co.nz&nbsp;&nbsp;Horsetalk,Horsetalk,Drones
"Not Just Enemies In Battle, You Can Use Drones To Kill Weeds And Shoot Movies Too - Entrepreneur",https://www.entrepreneur.com/article/429448,6/14/2022,"Not Just Enemies In Battle, You Can Use Drones To Kill Weeds And Shoot Movies Too&nbsp;&nbsp;Entrepreneur",Entrepreneur,Drones
Drones Shed Light on Underwater Treasure - Inside Unmanned Systems,https://insideunmannedsystems.com/drones-shed-light-on-underwater-treasure/,6/16/2022,Drones Shed Light on Underwater Treasure&nbsp;&nbsp;Inside Unmanned Systems,Inside Unmanned Systems,Drones
The Impact of Drones in Canada for the Enterprise - Commercial UAV News,https://www.commercialuavnews.com/international/the-impact-of-drones-in-canada-for-the-enterprise,6/8/2022,The Impact of Drones in Canada for the Enterprise&nbsp;&nbsp;Commercial UAV News,Commercial UAV News,Drones
Four massive Revolutionary War-era cannons unearthed in Chester County - The Delaware County Daily Times,https://www.delcotimes.com/2022/06/15/four-massive-revolutionary-war-era-cannons-unearthed-in-chester-county/,6/15/2022,Four massive Revolutionary War-era cannons unearthed in Chester County&nbsp;&nbsp;The Delaware County Daily Times,The Delaware County Daily Times,Drones
We still don't know why more than 400 elephants died in Botswana - National Geographic,https://www.nationalgeographic.com/animals/article/we-still-dont-know-why-more-than-400-elephants-died-in-botswana,5/31/2022,We still don't know why more than 400 elephants died in Botswana&nbsp;&nbsp;National Geographic,National Geographic,Drones
Is Fishing With a Drone the Way of the Future? - Smithsonian Magazine,https://www.smithsonianmag.com/innovation/is-fishing-with-a-drone-the-way-of-the-future-180980177/,6/1/2022,Is Fishing With a Drone the Way of the Future?&nbsp;&nbsp;Smithsonian Magazine,Smithsonian Magazine,Drones
These new technologies could transform wildlife conservation - The Hill,https://thehill.com/changing-america/sustainability/environment/592820-these-new-technologies-could-transform-wildlife/,2/4/2022,These new technologies could transform wildlife conservation&nbsp;&nbsp;The Hill,The Hill,Drones
