Title,Link,pubDate,Description,Source,Tag
Targeted Grazing–The Latest Magical Solution To Improve Rangeland Health - The Wildlife News,https://www.thewildlifenews.com/2022/06/16/targeted-grazing-the-latest-magical-solution-to-improve-rangeland-health/,6/16/2022,Targeted Grazing–The Latest Magical Solution To Improve Rangeland Health&nbsp;&nbsp;The Wildlife News,The Wildlife News,Fire-Monitoring
Deforestation: JBS unveils forest fire taskforce to protect 2.5 million hectares in Brazil - FoodNavigator.com,https://www.foodnavigator.com/Article/2022/06/14/Deforestation-JBS-unveils-forest-fire-taskforce-to-protect-2.5-million-hectares-in-Brazil,6/14/2022,Deforestation: JBS unveils forest fire taskforce to protect 2.5 million hectares in Brazil&nbsp;&nbsp;FoodNavigator.com,FoodNavigator.com,Fire-Monitoring
Becoming a Pilot Biologist for the US Fish and Wildlife Service - US Fish and Wildlife Service,https://www.fws.gov/story/becoming-pilot-biologist-us-fish-and-wildlife-service,6/8/2022,Becoming a Pilot Biologist for the US Fish and Wildlife Service&nbsp;&nbsp;US Fish and Wildlife Service,US Fish and Wildlife Service,Fire-Monitoring
"Repeated fires are silencing the Amazon, says new acoustic monitoring study - Mongabay.com",https://news.mongabay.com/2022/05/repeated-fires-are-silencing-the-amazon-says-new-acoustic-monitoring-study/,5/26/2022,"Repeated fires are silencing the Amazon, says new acoustic monitoring study&nbsp;&nbsp;Mongabay.com",Mongabay.com,Fire-Monitoring
Kangaroo Island's dunnarts were hit hard by bushfires. Now feral cats threaten them with extinction - ABC News,https://www.abc.net.au/news/science/2022-06-17/feral-cats-killing-kangaroo-island-dunnarts/101156628,6/16/2022,Kangaroo Island's dunnarts were hit hard by bushfires. Now feral cats threaten them with extinction&nbsp;&nbsp;ABC News,ABC News,Fire-Monitoring
Four massive Revolutionary War-era cannons unearthed in Chester County - The Delaware County Daily Times,https://www.delcotimes.com/2022/06/15/four-massive-revolutionary-war-era-cannons-unearthed-in-chester-county/,6/15/2022,Four massive Revolutionary War-era cannons unearthed in Chester County&nbsp;&nbsp;The Delaware County Daily Times,The Delaware County Daily Times,Fire-Monitoring
Environmental group staffers say it's a 'nightmare' to go to work - E&E News,https://www.eenews.net/articles/environmental-group-staffers-say-its-a-nightmare-to-go-to-work/,6/16/2022,Environmental group staffers say it's a 'nightmare' to go to work&nbsp;&nbsp;E&amp;E News,E&E News,Fire-Monitoring
Fire Protection Materials Market is Estimated to Cross US$ 9.46 Billion by 2027 | CAGR of 7.80% – By IMARC Group – Indian Defence News - Indian Defence News,https://indiandefencenews.info/151590/news/fire-protection-materials-market-is-estimated-to-cross-us-9-46-billion-by-2027-cagr-of-7-80-by-imarc-group/,6/15/2022,Fire Protection Materials Market is Estimated to Cross US$ 9.46 Billion by 2027 | CAGR of 7.80% – By IMARC Group – Indian Defence News&nbsp;&nbsp;Indian Defence News,Indian Defence News,Fire-Monitoring
A West without barbed wire - Conservation Northwest,https://conservationnw.org/news-updates/a-west-without-barbed-wire/,5/17/2022,A West without barbed wire&nbsp;&nbsp;Conservation Northwest,Conservation Northwest,Fire-Monitoring
"A network of 1,000 cameras is watching for Western wildfires—and you can, too - Popular Science",https://www.popsci.com/technology/west-coast-wildfire-camera-network/,5/25/2022,"A network of 1,000 cameras is watching for Western wildfires—and you can, too&nbsp;&nbsp;Popular Science",Popular Science,Fire-Monitoring
"Installation of Powerline Safety Settings Essentially Complete in High-Fire Risk Areas Across 25,500 Distribution Line Miles in PG&E’s Service Area - PGE Currents.",https://www.pgecurrents.com/2022/05/25/installation-of-powerline-safety-settings-essentially-complete-in-high-fire-risk-areas-across-25500-distribution-line-miles-in-pges-service-area/,5/25/2022,"Installation of Powerline Safety Settings Essentially Complete in High-Fire Risk Areas Across 25,500 Distribution Line Miles in PG&amp;E’s Service Area&nbsp;&nbsp;PGE Currents.",PGE Currents.,Fire-Monitoring
Sumatra palm plantations the usual suspects as unusual burning razes peatlands - Mongabay.com,https://news.mongabay.com/2022/06/sumatra-palm-plantations-the-usual-suspects-as-unusual-burning-razes-peatlands/,6/2/2022,Sumatra palm plantations the usual suspects as unusual burning razes peatlands&nbsp;&nbsp;Mongabay.com,Mongabay.com,Fire-Monitoring
ANU: Hi-tech nest boxes to help greater gliders - India Education Diary,https://indiaeducationdiary.in/anu-hi-tech-nest-boxes-to-help-greater-gliders/,6/16/2022,ANU: Hi-tech nest boxes to help greater gliders&nbsp;&nbsp;India Education Diary,India Education Diary,Fire-Monitoring
DEVCOM Soldier Center designs protective jumpsuit for elite firefighters - United States Army,https://www.army.mil/article/256898/devcom_soldier_center_designs_protective_jumpsuit_for_elite_firefighters,5/23/2022,DEVCOM Soldier Center designs protective jumpsuit for elite firefighters&nbsp;&nbsp;United States Army,United States Army,Fire-Monitoring
"Biologists, leaders see wildlife still thriving in wake of huge fire at Fort Hood - United States Army",https://www.army.mil/article/256602/biologists_leaders_see_wildlife_still_thriving_in_wake_of_huge_fire_at_fort_hood,5/11/2022,"Biologists, leaders see wildlife still thriving in wake of huge fire at Fort Hood&nbsp;&nbsp;United States Army",United States Army,Fire-Monitoring
