Title,Link,pubDate,Description,Source,Tag
Newsletter 2022-06-16 - Mongabay.com,https://news.mongabay.com/newsletter/newsletter-2022-06-16/,6/16/2022,Newsletter 2022-06-16&nbsp;&nbsp;Mongabay.com,Mongabay.com,Imagery-Remote
Satellite images and artificial intelligence systems facilitate whales census and conservation work - MercoPress,https://en.mercopress.com/2022/06/16/satellite-images-and-artificial-intelligence-systems-facilitate-whales-census-and-conservation-work,6/16/2022,Satellite images and artificial intelligence systems facilitate whales census and conservation work&nbsp;&nbsp;MercoPress,MercoPress,Imagery-Remote
The Audacity of Nature Docs​|What Barack Obama's Our Great National Parks Leaves Out - The Drift Magazine,https://www.thedriftmag.com/the-audacity-of-nature-docs/,6/14/2022,The Audacity of Nature Docs​|What Barack Obama's Our Great National Parks Leaves Out&nbsp;&nbsp;The Drift Magazine,The Drift Magazine,Imagery-Remote
A Business Watchdog Uses GeoAI for Amazon Conservation - Esri,https://www.esri.com/about/newsroom/publications/wherenext/geoai-corporate-responsibility-and-the-vigilance-of-a-climate-watchdog/,5/17/2022,A Business Watchdog Uses GeoAI for Amazon Conservation&nbsp;&nbsp;Esri,Esri,Imagery-Remote
"Assessing the impact of land use land cover change on regulatory ecosystem services of subtropical scrub forest, Soan Valley Pakistan | Scientific Reports - Nature.com",https://www.nature.com/articles/s41598-022-14333-4,6/16/2022,"Assessing the impact of land use land cover change on regulatory ecosystem services of subtropical scrub forest, Soan Valley Pakistan | Scientific Reports&nbsp;&nbsp;Nature.com",Nature.com,Imagery-Remote
Using Planet Satellite Data to Monitor Threats to Wildlife a... - planet.com,https://www.planet.com/pulse/using-planet-satellite-data-to-monitor-threats-to-wildlife-and-ecosystems/,12/14/2021,Using Planet Satellite Data to Monitor Threats to Wildlife a...&nbsp;&nbsp;planet.com,planet.com,Imagery-Remote
"“Regenera America”, Mercado Libre's program that supports biome regeneration and conservation projects in Latin America, will reach U$18 million in 2022 - FinTech Futures",https://www.fintechfutures.com/techwire/regenera-america-mercado-libres-program-that-supports-biome-regeneration-and-conservation-projects-in-latin-america-will-reach-u18-million-in-2022/,6/10/2022,"“Regenera America”, Mercado Libre's program that supports biome regeneration and conservation projects in Latin America, will reach U$18 million in 2022&nbsp;&nbsp;FinTech Futures",FinTech Futures,Imagery-Remote
Pipeline installation boosts diversity of seafloor animals - Earth.com,https://www.earth.com/news/pipeline-installation-boosts-diversity-of-seafloor-animals/,6/14/2022,Pipeline installation boosts diversity of seafloor animals&nbsp;&nbsp;Earth.com,Earth.com,Imagery-Remote
Wilderness International & Drones For Earth Use Drones To Save Rainforests - CleanTechnica,https://cleantechnica.com/2022/05/30/wilderness-international-drones-for-earth-use-drones-to-save-rainforests/,5/30/2022,Wilderness International & Drones For Earth Use Drones To Save Rainforests&nbsp;&nbsp;CleanTechnica,CleanTechnica,Imagery-Remote
The Annihilation of Florida: An Overlooked National Tragedy Current Affairs - Current Affairs,https://www.currentaffairs.org/2022/05/the-annihilation-of-florida-an-overlooked-national-tragedy,5/18/2022,The Annihilation of Florida: An Overlooked National Tragedy Current Affairs&nbsp;&nbsp;Current Affairs,Current Affairs,Imagery-Remote
"To predict forest loss in protected areas, look at nearby unprotected forest - Mongabay.com",https://news.mongabay.com/2021/10/to-predict-forest-loss-in-protected-areas-look-at-nearby-unprotected-forest/,10/13/2021,"To predict forest loss in protected areas, look at nearby unprotected forest&nbsp;&nbsp;Mongabay.com",Mongabay.com,Imagery-Remote
These new technologies could transform wildlife conservation - The Hill,https://thehill.com/changing-america/sustainability/environment/592820-these-new-technologies-could-transform-wildlife/,2/4/2022,These new technologies could transform wildlife conservation&nbsp;&nbsp;The Hill,The Hill,Imagery-Remote
2022 Hurricane Season - Louisiana State University,https://www.lsu.edu/mediacenter/news/2022/06/02hurricaneexperts.php,6/2/2022,2022 Hurricane Season&nbsp;&nbsp;Louisiana State University,Louisiana State University,Imagery-Remote
Evaluating the benefits and risks of social media for wildlife conservation - FACETS Journal,https://www.facetsjournal.com/doi/10.1139/facets-2021-0112,3/10/2022,Evaluating the benefits and risks of social media for wildlife conservation&nbsp;&nbsp;FACETS Journal,FACETS Journal,Imagery-Remote
Emerging technology gives first ever global view of hidden vessels - Financial Post,https://financialpost.com/globe-newswire/emerging-technology-gives-first-ever-global-view-of-hidden-vessels,6/8/2022,Emerging technology gives first ever global view of hidden vessels&nbsp;&nbsp;Financial Post,Financial Post,Imagery-Remote
New York State Man Arrested Third Time For Peculiar Reason - wpdh.com,https://wpdh.com/new-york-state-man-arrested-for-the-third-for-peculiar-reason/,6/14/2022,New York State Man Arrested Third Time For Peculiar Reason&nbsp;&nbsp;wpdh.com,wpdh.com,Imagery-Remote
"Management plan, funding approved for Waikamoi | News, Sports, Jobs - Maui News",https://www.mauinews.com/news/local-news/2022/06/management-plan-funding-approved-for-waikamoi/,6/1/2022,"Management plan, funding approved for Waikamoi | News, Sports, Jobs&nbsp;&nbsp;Maui News",Maui News,Imagery-Remote
New York State Man Arrested For Having Too Many Wildlife Feeders? - wpdh.com,https://wpdh.com/bird-feed-ordinance-laws-new-york/,6/3/2022,New York State Man Arrested For Having Too Many Wildlife Feeders?&nbsp;&nbsp;wpdh.com,wpdh.com,Imagery-Remote
"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology - CBC News",https://www.cbc.ca/news/world/galapagos-illegal-fishing-satellite-technology-1.6469424,6/4/2022,"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology&nbsp;&nbsp;CBC News",CBC News,Imagery-Remote
Southeast Asian protected areas are effective in conserving forest cover and forest carbon stocks compared to unprotected areas | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-021-03188-w,12/9/2021,Southeast Asian protected areas are effective in conserving forest cover and forest carbon stocks compared to unprotected areas | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Imagery-Remote
Pasture replaces large tract of intact primary forest in Brazilian protected area - Mongabay.com,https://news.mongabay.com/2022/05/pasture-replaces-large-tract-of-intact-primary-forest-in-brazilian-protected-area/,5/13/2022,Pasture replaces large tract of intact primary forest in Brazilian protected area&nbsp;&nbsp;Mongabay.com,Mongabay.com,Imagery-Remote
