Title,Link,pubDate,Description,Source,Tag
World Biodiversity Day: Upgraded MARXAN Platform Changes the Nature of Conservation Planning - The Nature Conservancy,https://www.nature.org/en-us/what-we-do/our-insights/perspectives/marxan-microsoft-conservation-planning-platform/,5/19/2022,World Biodiversity Day: Upgraded MARXAN Platform Changes the Nature of Conservation Planning&nbsp;&nbsp;The Nature Conservancy,The Nature Conservancy,IoT-General
SG unveils AI app to stop illegal trade of shark and ray fins - FutureIoT,https://futureiot.tech/sg-unveils-ai-app-to-stop-illegal-trade-of-shark-and-ray-fins/,6/9/2022,SG unveils AI app to stop illegal trade of shark and ray fins&nbsp;&nbsp;FutureIoT,FutureIoT,IoT-General
"UP forest dept inks MoU with The Habitats Trust for conservation of wildlife, natural habitat - Hindustan Times",https://www.hindustantimes.com/cities/lucknow-news/up-forest-dept-inks-mou-with-the-habitats-trust-for-conservation-of-wildlife-natural-habitat-101653924595812.html,5/30/2022,"UP forest dept inks MoU with The Habitats Trust for conservation of wildlife, natural habitat&nbsp;&nbsp;Hindustan Times",Hindustan Times,IoT-General
High seas treaty on allocating fish across jurisdictions - The Manila Times,https://www.manilatimes.net/2022/06/11/opinion/columns/high-seas-treaty-on-allocating-fish-across-jurisdictions/1846937,6/10/2022,High seas treaty on allocating fish across jurisdictions&nbsp;&nbsp;The Manila Times,The Manila Times,IoT-General
Huawei Kenya partners with Safaricom and government to support wildlife conservation - Telecompaper EN,https://www.telecompaper.com/news/huawei-kenya-partners-with-safaricom-and-government-to-support-wildlife-conservation--1427012,6/8/2022,Huawei Kenya partners with Safaricom and government to support wildlife conservation&nbsp;&nbsp;Telecompaper EN,Telecompaper EN,IoT-General
How IoT Data Integration Helps Deliver Improved At-Home Healthcare in 2022 - HIT Consultant,https://hitconsultant.net/2022/06/16/iot-data-integration-at-home-healthcare/,6/16/2022,How IoT Data Integration Helps Deliver Improved At-Home Healthcare in 2022&nbsp;&nbsp;HIT Consultant,HIT Consultant,IoT-General
Aura’s Intelligent Safety Platform Should Create A Safer Internet For Consumers - Forbes,https://www.forbes.com/sites/patrickmoorhead/2022/06/16/auras-intelligent-safety-platform-should-create-a-safer-internet-for-consumers/,6/16/2022,Aura’s Intelligent Safety Platform Should Create A Safer Internet For Consumers&nbsp;&nbsp;Forbes,Forbes,IoT-General
The potential of 'small' wind for the telecoms industry - Total Telecom,https://www.totaltele.com/513612/The-potential-of-small-wind-for-the-telecoms-industry,6/16/2022,The potential of 'small' wind for the telecoms industry&nbsp;&nbsp;Total Telecom,Total Telecom,IoT-General
5 expert tips on introducing a smart factory system: Whitley - FierceElectronics,https://www.fierceelectronics.com/sensors/5-expert-tips-introducing-smart-factory-system-whitley,6/10/2022,5 expert tips on introducing a smart factory system: Whitley&nbsp;&nbsp;FierceElectronics,FierceElectronics,IoT-General
Astrocast acquiring Hiber as IoT M&A activity heats up - FierceElectronics,https://www.fierceelectronics.com/iot-wireless/astrocast-acquiring-hiber-iot-ma-activity-heats,6/6/2022,Astrocast acquiring Hiber as IoT M&amp;A activity heats up&nbsp;&nbsp;FierceElectronics,FierceElectronics,IoT-General
Biological diversity: Know 12 species of Nepal that need immediate attention - Online Khabar (English),https://english.onlinekhabar.com/biological-diversity-key-species.html,5/22/2022,Biological diversity: Know 12 species of Nepal that need immediate attention&nbsp;&nbsp;Online Khabar (English),Online Khabar (English),IoT-General
Emerging Marine Monitoring Technologies Enable More Effective Management of Protected Areas - The Pew Charitable Trusts,https://www.pewtrusts.org/research-and-analysis/articles/2021/09/27/emerging-marine-monitoring-technologies-enable-more-effective-management-of-protected-areas,9/27/2021,Emerging Marine Monitoring Technologies Enable More Effective Management of Protected Areas&nbsp;&nbsp;The Pew Charitable Trusts,The Pew Charitable Trusts,IoT-General
Arm aims new image signal processor at IoT embedded computer vision apps - FierceElectronics,https://www.fierceelectronics.com/iot-wireless/arm-aims-new-image-signal-processor-iot-embedded-computer-vision-apps,6/8/2022,Arm aims new image signal processor at IoT embedded computer vision apps&nbsp;&nbsp;FierceElectronics,FierceElectronics,IoT-General
7 Exciting Ways Researchers Study Elusive and Endangered Wildlife • The Revelator - The Revelator,https://therevelator.org/conservation-technology/,2/16/2022,7 Exciting Ways Researchers Study Elusive and Endangered Wildlife • The Revelator&nbsp;&nbsp;The Revelator,The Revelator,IoT-General
Data from thousands of cameras confirms protected areas promote mammal diversity - Science Daily,https://www.sciencedaily.com/releases/2022/01/220127120156.htm,1/27/2022,Data from thousands of cameras confirms protected areas promote mammal diversity&nbsp;&nbsp;Science Daily,Science Daily,IoT-General
Proposed N.J. Rule Says Half of Neighborhoods Are Overburdened - Governing,https://www.governing.com/community/proposed-n-j-rule-says-half-of-neighborhoods-are-overburdened,6/6/2022,Proposed N.J. Rule Says Half of Neighborhoods Are Overburdened&nbsp;&nbsp;Governing,Governing,IoT-General
Evaluating the benefits and risks of social media for wildlife conservation - FACETS Journal,https://www.facetsjournal.com/doi/10.1139/facets-2021-0112,3/10/2022,Evaluating the benefits and risks of social media for wildlife conservation&nbsp;&nbsp;FACETS Journal,FACETS Journal,IoT-General
Experts: AI inventors' designs should be protected in law - The Register,https://www.theregister.com/2022/05/28/experts_ai_patent_law/,5/28/2022,Experts: AI inventors' designs should be protected in law&nbsp;&nbsp;The Register,The Register,IoT-General
Five Tech Trends Impacting the Healthcare Industry - BBN Times,https://www.bbntimes.com/technology/five-tech-trends-impacting-the-healthcare-industry,6/16/2022,Five Tech Trends Impacting the Healthcare Industry&nbsp;&nbsp;BBN Times,BBN Times,IoT-General
"SlothBots, SnotBots, and Robobees: The role of robotics in conservation - Verdict",https://www.verdict.co.uk/robotics-in-conservation/,6/9/2022,"SlothBots, SnotBots, and Robobees: The role of robotics in conservation&nbsp;&nbsp;Verdict",Verdict,IoT-General
PolyU And MTR Groups to Explore Railway Technology Application - OpenGov Asia,https://opengovasia.com/polyu-and-mtr-groups-to-explore-railway-technology-application/,6/16/2022,PolyU And MTR Groups to Explore Railway Technology Application&nbsp;&nbsp;OpenGov Asia,OpenGov Asia,IoT-General
