Title,Link,pubDate,Description,Source,Tag
Sea turtle conservation gets boost from new DNA detection method - University of Florida,https://news.ufl.edu/2022/05/sea-turtle-edna/,5/24/2022,Sea turtle conservation gets boost from new DNA detection method&nbsp;&nbsp;University of Florida,University of Florida,Sensors-Marine
Inside the experimental world of animal infrastructure - MIT Technology Review,https://www.technologyreview.com/2022/06/16/1053631/inside-animal-infrastructure/,6/16/2022,Inside the experimental world of animal infrastructure&nbsp;&nbsp;MIT Technology Review,MIT Technology Review,Sensors-Marine
"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology - CBC News",https://www.cbc.ca/news/world/galapagos-illegal-fishing-satellite-technology-1.6469424,6/4/2022,"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology&nbsp;&nbsp;CBC News",CBC News,Sensors-Marine
New app aims to take a bite out of illegal shark fin trade - Conservation International,https://www.conservation.org/blog/new-app-aims-to-take-a-bite-out-of-illegal-shark-fin-trade,6/8/2022,New app aims to take a bite out of illegal shark fin trade&nbsp;&nbsp;Conservation International,Conservation International,Sensors-Marine
Emerging Marine Monitoring Technologies Enable More Effective Management of Protected Areas - The Pew Charitable Trusts,https://www.pewtrusts.org/research-and-analysis/articles/2021/09/27/emerging-marine-monitoring-technologies-enable-more-effective-management-of-protected-areas,9/27/2021,Emerging Marine Monitoring Technologies Enable More Effective Management of Protected Areas&nbsp;&nbsp;The Pew Charitable Trusts,The Pew Charitable Trusts,Sensors-Marine
Emerging technology gives first ever global view of hidden vessels - GlobeNewswire,https://www.globenewswire.com/news-release/2022/06/08/2458326/0/en/Emerging-technology-gives-first-ever-global-view-of-hidden-vessels.html,6/8/2022,Emerging technology gives first ever global view of hidden vessels&nbsp;&nbsp;GlobeNewswire,GlobeNewswire,Sensors-Marine
Metagenomics to characterize sediment microbial biodiversity associated with fishing exposure within the Stellwagen Bank National Marine Sanctuary | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-13409-5,6/9/2022,Metagenomics to characterize sediment microbial biodiversity associated with fishing exposure within the Stellwagen Bank National Marine Sanctuary | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Marine
Blue Bonds in Ecuador: An Innovative Approach to Conservation - Global Americans,https://theglobalamericans.org/2022/05/blue-bonds-in-ecuador/,5/24/2022,Blue Bonds in Ecuador: An Innovative Approach to Conservation&nbsp;&nbsp;Global Americans,Global Americans,Sensors-Marine
Financing conservation by valuing carbon services produced by wild animals | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/doi/10.1073/pnas.2120426119,5/25/2022,Financing conservation by valuing carbon services produced by wild animals | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org,Sensors-Marine
Aerial survey wrapping up for Southeast sea otters - KFSK,https://www.kfsk.org/2022/06/15/aerial-survey-wrapping-up-for-southeast-sea-otters/,6/15/2022,Aerial survey wrapping up for Southeast sea otters&nbsp;&nbsp;KFSK,KFSK,Sensors-Marine
International Day for Biological Diversity: Israeli tech making a difference - Geektime,https://www.geektime.com/international-day-for-biological-diversity-israeli-tech/,5/22/2022,International Day for Biological Diversity: Israeli tech making a difference&nbsp;&nbsp;Geektime,Geektime,Sensors-Marine
Voluntary consensus based geospatial data standards for the global illegal trade in wild fauna and flora | Scientific Data - Nature.com,https://www.nature.com/articles/s41597-022-01371-w,6/3/2022,Voluntary consensus based geospatial data standards for the global illegal trade in wild fauna and flora | Scientific Data&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Marine
Drones Shed Light on Underwater Treasure - Inside Unmanned Systems,https://insideunmannedsystems.com/drones-shed-light-on-underwater-treasure/,6/16/2022,Drones Shed Light on Underwater Treasure&nbsp;&nbsp;Inside Unmanned Systems,Inside Unmanned Systems,Sensors-Marine
Swimming with sharks and debunking misinformation — all part of the job of a shark scientist - CBC.ca,https://www.cbc.ca/radio/quirks/may-28-flying-salamanders-headbutting-animals-and-brain-damage-undersea-cable-sensors-and-more-1.6467018/swimming-with-sharks-and-debunking-misinformation-all-part-of-the-job-of-a-shark-scientist-1.6467032,5/27/2022,Swimming with sharks and debunking misinformation — all part of the job of a shark scientist&nbsp;&nbsp;CBC.ca,CBC.ca,Sensors-Marine
Interannual fluctuations in connectivity among crab populations (Liocarcinus depurator) along the Atlantic-Mediterranean transition | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-13941-4,6/13/2022,Interannual fluctuations in connectivity among crab populations (Liocarcinus depurator) along the Atlantic-Mediterranean transition | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Marine
"Questar uses AI, predictive analytics to keep fleets on the road - FierceElectronics",https://www.fierceelectronics.com/sensors/questar-uses-ai-predictive-analytics-keep-fleets-road,6/14/2022,"Questar uses AI, predictive analytics to keep fleets on the road&nbsp;&nbsp;FierceElectronics",FierceElectronics,Sensors-Marine
Monitoring of benthic eukaryotic communities in two tropical coastal lagoons through eDNA metabarcoding: a spatial and temporal approximation | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-13653-9,6/16/2022,Monitoring of benthic eukaryotic communities in two tropical coastal lagoons through eDNA metabarcoding: a spatial and temporal approximation | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Marine
What if I told you cruising is worse for the climate than flying? - International Council on Clean Transportation,https://theicct.org/marine-cruising-flying-may22/,5/16/2022,What if I told you cruising is worse for the climate than flying?&nbsp;&nbsp;International Council on Clean Transportation,International Council on Clean Transportation,Sensors-Marine
PolyU And MTR Groups to Explore Railway Technology Application - OpenGov Asia,https://opengovasia.com/polyu-and-mtr-groups-to-explore-railway-technology-application/,6/16/2022,PolyU And MTR Groups to Explore Railway Technology Application&nbsp;&nbsp;OpenGov Asia,OpenGov Asia,Sensors-Marine
IKIN ships holographic ARC terminal with no need for goggles - FierceElectronics,https://www.fierceelectronics.com/sensors/ikin-arc-ships-commercial-holographic-desktop-terminal-no-need-goggles,6/13/2022,IKIN ships holographic ARC terminal with no need for goggles&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Marine
2022 Hurricane Season - Louisiana State University,https://www.lsu.edu/mediacenter/news/2022/06/02hurricaneexperts.php,6/2/2022,2022 Hurricane Season&nbsp;&nbsp;Louisiana State University,Louisiana State University,Sensors-Marine
Population structure of blackfin tuna (Thunnus atlanticus) in the western Atlantic Ocean inferred from microsatellite loci | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-13857-z,6/14/2022,Population structure of blackfin tuna (Thunnus atlanticus) in the western Atlantic Ocean inferred from microsatellite loci | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Marine
Indian to Conduct 5G Spectrum Auctions in July - OpenGov Asia,https://opengovasia.com/indian-to-conduct-5g-spectrum-auctions-in-july/,6/16/2022,Indian to Conduct 5G Spectrum Auctions in July&nbsp;&nbsp;OpenGov Asia,OpenGov Asia,Sensors-Marine
5 expert tips on introducing a smart factory system: Whitley - FierceElectronics,https://www.fierceelectronics.com/sensors/5-expert-tips-introducing-smart-factory-system-whitley,6/10/2022,5 expert tips on introducing a smart factory system: Whitley&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Marine
Stony coral tissue loss disease decimated Caribbean coral populations and reshaped reef functionality | Communications Biology - Nature.com,https://www.nature.com/articles/s42003-022-03398-6,6/9/2022,Stony coral tissue loss disease decimated Caribbean coral populations and reshaped reef functionality | Communications Biology&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Marine
Researchers demonstrate the technique in a lithium-ion battery — ScienceDaily - Verve Times,https://vervetimes.com/researchers-demonstrate-the-technique-in-a-lithium-ion-battery-sciencedaily/,6/14/2022,Researchers demonstrate the technique in a lithium-ion battery — ScienceDaily&nbsp;&nbsp;Verve Times,Verve Times,Sensors-Marine
A 3D approach to protecting biodiversity on the high seas - Phys.org,https://phys.org/news/2022-04-3d-approach-biodiversity-high-seas.html,4/5/2022,A 3D approach to protecting biodiversity on the high seas&nbsp;&nbsp;Phys.org,Phys.org,Sensors-Marine
