Title,Link,pubDate,Description,Source,Tag
A self-cloning sea grass is the world's biggest plant: 3 stories you may have missed - Conservation International,https://www.conservation.org/blog/a-self-cloning-sea-grass-is-the-world-s-biggest-plant-3-stories-you-may-have-missed,6/13/2022,A self-cloning sea grass is the world's biggest plant: 3 stories you may have missed&nbsp;&nbsp;Conservation International,Conservation International,Sensors-Motion
Researchers compile largest-ever photo database of Amazon wildlife - Mongabay.com,https://news.mongabay.com/2022/05/researchers-compile-largest-ever-photo-database-of-amazon-wildlife/,5/20/2022,Researchers compile largest-ever photo database of Amazon wildlife&nbsp;&nbsp;Mongabay.com,Mongabay.com,Sensors-Motion
New app aims to take a bite out of illegal shark fin trade - Conservation International,https://www.conservation.org/blog/new-app-aims-to-take-a-bite-out-of-illegal-shark-fin-trade,6/8/2022,New app aims to take a bite out of illegal shark fin trade&nbsp;&nbsp;Conservation International,Conservation International,Sensors-Motion
Researchers Put Together the Largest Photo Database of Amazon's Wildlife - The Swaddle,https://theswaddle.com/researchers-put-together-the-largest-photo-database-of-amazons-wildlife/,5/25/2022,Researchers Put Together the Largest Photo Database of Amazon's Wildlife&nbsp;&nbsp;The Swaddle,The Swaddle,Sensors-Motion
Kangaroo Island's dunnarts were hit hard by bushfires. Now feral cats threaten them with extinction - ABC News,https://www.abc.net.au/news/science/2022-06-17/feral-cats-killing-kangaroo-island-dunnarts/101156628,6/16/2022,Kangaroo Island's dunnarts were hit hard by bushfires. Now feral cats threaten them with extinction&nbsp;&nbsp;ABC News,ABC News,Sensors-Motion
"Texas wildlife documentary features elusive, endangered ocelots in the Rio Grande Valley - Brownsville Herald",https://myrgv.com/local-news/2022/06/06/texas-wildlife-documentary-features-elusive-endangered-ocelots-in-the-rio-grande-valley/,6/7/2022,"Texas wildlife documentary features elusive, endangered ocelots in the Rio Grande Valley&nbsp;&nbsp;Brownsville Herald",Brownsville Herald,Sensors-Motion
Floridians asked to shut off unnecessary lights to keep baby sea turtles safe - WTSP.com,https://www.wtsp.com/article/life/animals/florida-sea-turtle-nesting-beaches-lights-lighting/67-66af3852-db3a-4973-8a34-cc03c23a6e79,6/15/2022,Floridians asked to shut off unnecessary lights to keep baby sea turtles safe&nbsp;&nbsp;WTSP.com,WTSP.com,Sensors-Motion
A guide to outdoor lighting | | republic-online.com - Miami County Republic,https://www.republic-online.com/a-guide-to-outdoor-lighting/article_51deaa7c-ea98-11ec-bd79-df27d06490f7.html,6/15/2022,A guide to outdoor lighting | | republic-online.com&nbsp;&nbsp;Miami County Republic,Miami County Republic,Sensors-Motion
Dallas Invents: 113 Patents Granted for Week of May 17 - dallasinnovates.com,https://dallasinnovates.com/dallas-invents-113-patents-granted-for-week-of-may-17/,6/14/2022,Dallas Invents: 113 Patents Granted for Week of May 17&nbsp;&nbsp;dallasinnovates.com,dallasinnovates.com,Sensors-Motion
State parks a integral part of the county landscape - The Star Beacon,https://www.starbeacon.com/news/state-parks-a-integral-part-of-the-county-landscape/article_f876c564-c7dd-11ec-a8d1-6fd455b4c7fc.html,6/1/2022,State parks a integral part of the county landscape&nbsp;&nbsp;The Star Beacon,The Star Beacon,Sensors-Motion
