Title,Link,pubDate,Description,Source,Tag
"Offshore wind developers, conservation groups collaborate to protect birds - Port City Daily",https://portcitydaily.com/local-news/2022/05/29/offshore-wind-developers-conservation-groups-collaborate-to-protect-birds/,5/29/2022,"Offshore wind developers, conservation groups collaborate to protect birds&nbsp;&nbsp;Port City Daily",Port City Daily,Sensors-Optical
Photonics applications emerge for agriculture - Laser Focus World,https://www.laserfocusworld.com/detectors-imaging/article/14276564/photonics-applications-emerge-for-agriculture,5/19/2022,Photonics applications emerge for agriculture&nbsp;&nbsp;Laser Focus World,Laser Focus World,Sensors-Optical
Do You Know Where the Tallest Trees on Earth Grow? - SnowBrains,https://snowbrains.com/do-you-know-where-the-tallest-trees-on-earth-grow/,5/24/2022,Do You Know Where the Tallest Trees on Earth Grow?&nbsp;&nbsp;SnowBrains,SnowBrains,Sensors-Optical
Crystal Diamond Mirrors Stand Up to Continuous-Wave Laser Powers - Photonics.com,https://www.photonics.com/Articles/Crystal_Diamond_Mirrors_Stand_Up_to/a68092,6/10/2022,Crystal Diamond Mirrors Stand Up to Continuous-Wave Laser Powers&nbsp;&nbsp;Photonics.com,Photonics.com,Sensors-Optical
Emerging technology gives first ever global view of hidden vessels - GlobeNewswire,https://www.globenewswire.com/news-release/2022/06/08/2458326/0/en/Emerging-technology-gives-first-ever-global-view-of-hidden-vessels.html,6/8/2022,Emerging technology gives first ever global view of hidden vessels&nbsp;&nbsp;GlobeNewswire,GlobeNewswire,Sensors-Optical
KF51 Panther: Germany's New Tank Could Be a 'Hunter-Killer' - 19FortyFive,https://www.19fortyfive.com/2022/06/kf51-panther-germanys-new-tank-that-could-break-all-of-the-rules/,6/14/2022,KF51 Panther: Germany's New Tank Could Be a 'Hunter-Killer'&nbsp;&nbsp;19FortyFive,19FortyFive,Sensors-Optical
Secret population of polar bears found living in seemingly impossible habitat - Verve Times,https://vervetimes.com/secret-population-of-polar-bears-found-living-in-seemingly-impossible-habitat/,6/16/2022,Secret population of polar bears found living in seemingly impossible habitat&nbsp;&nbsp;Verve Times,Verve Times,Sensors-Optical
Dallas Invents: 113 Patents Granted for Week of May 17 - dallasinnovates.com,https://dallasinnovates.com/dallas-invents-113-patents-granted-for-week-of-may-17/,6/14/2022,Dallas Invents: 113 Patents Granted for Week of May 17&nbsp;&nbsp;dallasinnovates.com,dallasinnovates.com,Sensors-Optical
Canada's human footprint reveals large intact areas juxtaposed against areas under immense anthropogenic pressure - FACETS Journal,https://www.facetsjournal.com/doi/10.1139/facets-2021-0063,3/19/2022,Canada's human footprint reveals large intact areas juxtaposed against areas under immense anthropogenic pressure&nbsp;&nbsp;FACETS Journal,FACETS Journal,Sensors-Optical
PolyU And MTR Groups to Explore Railway Technology Application - OpenGov Asia,https://opengovasia.com/polyu-and-mtr-groups-to-explore-railway-technology-application/,6/16/2022,PolyU And MTR Groups to Explore Railway Technology Application&nbsp;&nbsp;OpenGov Asia,OpenGov Asia,Sensors-Optical
