Title,Link,pubDate,Description,Source,Tag
"Roundup: 84 rare hog deer found present in NE Cambodia, raising hope for species conservation - China.org.cn",http://www.china.org.cn/world/Off_the_Wire/2022-06/16/content_78274731.htm,6/16/2022,"Roundup: 84 rare hog deer found present in NE Cambodia, raising hope for species conservation&nbsp;&nbsp;China.org.cn",China.org.cn,Sensors-Poaching
Group fights back against poachers along California coast - Spectrum News 1,https://spectrumnews1.com/ca/la-west/public-safety/2022/05/17/group-fights-poachers-california-coast,5/18/2022,Group fights back against poachers along California coast&nbsp;&nbsp;Spectrum News 1,Spectrum News 1,Sensors-Poaching
Zimbabwe Wants African Ivory Sales to Fund Elephant Conservation - Foreign Policy,https://foreignpolicy.com/2022/06/12/africa-ivory-trade-zimbabwe-elephant-poaching-conservation/,6/12/2022,Zimbabwe Wants African Ivory Sales to Fund Elephant Conservation&nbsp;&nbsp;Foreign Policy,Foreign Policy,Sensors-Poaching
Using leeches to map biodiversity – Harvard Gazette - Harvard Gazette,https://news.harvard.edu/gazette/story/2022/06/using-leeches-to-map-biodiversity/,6/15/2022,Using leeches to map biodiversity – Harvard Gazette&nbsp;&nbsp;Harvard Gazette,Harvard Gazette,Sensors-Poaching
"Campaign against animal traps in Stung Treng a success, says ministry - Khmer Times",https://www.khmertimeskh.com/501078050/campaign-against-animal-traps-in-stung-treng-a-success-says-ministry/,5/19/2022,"Campaign against animal traps in Stung Treng a success, says ministry&nbsp;&nbsp;Khmer Times",Khmer Times,Sensors-Poaching
Go Beyond the Safari With These Wildlife-focused Volunteer Trips in East and Southern Africa - Travel + Leisure,https://www.travelandleisure.com/animals/africa-wildlife-conservation-voluntourism-trips,6/9/2022,Go Beyond the Safari With These Wildlife-focused Volunteer Trips in East and Southern Africa&nbsp;&nbsp;Travel + Leisure,Travel + Leisure,Sensors-Poaching
Can Humans and Jaguars Coexist? A Wildlife Biologist Uses Technology and Education to Reduce Conflict - Smithsonian Magazine,https://www.smithsonianmag.com/blogs/smithsonian-tropical-research-institute/2022/05/27/can-humans-and-jaguars-coexist-a-wildlife-biologist-uses-technology-and-education-to-reduce-conflict/,5/27/2022,Can Humans and Jaguars Coexist? A Wildlife Biologist Uses Technology and Education to Reduce Conflict&nbsp;&nbsp;Smithsonian Magazine,Smithsonian Magazine,Sensors-Poaching
"Protect Persian leopards, and their defenders, for World Environment Day (commentary) - Mongabay.com",https://news.mongabay.com/2022/06/protect-persian-leopards-and-their-defenders-for-world-environment-day-commentary/,6/3/2022,"Protect Persian leopards, and their defenders, for World Environment Day (commentary)&nbsp;&nbsp;Mongabay.com",Mongabay.com,Sensors-Poaching
NC State Student Supports Wildlife Conservation in Africa - NC State College of Natural Resources News,https://cnr.ncsu.edu/news/2022/01/nc-state-student-supports-wildlife-conservation-in-africa/,1/24/2022,NC State Student Supports Wildlife Conservation in Africa&nbsp;&nbsp;NC State College of Natural Resources News,NC State College of Natural Resources News,Sensors-Poaching
'Protecting snow leopards benefits other species': Q&A with Rinzin Phunjok Lama - Mongabay.com,https://news.mongabay.com/2022/06/protecting-snow-leopards-benefits-other-species-qa-with-rinzin-phunjok-lama/,6/9/2022,'Protecting snow leopards benefits other species': Q&amp;A with Rinzin Phunjok Lama&nbsp;&nbsp;Mongabay.com,Mongabay.com,Sensors-Poaching
