Title,Link,pubDate,Description,Source,Tag
Can conservation technology help save our rapidly disappearing species? | Problem Solved - Mongabay.com,https://news.mongabay.com/2022/06/can-conservation-technology-help-save-our-rapidly-disappearing-species-problem-solved/,6/8/2022,Can conservation technology help save our rapidly disappearing species? | Problem Solved&nbsp;&nbsp;Mongabay.com,Mongabay.com,Sensors-Remote
Inside the experimental world of animal infrastructure - MIT Technology Review,https://www.technologyreview.com/2022/06/16/1053631/inside-animal-infrastructure/,6/16/2022,Inside the experimental world of animal infrastructure&nbsp;&nbsp;MIT Technology Review,MIT Technology Review,Sensors-Remote
Becoming a Pilot Biologist for the US Fish and Wildlife Service - US Fish and Wildlife Service,https://www.fws.gov/story/becoming-pilot-biologist-us-fish-and-wildlife-service,6/8/2022,Becoming a Pilot Biologist for the US Fish and Wildlife Service&nbsp;&nbsp;US Fish and Wildlife Service,US Fish and Wildlife Service,Sensors-Remote
Financing conservation by valuing carbon services produced by wild animals | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/doi/10.1073/pnas.2120426119,5/25/2022,Financing conservation by valuing carbon services produced by wild animals | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org,Sensors-Remote
The NICFI Satellite Data Program is Being Leveraged Globally... - planet.com,https://www.planet.com/pulse/the-nicfi-satellite-data-program-is-being-leveraged-globally-to-advance-science-and-protect-forests/,6/10/2022,The NICFI Satellite Data Program is Being Leveraged Globally...&nbsp;&nbsp;planet.com,planet.com,Sensors-Remote
Marking of forest boundaries to begin shortly - The Hindu,https://www.thehindu.com/news/cities/Kochi/marking-of-forest-boundaries-to-begin-shortly/article65520624.ece,6/12/2022,Marking of forest boundaries to begin shortly&nbsp;&nbsp;The Hindu,The Hindu,Sensors-Remote
Forest dept to carry out study on impact of buffer zones on human settlements | Kerala | Onmanorama - Onmanorama,https://www.onmanorama.com/news/kerala/2022/06/11/forest-dept-to-study-buffer-zones-impact-on-human-settlements.html,6/11/2022,Forest dept to carry out study on impact of buffer zones on human settlements | Kerala | Onmanorama&nbsp;&nbsp;Onmanorama,Onmanorama,Sensors-Remote
A Big Thank You from Snapshot Wisconsin | Science Mission Directorate - Science@NASA,https://science.nasa.gov/science-news/citizenscience/a-big-thank-you-from-snapshot-wisconsin,6/3/2022,A Big Thank You from Snapshot Wisconsin | Science Mission Directorate&nbsp;&nbsp;Science@NASA,Science@NASA,Sensors-Remote
A Business Watchdog Uses GeoAI for Amazon Conservation - Esri,https://www.esri.com/about/newsroom/publications/wherenext/geoai-corporate-responsibility-and-the-vigilance-of-a-climate-watchdog/,5/17/2022,A Business Watchdog Uses GeoAI for Amazon Conservation&nbsp;&nbsp;Esri,Esri,Sensors-Remote
Chinese researchers explore new artificial glacier melt reduction method - ecns,http://www.ecns.cn/news/2022-06-15/detail-ihaziuqy8688557.shtml,6/15/2022,Chinese researchers explore new artificial glacier melt reduction method&nbsp;&nbsp;ecns,ecns,Sensors-Remote
Protected moat to limit construction around Golconda Fort - The Hindu,https://www.thehindu.com/news/national/telangana/protected-moat-to-limit-construction-around-golconda-fort/article65511316.ece,6/9/2022,Protected moat to limit construction around Golconda Fort&nbsp;&nbsp;The Hindu,The Hindu,Sensors-Remote
2022 Hurricane Season - Louisiana State University,https://www.lsu.edu/mediacenter/news/2022/06/02hurricaneexperts.php,6/2/2022,2022 Hurricane Season&nbsp;&nbsp;Louisiana State University,Louisiana State University,Sensors-Remote
"“Regenera America”, Mercado Libre's program that supports biome regeneration and conservation projects in Latin America, will reach U$18 million in 2022 - FinTech Futures",https://www.fintechfutures.com/techwire/regenera-america-mercado-libres-program-that-supports-biome-regeneration-and-conservation-projects-in-latin-america-will-reach-u18-million-in-2022/,6/10/2022,"“Regenera America”, Mercado Libre's program that supports biome regeneration and conservation projects in Latin America, will reach U$18 million in 2022&nbsp;&nbsp;FinTech Futures",FinTech Futures,Sensors-Remote
Measuring success: The path to real conservation gains - Yale News,https://news.yale.edu/2022/01/05/measuring-success-path-real-conservation-gains,1/5/2022,Measuring success: The path to real conservation gains&nbsp;&nbsp;Yale News,Yale News,Sensors-Remote
These new technologies could transform wildlife conservation - The Hill,https://thehill.com/changing-america/sustainability/environment/592820-these-new-technologies-could-transform-wildlife/,2/4/2022,These new technologies could transform wildlife conservation&nbsp;&nbsp;The Hill,The Hill,Sensors-Remote
"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology - CBC News",https://www.cbc.ca/news/world/galapagos-illegal-fishing-satellite-technology-1.6469424,6/4/2022,"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology&nbsp;&nbsp;CBC News",CBC News,Sensors-Remote
"To predict forest loss in protected areas, look at nearby unprotected forest - Mongabay.com",https://news.mongabay.com/2021/10/to-predict-forest-loss-in-protected-areas-look-at-nearby-unprotected-forest/,10/13/2021,"To predict forest loss in protected areas, look at nearby unprotected forest&nbsp;&nbsp;Mongabay.com",Mongabay.com,Sensors-Remote
How are Sensors Used in Conservation Efforts? - AZoSensors,https://www.azosensors.com/article.aspx?ArticleID=2414,12/29/2021,How are Sensors Used in Conservation Efforts?&nbsp;&nbsp;AZoSensors,AZoSensors,Sensors-Remote
Emerging Marine Monitoring Technologies Enable More Effective Management of Protected Areas - The Pew Charitable Trusts,https://www.pewtrusts.org/research-and-analysis/articles/2021/09/27/emerging-marine-monitoring-technologies-enable-more-effective-management-of-protected-areas,9/27/2021,Emerging Marine Monitoring Technologies Enable More Effective Management of Protected Areas&nbsp;&nbsp;The Pew Charitable Trusts,The Pew Charitable Trusts,Sensors-Remote
"Campaign on Butterflies diversity, conservation organized at Raika Environmental Park - India Education Diary",https://indiaeducationdiary.in/campaign-on-butterflies-diversity-conservation-organized-at-raika-environmental-park/,5/27/2022,"Campaign on Butterflies diversity, conservation organized at Raika Environmental Park&nbsp;&nbsp;India Education Diary",India Education Diary,Sensors-Remote
Emerging technology gives first ever global view of hidden vessels - Financial Post,https://financialpost.com/globe-newswire/emerging-technology-gives-first-ever-global-view-of-hidden-vessels,6/8/2022,Emerging technology gives first ever global view of hidden vessels&nbsp;&nbsp;Financial Post,Financial Post,Sensors-Remote
"Satellites reveal widespread burning on England’s protected peatlands, despite government ban - Unearthed",https://unearthed.greenpeace.org/2022/05/30/satellites-fires-burning-england-peatland-grouse-shooting/,5/30/2022,"Satellites reveal widespread burning on England’s protected peatlands, despite government ban&nbsp;&nbsp;Unearthed",Unearthed,Sensors-Remote
Environmental Performance Index has many indicators based on unfounded assumptions - Devdiscourse,https://www.devdiscourse.com/article/science-environment/2065490-environmental-performance-index-has-many-indicators-based-on-unfounded-assumptions,6/8/2022,Environmental Performance Index has many indicators based on unfounded assumptions&nbsp;&nbsp;Devdiscourse,Devdiscourse,Sensors-Remote
"Identifying conservation technology needs, barriers, and opportunities | Scientific Reports - Nature.com",https://www.nature.com/articles/s41598-022-08330-w,3/21/2022,"Identifying conservation technology needs, barriers, and opportunities | Scientific Reports&nbsp;&nbsp;Nature.com",Nature.com,Sensors-Remote
Improving biodiversity protection through artificial intelligence - Nature.com,https://www.nature.com/articles/s41893-022-00851-6,3/24/2022,Improving biodiversity protection through artificial intelligence&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Remote
Evaluating the benefits and risks of social media for wildlife conservation - FACETS Journal,https://www.facetsjournal.com/doi/10.1139/facets-2021-0112,3/10/2022,Evaluating the benefits and risks of social media for wildlife conservation&nbsp;&nbsp;FACETS Journal,FACETS Journal,Sensors-Remote
Conservation opportunities and challenges in Brazil's roadless and railroad-less areas - Science,https://www.science.org/doi/10.1126/sciadv.abi5548,3/4/2022,Conservation opportunities and challenges in Brazil's roadless and railroad-less areas&nbsp;&nbsp;Science,Science,Sensors-Remote
There's nowhere to hide: This drone can track targets through forests - The Next Web,https://thenextweb.com/news/theres-nowhere-hide-drone-can-track-targets-through-forests,5/24/2022,There's nowhere to hide: This drone can track targets through forests&nbsp;&nbsp;The Next Web,The Next Web,Sensors-Remote
"Collective action needed to create balance between man, nature: Manoj Sinha - Rising Kashmir",https://www.risingkashmir.com/Collective-action-needed-to-create-balance-between-man--nature--Manoj-Sinha-108386,6/5/2022,"Collective action needed to create balance between man, nature: Manoj Sinha&nbsp;&nbsp;Rising Kashmir",Rising Kashmir,Sensors-Remote
New Western Ghats panel to look at proposals on ESAs under each stakeholder state - Deccan Herald,https://www.deccanherald.com/national/new-western-ghats-panel-to-look-at-proposals-on-esas-under-each-stakeholder-state-1116279.html,6/8/2022,New Western Ghats panel to look at proposals on ESAs under each stakeholder state&nbsp;&nbsp;Deccan Herald,Deccan Herald,Sensors-Remote
Preserving Biodiversity: Islamia College leads the way - Greater Kashmir,https://www.greaterkashmir.com/kashmir/preserving-biodiversity-islamia-college-leads-the-way,5/29/2022,Preserving Biodiversity: Islamia College leads the way&nbsp;&nbsp;Greater Kashmir,Greater Kashmir,Sensors-Remote
Why 'catastrophic' wildfire isn't completely catastrophic | Environment | taosnews.com - taosnews,https://www.taosnews.com/news/environment/why-catastrophic-wildfire-isnt-completely-catastrophic/article_d190c227-feba-5968-9325-f85f17f5974c.html,6/8/2022,Why 'catastrophic' wildfire isn't completely catastrophic | Environment | taosnews.com&nbsp;&nbsp;taosnews,taosnews,Sensors-Remote
AI Species Identifications from Audio Recordings - Bay Nature,https://baynature.org/2022/04/04/can-machine-learning-identify-species-from-sound-alone-a-north-bay-group-is-trying/,4/4/2022,AI Species Identifications from Audio Recordings&nbsp;&nbsp;Bay Nature,Bay Nature,Sensors-Remote
A global record of annual terrestrial Human Footprint dataset from 2000 to 2018 | Scientific Data - Nature.com,https://www.nature.com/articles/s41597-022-01284-8,4/19/2022,A global record of annual terrestrial Human Footprint dataset from 2000 to 2018 | Scientific Data&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Remote
Cambodia: Illegal logging harming Indigenous peoples' rights and cultures – new research - Amnesty International,https://www.amnesty.org/en/latest/news/2022/01/cambodia-illegal-logging-harming-indigenous-peoples-rights-and-cultures-new-research/,1/28/2022,Cambodia: Illegal logging harming Indigenous peoples' rights and cultures – new research&nbsp;&nbsp;Amnesty International,Amnesty International,Sensors-Remote
Satellites and AI used to measure forests' carbon from space - North Shore News,https://www.nsnews.com/local-news/north-van-firm-looks-to-measure-tree-canopies-from-space-5411760,5/28/2022,Satellites and AI used to measure forests' carbon from space&nbsp;&nbsp;North Shore News,North Shore News,Sensors-Remote
Why biodiversity—and global collaboration—is more important than it's ever been – The NAU Review - NAU News,https://news.nau.edu/un-biodiversity-lab/,10/20/2021,Why biodiversity—and global collaboration—is more important than it's ever been – The NAU Review&nbsp;&nbsp;NAU News,NAU News,Sensors-Remote
Cisco : Foundation sparks innovation by investing in promising solutions to climate change - Marketscreener.com,https://www.marketscreener.com/quote/stock/CISCO-SYSTEMS-INC-4862/news/Cisco-Foundation-sparks-innovation-by-investing-in-promising-solutions-to-climate-change-40742950/,6/16/2022,Cisco : Foundation sparks innovation by investing in promising solutions to climate change&nbsp;&nbsp;Marketscreener.com,Marketscreener.com,Sensors-Remote
New science: Removing 'climber' plants doubles tree growth — and more - Conservation International,https://www.conservation.org/blog/new-science-removing-climber-plants-doubles-tree-growth-and-more,5/5/2022,New science: Removing 'climber' plants doubles tree growth — and more&nbsp;&nbsp;Conservation International,Conservation International,Sensors-Remote
Global forest management data for 2015 at a 100 m resolution | Scientific Data - Nature.com,https://www.nature.com/articles/s41597-022-01332-3,5/10/2022,Global forest management data for 2015 at a 100 m resolution | Scientific Data&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Remote
AutoML-ID: automated machine learning model for intrusion detection using wireless sensor network | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-13061-z,5/31/2022,AutoML-ID: automated machine learning model for intrusion detection using wireless sensor network | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Remote
Thinning increases forest resiliency during unprecedented drought | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12982-z,5/31/2022,Thinning increases forest resiliency during unprecedented drought | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Remote
Assam: Aaranyak organises nature camp to prepare next-gen conservationists - EastMojo,https://www.eastmojo.com/news/2022/04/12/assam-aaranyak-organises-nature-camp-to-prepare-next-gen-conservationists/,4/12/2022,Assam: Aaranyak organises nature camp to prepare next-gen conservationists&nbsp;&nbsp;EastMojo,EastMojo,Sensors-Remote
Photonics applications emerge for agriculture - Laser Focus World,https://www.laserfocusworld.com/detectors-imaging/article/14276564/photonics-applications-emerge-for-agriculture,5/19/2022,Photonics applications emerge for agriculture&nbsp;&nbsp;Laser Focus World,Laser Focus World,Sensors-Remote
Special Topics | US Geological Survey - United States Geological Survey (.gov),https://www.usgs.gov/special-topics,5/31/2022,Special Topics | US Geological Survey&nbsp;&nbsp;United States Geological Survey (.gov),United States Geological Survey (.gov),Sensors-Remote
Stony coral tissue loss disease decimated Caribbean coral populations and reshaped reef functionality | Communications Biology - Nature.com,https://www.nature.com/articles/s42003-022-03398-6,6/9/2022,Stony coral tissue loss disease decimated Caribbean coral populations and reshaped reef functionality | Communications Biology&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Remote
UBC experts on flooding and extreme weather - UBC News,https://news.ubc.ca/2022/06/13/ubc-experts-on-flooding-and-extreme-weather-kelowna-state-of-emergency/,6/13/2022,UBC experts on flooding and extreme weather&nbsp;&nbsp;UBC News,UBC News,Sensors-Remote
"Department of Forestry, Fisheries and the Environment's (DFFE) Internship Programme 2022 for Unemployed South African graduates. - Opportunities For Africans",https://www.opportunitiesforafricans.com/department-of-forestry-fisheries-and-the-environmets-dffe-internship-programme-2022/,5/30/2022,"Department of Forestry, Fisheries and the Environment's (DFFE) Internship Programme 2022 for Unemployed South African graduates.&nbsp;&nbsp;Opportunities For Africans",Opportunities For Africans,Sensors-Remote
Maharashtra Mangrove Cell appoints CSIR-NIO to identify sites for restoration of corals - The Indian Express,https://indianexpress.com/article/cities/mumbai/maharashtra-mangrove-cell-csir-nio-restoration-of-corals-7961581/,6/10/2022,Maharashtra Mangrove Cell appoints CSIR-NIO to identify sites for restoration of corals&nbsp;&nbsp;The Indian Express,The Indian Express,Sensors-Remote
Biodiversity and infrastructure interact to drive tourism to and within Costa Rica | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/doi/10.1073/pnas.2107662119,3/4/2022,Biodiversity and infrastructure interact to drive tourism to and within Costa Rica | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org,Sensors-Remote
Effectiveness of protection areas in safeguarding biodiversity and ecosystem services in Tibet Autonomous Region | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-021-03653-6,1/21/2022,Effectiveness of protection areas in safeguarding biodiversity and ecosystem services in Tibet Autonomous Region | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Remote
Journeying in biocultural diversity and conservation philanthropy: Q&A with Ken Wilson - Mongabay.com,https://news.mongabay.com/2022/02/journeying-in-biocultural-diversity-and-conservation-philanthropy-qa-with-ken-wilson/,2/8/2022,Journeying in biocultural diversity and conservation philanthropy: Q&amp;A with Ken Wilson&nbsp;&nbsp;Mongabay.com,Mongabay.com,Sensors-Remote
What if I told you cruising is worse for the climate than flying? - International Council on Clean Transportation,https://theicct.org/marine-cruising-flying-may22/,5/16/2022,What if I told you cruising is worse for the climate than flying?&nbsp;&nbsp;International Council on Clean Transportation,International Council on Clean Transportation,Sensors-Remote
Reading the Landscape - NASA Applied Science,https://appliedsciences.nasa.gov/our-impact/people/reading-landscape,1/21/2022,Reading the Landscape&nbsp;&nbsp;NASA Applied Science,NASA Applied Science,Sensors-Remote
Changes in land use enhance the sensitivity of tropical ecosystems to fire-climate extremes | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-05130-0,1/19/2022,Changes in land use enhance the sensitivity of tropical ecosystems to fire-climate extremes | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Remote
"Notes from the field: Forest drones, gorilla germs and more - Conservation International",https://www.conservation.org/blog/notes-from-the-field-forest-drones-gorilla-germs-and-more,10/21/2021,"Notes from the field: Forest drones, gorilla germs and more&nbsp;&nbsp;Conservation International",Conservation International,Sensors-Remote
Creating a more productive farm workforce - The Tribune India,https://www.tribuneindia.com/news/comment/creating-a-more-productive-farm-workforce-404196,6/16/2022,Creating a more productive farm workforce&nbsp;&nbsp;The Tribune India,The Tribune India,Sensors-Remote
Bird populations in eastern Canada declining due to forest degradation | surfbirds - Surfbirds News,http://www.surfbirds.com/community-blogs/blog/2022/05/27/bird-populations-in-eastern-canada-declining-due-to-forest-degradation/,5/27/2022,Bird populations in eastern Canada declining due to forest degradation | surfbirds&nbsp;&nbsp;Surfbirds News,Surfbirds News,Sensors-Remote
Tropical deforestation emitting far more carbon than previously thought: Study - Mongabay.com,https://news.mongabay.com/2022/03/tropical-deforestation-emitting-far-more-carbon-than-previously-thought-study/,3/15/2022,Tropical deforestation emitting far more carbon than previously thought: Study&nbsp;&nbsp;Mongabay.com,Mongabay.com,Sensors-Remote
Space Infrastructure for a Sustainable Arctic: Opportunities and Challenges of Spaceport Development in the High North - The Arctic Institute,https://www.thearcticinstitute.org/space-infrastructure-sustainable-arctic-opportunities-and-challenges-spaceport-development-high-north/,5/31/2022,Space Infrastructure for a Sustainable Arctic: Opportunities and Challenges of Spaceport Development in the High North&nbsp;&nbsp;The Arctic Institute,The Arctic Institute,Sensors-Remote
Planet's Data Helps Amnesty International Tackle Deforestation In Cambodia - planet.com,https://www.planet.com/pulse/planets-data-helps-amnesty-international-tackle-deforestation-in-cambodia/,4/1/2022,Planet's Data Helps Amnesty International Tackle Deforestation In Cambodia&nbsp;&nbsp;planet.com,planet.com,Sensors-Remote
"Vermont Fish & Wildlife's map project wins $100,000 federal grant to help wildlife adapt to climate change - Mountaintimes",https://mountaintimes.info/vermont-fish-wildlifes-map-project-wins-100000-federal-grant-to-help-wildlife-adapt-to-climate-change/,12/1/2021,"Vermont Fish & Wildlife's map project wins $100,000 federal grant to help wildlife adapt to climate change&nbsp;&nbsp;Mountaintimes",Mountaintimes,Sensors-Remote
A synthesis and future research directions for tropical mountain ecosystem restoration | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-021-03205-y,12/14/2021,A synthesis and future research directions for tropical mountain ecosystem restoration | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Remote
Canada's human footprint reveals large intact areas juxtaposed against areas under immense anthropogenic pressure - FACETS Journal,https://www.facetsjournal.com/doi/10.1139/facets-2021-0063,3/19/2022,Canada's human footprint reveals large intact areas juxtaposed against areas under immense anthropogenic pressure&nbsp;&nbsp;FACETS Journal,FACETS Journal,Sensors-Remote
‘Mind-Blowing’ Lost City With a Cosmic Link Discovered in the Amazon - VICE,https://www.vice.com/en/article/3abxv5/mind-blowing-lost-city-with-a-cosmic-link-discovered-in-the-amazon,5/26/2022,‘Mind-Blowing’ Lost City With a Cosmic Link Discovered in the Amazon&nbsp;&nbsp;VICE,VICE,Sensors-Remote
How we charted a new course for nature's recovery in 2021 - WWF.CA - WWF-Canada Blog,https://wwf.ca/stories/conservation-wins-nature-recovery-2021/,12/30/2021,How we charted a new course for nature's recovery in 2021 - WWF.CA&nbsp;&nbsp;WWF-Canada Blog,WWF-Canada Blog,Sensors-Remote
"Conservation will only scale when non-conservationists see its value, says James Deutsch - Mongabay.com",https://news.mongabay.com/2021/10/conservation-will-only-scale-when-non-conservationists-see-its-value-says-james-deutsch/,10/12/2021,"Conservation will only scale when non-conservationists see its value, says James Deutsch&nbsp;&nbsp;Mongabay.com",Mongabay.com,Sensors-Remote
Past awards - Ecologists in Africa - British Ecological Society,https://www.britishecologicalsociety.org/funding/ecologists-in-africa/past-awards-ecologists-in-africa/,2/8/2022,Past awards - Ecologists in Africa&nbsp;&nbsp;British Ecological Society,British Ecological Society,Sensors-Remote
Dirt First - Sierra Club,https://www.sierraclub.org/sierra/2022-2-summer/feature/dirt-first-carbon-farming-regenerative-agriculture,6/14/2022,Dirt First&nbsp;&nbsp;Sierra Club,Sierra Club,Sensors-Remote
The year in rainforests 2021 - Mongabay.com,https://news.mongabay.com/2021/12/the-year-in-rainforests-2021/,12/29/2021,The year in rainforests 2021&nbsp;&nbsp;Mongabay.com,Mongabay.com,Sensors-Remote
