Title,Link,pubDate,Description,Source,Tag
Kansas Wildlife and Parks Commission to Meet on June 23 - Kansas Department of Wildlife and Parks,https://ksoutdoors.com/KDWP-Info/News/Weekly-News/6-10-22-Kansas-Wildlife-and-Parks-Commission-to-Meet-on-June-23/Kansas-Wildlife-and-Parks-Commission-to-Meet-on-June-23,6/10/2022,Kansas Wildlife and Parks Commission to Meet on June 23&nbsp;&nbsp;Kansas Department of Wildlife and Parks,Kansas Department of Wildlife and Parks,Telemetry
Growing network of radio stations provide important data on small animal migration - EIN News,https://www.einnews.com/amp/pr_news/576789512/growing-network-of-radio-stations-provide-important-data-on-small-animal-migration,6/14/2022,Growing network of radio stations provide important data on small animal migration&nbsp;&nbsp;EIN News,EIN News,Telemetry
Using Light-Level Geolocators to Track Birds – Alice Echo News Journal - Alice Echo News-Journal,https://www.alicetx.com/2022/06/12/using-light-level-geolocators-to-track-birds/,6/12/2022,Using Light-Level Geolocators to Track Birds – Alice Echo News Journal&nbsp;&nbsp;Alice Echo News-Journal,Alice Echo News-Journal,Telemetry
"Navy Unit Transfers Into Space Force, Becomes 10th Space Operations Squadron - Air Force Magazine",https://www.airforcemag.com/navy-unit-transfers-into-space-force-becomes-10th-space-operations-squadron/,6/14/2022,"Navy Unit Transfers Into Space Force, Becomes 10th Space Operations Squadron&nbsp;&nbsp;Air Force Magazine",Air Force Magazine,Telemetry
Charter expects positive sub growth in Q2 despite hefty ACP losses - FierceTelecom,https://www.fiercetelecom.com/broadband/charter-expects-positive-sub-growth-q2-despite-hefty-acp-losses,6/15/2022,Charter expects positive sub growth in Q2 despite hefty ACP losses&nbsp;&nbsp;FierceTelecom,FierceTelecom,Telemetry
Dallas Invents: 113 Patents Granted for Week of May 17 - dallasinnovates.com,https://dallasinnovates.com/dallas-invents-113-patents-granted-for-week-of-may-17/,6/15/2022,Dallas Invents: 113 Patents Granted for Week of May 17&nbsp;&nbsp;dallasinnovates.com,dallasinnovates.com,Telemetry
BlackBerry Launches new Zero Trust Network Access (ZTNA) Solution with CylanceGATEWAY - PR Newswire,https://www.prnewswire.com/news-releases/blackberry-launches-new-zero-trust-network-access-ztna-solution-with-cylancegateway-301562518.html,6/7/2022,BlackBerry Launches new Zero Trust Network Access (ZTNA) Solution with CylanceGATEWAY&nbsp;&nbsp;PR Newswire,PR Newswire,Telemetry
"CO Reports: ATV violations reported, burning regulations in place - Pine and Lakes Echo Journal",https://www.pineandlakes.com/sports/northland-outdoors/co-reports-atv-violations-reported-burning-regulations-in-place,6/14/2022,"CO Reports: ATV violations reported, burning regulations in place&nbsp;&nbsp;Pine and Lakes Echo Journal",Pine and Lakes Echo Journal,Telemetry
Wildlife Leadership Academy sparks passion among teens - Sunbury Daily Item,https://www.dailyitem.com/wildlife-leadership-academy-sparks-passion-among-teens/article_40528c0e-5f71-11ec-8255-67a30906b525.html,12/19/2021,Wildlife Leadership Academy sparks passion among teens&nbsp;&nbsp;Sunbury Daily Item,Sunbury Daily Item,Telemetry
From tiger to snow leopard: 50 years of conservation science in India - Scroll.in,https://scroll.in/article/1017452/from-tiger-to-snow-leopard-50-years-of-conservation-science-in-india,2/16/2022,From tiger to snow leopard: 50 years of conservation science in India&nbsp;&nbsp;Scroll.in,Scroll.in,Telemetry
