Title,Link,pubDate,Description,Source,Tag
"Off-road vehicles are tearing up N.J.’s Pinelands, says new report - The Philadelphia Inquirer",https://www.inquirer.com/news/new-jersey-pinelands-pine-barrens-wharton-state-forest-off-road-vehicles-20220607.html,6/7/2022,"Off-road vehicles are tearing up N.J.’s Pinelands, says new report&nbsp;&nbsp;The Philadelphia Inquirer",The Philadelphia Inquirer,Vehicles
Inside the experimental world of animal infrastructure - MIT Technology Review,https://www.technologyreview.com/2022/06/16/1053631/inside-animal-infrastructure/,6/16/2022,Inside the experimental world of animal infrastructure&nbsp;&nbsp;MIT Technology Review,MIT Technology Review,Vehicles
"For wildlife on Brazil's highways, roadkill is just the tip of the iceberg - Mongabay.com",https://news.mongabay.com/2022/05/for-wildlife-on-brazils-highways-roadkill-is-just-the-tip-of-the-iceberg/,5/25/2022,"For wildlife on Brazil's highways, roadkill is just the tip of the iceberg&nbsp;&nbsp;Mongabay.com",Mongabay.com,Vehicles
How you can help turtles | US Fish & Wildlife Service - US Fish and Wildlife Service,https://www.fws.gov/story/how-you-can-help-turtles,5/19/2022,How you can help turtles | US Fish & Wildlife Service&nbsp;&nbsp;US Fish and Wildlife Service,US Fish and Wildlife Service,Vehicles
Which way ahead for biodiversity conservation? Answer may lie in communities - Down To Earth Magazine,https://www.downtoearth.org.in/blog/wildlife-and-biodiversity/which-way-ahead-for-biodiversity-conservation-answer-may-lie-in-communities-82955,5/22/2022,Which way ahead for biodiversity conservation? Answer may lie in communities&nbsp;&nbsp;Down To Earth Magazine,Down To Earth Magazine,Vehicles
Imperiled beach-nesting bird success leans on work of State Parks volunteers - Florida Politics,https://floridapolitics.com/archives/532910-shorebird-state-parks-volunteers/,6/16/2022,Imperiled beach-nesting bird success leans on work of State Parks volunteers&nbsp;&nbsp;Florida Politics,Florida Politics,Vehicles
How Better Road Designs Can Cut Down Roadkill - Outlook India,https://www.outlookindia.com/national/how-better-road-designs-can-cut-down-roadkill-news-202359,6/15/2022,How Better Road Designs Can Cut Down Roadkill&nbsp;&nbsp;Outlook India,Outlook India,Vehicles
Can Humans and Jaguars Coexist? A Wildlife Biologist Uses Technology and Education to Reduce Conflict - Smithsonian Magazine,https://www.smithsonianmag.com/blogs/smithsonian-tropical-research-institute/2022/05/27/can-humans-and-jaguars-coexist-a-wildlife-biologist-uses-technology-and-education-to-reduce-conflict/,5/27/2022,Can Humans and Jaguars Coexist? A Wildlife Biologist Uses Technology and Education to Reduce Conflict&nbsp;&nbsp;Smithsonian Magazine,Smithsonian Magazine,Vehicles
Young Veterinarians Get Hands-On Training With Wildlife in Africa - Treehugger,https://www.treehugger.com/young-veterinarians-get-hands-on-training-with-wildlife-5324839,6/15/2022,Young Veterinarians Get Hands-On Training With Wildlife in Africa&nbsp;&nbsp;Treehugger,Treehugger,Vehicles
"Nepal's key habitat could lose 39% of its tigers in 20 years, study says - Mongabay.com",https://news.mongabay.com/2022/05/study-warns-of-increased-tiger-roadkill-risk-on-roads-near-nepal-park/,5/30/2022,"Nepal's key habitat could lose 39% of its tigers in 20 years, study says&nbsp;&nbsp;Mongabay.com",Mongabay.com,Vehicles
Traveler's View: Did Washington Hear About Yellowstone's Disaster? - National Parks Traveler,https://www.nationalparkstraveler.org/2022/06/travelers-view-did-washington-hear-about-yellowstones-disaster,6/16/2022,Traveler's View: Did Washington Hear About Yellowstone's Disaster?&nbsp;&nbsp;National Parks Traveler,National Parks Traveler,Vehicles
"Wildfire recovery rules poorly enforced, spark commercial 'free-for-all' in B.C. Interior, advocates say - CBC.ca",https://www.cbc.ca/news/canada/british-columbia/wildfire-recovery-commercial-free-for-all-bc-wildlife-federation-1.6486440,6/16/2022,"Wildfire recovery rules poorly enforced, spark commercial 'free-for-all' in B.C. Interior, advocates say&nbsp;&nbsp;CBC.ca",CBC.ca,Vehicles
UH hosts high school students overnight on Moku o Loʻe (Coconut Island) | University of Hawaiʻi System News - University of Hawaii,https://www.hawaii.edu/news/2022/06/15/students-overnight-moku-o-loe/,6/15/2022,UH hosts high school students overnight on Moku o Loʻe (Coconut Island) | University of Hawaiʻi System News&nbsp;&nbsp;University of Hawaii,University of Hawaii,Vehicles
British armored vehicles spotted in Ukraine - defence-blog.com,https://defence-blog.com/british-armored-vehicles-spotted-in-ukraine/,6/16/2022,British armored vehicles spotted in Ukraine&nbsp;&nbsp;defence-blog.com,defence-blog.com,Vehicles
1.7 million hunters and fishers give $66 million to Michigan wildlife conservation - The Center Square,https://www.thecentersquare.com/michigan/1-7-million-hunters-and-fishers-give-66-million-to-michigan-wildlife-conservation/article_5268fefa-e67b-11ec-b706-9fec849f8f8e.html,6/7/2022,1.7 million hunters and fishers give $66 million to Michigan wildlife conservation&nbsp;&nbsp;The Center Square,The Center Square,Vehicles
African conservation parks use Swedish CAKE electric motorbikes to combat wildlife poaching | thepack.news - Electric motorcycle news,https://thepack.news/african-conservation-parks-use-swedish-cake-electric-motorbikes-to-combat-wildlife-poaching/,6/10/2022,African conservation parks use Swedish CAKE electric motorbikes to combat wildlife poaching | thepack.news&nbsp;&nbsp;Electric motorcycle news,Electric motorcycle news,Vehicles
Lassen National Park Highway Open To Vehicles - National Parks Traveler,https://www.nationalparkstraveler.org/2022/06/lassen-national-park-highway-open-vehicles,6/4/2022,Lassen National Park Highway Open To Vehicles&nbsp;&nbsp;National Parks Traveler,National Parks Traveler,Vehicles
Zimbabwe Wants African Ivory Sales to Fund Elephant Conservation - Foreign Policy,https://foreignpolicy.com/2022/06/12/africa-ivory-trade-zimbabwe-elephant-poaching-conservation/,6/12/2022,Zimbabwe Wants African Ivory Sales to Fund Elephant Conservation&nbsp;&nbsp;Foreign Policy,Foreign Policy,Vehicles
FWC wildlife officer killed in St. Lucie County wrong-way crash identified as Kyle Patterson - WPTV News Channel 5 West Palm,https://www.wptv.com/news/treasure-coast/region-st-lucie-county/fwc-wildlife-officer-killed-in-st-lucie-county-wrong-way-crash-identified-as-kyle-patterson,6/10/2022,FWC wildlife officer killed in St. Lucie County wrong-way crash identified as Kyle Patterson&nbsp;&nbsp;WPTV News Channel 5 West Palm,WPTV News Channel 5 West Palm,Vehicles
Tanzania: Thousands of Maasai flee into the bush after dozens shot and detained following evictions for trophy hunting and conservation - Survival International,https://www.survivalinternational.org/news/13051,6/13/2022,Tanzania: Thousands of Maasai flee into the bush after dozens shot and detained following evictions for trophy hunting and conservation&nbsp;&nbsp;Survival International,Survival International,Vehicles
CofC Offers Applications of Artificial Intelligence Workshop - The College Today,https://today.cofc.edu/2022/06/15/cofc-offers-applications-of-artificial-intelligence-workshop/,6/15/2022,CofC Offers Applications of Artificial Intelligence Workshop&nbsp;&nbsp;The College Today,The College Today,Vehicles
The best sustainable tourism experiences in Greece - Lonely Planet Travel News,https://www.lonelyplanet.com/articles/sustainable-greece,6/15/2022,The best sustainable tourism experiences in Greece&nbsp;&nbsp;Lonely Planet Travel News,Lonely Planet Travel News,Vehicles
Piping plovers threaten Hampton Beach Fourth of July fireworks - Seacoastonline.com,https://www.seacoastonline.com/story/news/2022/06/16/piping-plovers-endanger-hampton-beach-fourth-july-fireworks-2022/7576276001/,6/16/2022,Piping plovers threaten Hampton Beach Fourth of July fireworks&nbsp;&nbsp;Seacoastonline.com,Seacoastonline.com,Vehicles
How the World's Largest Wildlife Overpass Could Brighten a Low-Flying Bird's Future - National Audubon Society,https://www.audubon.org/news/how-worlds-largest-wildlife-overpass-could-brighten-low-flying-birds-future,5/19/2022,How the World's Largest Wildlife Overpass Could Brighten a Low-Flying Bird's Future&nbsp;&nbsp;National Audubon Society,National Audubon Society,Vehicles
Land 'that belongs to everyone' - Albuquerque Journal,https://www.abqjournal.com/2507020/land-that-belongs-to-everyone-ex-ranch-becomes-part-of-new-mexico.html,6/9/2022,Land 'that belongs to everyone'&nbsp;&nbsp;Albuquerque Journal,Albuquerque Journal,Vehicles
St. Johns water district plan to sell conservation land delayed - Orlando Sentinel,https://www.orlandosentinel.com/news/environment/os-ne-water-district-conservation-land-sale-20220614-kaswp3tnjnhz3hffpre2275omi-story.html,6/14/2022,St. Johns water district plan to sell conservation land delayed&nbsp;&nbsp;Orlando Sentinel,Orlando Sentinel,Vehicles
"From CPP: Elk and other large species in NC mountains constrained by changing habitats, human activity - Mountain Xpress",https://mountainx.com/news/from-cpp-elk-and-other-large-species-in-nc-mountains-constrained-by-changing-habitats-human-activity/,5/26/2022,"From CPP: Elk and other large species in NC mountains constrained by changing habitats, human activity&nbsp;&nbsp;Mountain Xpress",Mountain Xpress,Vehicles
Iconic Rocky Point Launch Site for 'The Great Race' 2022 - Fun 107,https://fun107.com/great-race-kick-off-rocky-point-warwick/,6/16/2022,Iconic Rocky Point Launch Site for 'The Great Race' 2022&nbsp;&nbsp;Fun 107,Fun 107,Vehicles
Large-scale logging in Cambodia's Prey Lang linked to politically-connected mining operation - Mongabay.com,https://news.mongabay.com/2022/05/large-scale-logging-in-cambodias-prey-lang-linked-to-politically-connected-mining-operation/,5/26/2022,Large-scale logging in Cambodia's Prey Lang linked to politically-connected mining operation&nbsp;&nbsp;Mongabay.com,Mongabay.com,Vehicles
Extreme E returns to Sardinia for a double summer showdown co-organised with the Automobile Club d'Italia - Speedway Digest,https://www.speedwaydigest.com/index.php/news/racing-news/70536-extreme-e-returns-to-sardinia-for-a-double-summer-showdown-co-organised-with-the-automobile-club-d-italia,6/16/2022,Extreme E returns to Sardinia for a double summer showdown co-organised with the Automobile Club d'Italia&nbsp;&nbsp;Speedway Digest,Speedway Digest,Vehicles
30x30 not the answer to stop destructive wildfires - Las Cruces Sun-News,https://www.lcsun-news.com/story/opinion/2022/05/29/30-x-30-not-answer-stop-destructive-wildfires/9976814002/,5/29/2022,30x30 not the answer to stop destructive wildfires&nbsp;&nbsp;Las Cruces Sun-News,Las Cruces Sun-News,Vehicles
"Odisha: In boon for tourists, Debrigarh divided into seven sub-zones - Times of India",https://timesofindia.indiatimes.com/city/bhubaneswar/in-boon-for-tourists-debrigarh-divided-into-seven-sub-zones/articleshow/92137017.cms,6/10/2022,"Odisha: In boon for tourists, Debrigarh divided into seven sub-zones&nbsp;&nbsp;Times of India",Times of India,Vehicles
How Light and Noise Pollution Confound Animals' Senses - The Atlantic,https://www.theatlantic.com/magazine/archive/2022/07/light-noise-pollution-animal-sensory-impact/638446/,6/13/2022,How Light and Noise Pollution Confound Animals' Senses&nbsp;&nbsp;The Atlantic,The Atlantic,Vehicles
Should Split Oak wildlife refuge become a dog's world? - Orlando Sentinel,https://www.orlandosentinel.com/news/environment/os-ne-florida-dog-in-wilderness-20220518-cadgszmkjvekndmiamhxbk3mo4-story.html,5/18/2022,Should Split Oak wildlife refuge become a dog's world?&nbsp;&nbsp;Orlando Sentinel,Orlando Sentinel,Vehicles
Transmission of antibiotic resistance at the wildlife-livestock interface | Communications Biology - Nature.com,https://www.nature.com/articles/s42003-022-03520-8,6/15/2022,Transmission of antibiotic resistance at the wildlife-livestock interface | Communications Biology&nbsp;&nbsp;Nature.com,Nature.com,Vehicles
"Tenerife’s most beautiful national park and protected areas, from pine forests to volcanic peaks - Lonely Planet Travel News",https://www.lonelyplanet.com/articles/best-national-parks-tenerife,5/31/2022,"Tenerife’s most beautiful national park and protected areas, from pine forests to volcanic peaks&nbsp;&nbsp;Lonely Planet Travel News",Lonely Planet Travel News,Vehicles
ATV and UTV Market Estimated to Bring Sky-high Returns for Investors by the End of Forecast to 2031 – Indian Defence News - Indian Defence News,https://indiandefencenews.info/140945/business/atv-and-utv-market-estimated-to-bring-sky-high-returns-for-investors-by-the-end-of-forecast-to-2031/,6/15/2022,ATV and UTV Market Estimated to Bring Sky-high Returns for Investors by the End of Forecast to 2031 – Indian Defence News&nbsp;&nbsp;Indian Defence News,Indian Defence News,Vehicles
California’s Rural Areas Risk Being Left Out in EV Push - Government Technology,https://www.govtech.com/opinion/californias-rural-areas-risk-being-left-out-in-ev-push,6/1/2022,California’s Rural Areas Risk Being Left Out in EV Push&nbsp;&nbsp;Government Technology,Government Technology,Vehicles
Cash-strapped Zimbabwe pushes to be allowed to sell its ivory stockpile - Mongabay.com,https://news.mongabay.com/2022/06/cash-strapped-zimbabwe-pushes-to-be-allowed-to-sell-its-ivory-stockpile/,6/1/2022,Cash-strapped Zimbabwe pushes to be allowed to sell its ivory stockpile&nbsp;&nbsp;Mongabay.com,Mongabay.com,Vehicles
"FWP closes, restricts areas due to flooding - NBC Montana",https://nbcmontana.com/news/local/fwp-closes-restricts-areas-due-to-flooding,6/14/2022,"FWP closes, restricts areas due to flooding&nbsp;&nbsp;NBC Montana",NBC Montana,Vehicles
Two environmental groups deny being consulted over three-wheeler plans - Royal Gazette,https://www.royalgazette.com/environment/news/article/20220615/two-environmental-groups-deny-being-consulted-over-three-wheeler-plans/,6/15/2022,Two environmental groups deny being consulted over three-wheeler plans&nbsp;&nbsp;Royal Gazette,Royal Gazette,Vehicles
Activists fear a new threat to biodiversity—renewable energy - National Geographic,https://www.nationalgeographic.com/environment/article/activists-fear-biodiversity-threat-from-renewable-energy,5/26/2022,Activists fear a new threat to biodiversity—renewable energy&nbsp;&nbsp;National Geographic,National Geographic,Vehicles
The Annihilation of Florida: An Overlooked National Tragedy Current Affairs - Current Affairs,https://www.currentaffairs.org/2022/05/the-annihilation-of-florida-an-overlooked-national-tragedy,5/18/2022,The Annihilation of Florida: An Overlooked National Tragedy Current Affairs&nbsp;&nbsp;Current Affairs,Current Affairs,Vehicles
DEC Forest Rangers - Week in Review - NYS Dept. of Environmental Conservation - New York State Department of Environmental Conservation,https://www.dec.ny.gov/press/125530.html,6/7/2022,DEC Forest Rangers - Week in Review - NYS Dept. of Environmental Conservation&nbsp;&nbsp;New York State Department of Environmental Conservation,New York State Department of Environmental Conservation,Vehicles
Tribals of beautiful but remote MM Hills to get vehicle transport services - The Hindu,https://www.thehindu.com/news/national/karnataka/vehicle-services-to-connect-remote-hamlets-in-mm-hills/article65456558.ece,5/24/2022,Tribals of beautiful but remote MM Hills to get vehicle transport services&nbsp;&nbsp;The Hindu,The Hindu,Vehicles
13 Fish Poachers Busted After Taking Hundreds of Whitefish - MeatEater,https://www.themeateater.com/conservation/wildlife-management/13-fish-poachers-busted-after-taking-hundreds-of-whitefish,6/8/2022,13 Fish Poachers Busted After Taking Hundreds of Whitefish&nbsp;&nbsp;MeatEater,MeatEater,Vehicles
Bandelier National Monument Set To Reopen - National Parks Traveler,https://www.nationalparkstraveler.org/2022/05/bandelier-national-monument-set-reopen,5/27/2022,Bandelier National Monument Set To Reopen&nbsp;&nbsp;National Parks Traveler,National Parks Traveler,Vehicles
"Pinellas beach cops have run people over, but still drive with few rules - Tampa Bay Times",https://www.tampabay.com/news/pinellas/2022/06/15/pinellas-beach-cops-have-run-people-over-but-still-drive-with-few-rules/,6/15/2022,"Pinellas beach cops have run people over, but still drive with few rules&nbsp;&nbsp;Tampa Bay Times",Tampa Bay Times,Vehicles
