Title,Link,pubDate,Description,Source,Tag
Studying grassland from space: Utilizing satellite data and artificial intelligence to determine land-use intensity of meadows and pastures - Science Daily,https://www.sciencedaily.com/releases/2022/06/220609131948.htm,6/9/2022,Studying grassland from space: Utilizing satellite data and artificial intelligence to determine land-use intensity of meadows and pastures&nbsp;&nbsp;Science Daily,Science Daily,AI-CNN
Birdsong classification based on ensemble multi-scale convolutional neural network | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12121-8,5/23/2022,Birdsong classification based on ensemble multi-scale convolutional neural network | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-CNN
Hippocampal representations for deep learning on Alzheimer's disease | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12533-6,5/21/2022,Hippocampal representations for deep learning on Alzheimer's disease | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-CNN
Detection of bulk feed volume based on binocular stereo vision | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-13075-7,6/4/2022,Detection of bulk feed volume based on binocular stereo vision | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-CNN
Epidural anesthesia needle guidance by forward-view endoscopic optical coherence tomography and deep learning | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12950-7,5/31/2022,Epidural anesthesia needle guidance by forward-view endoscopic optical coherence tomography and deep learning | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-CNN
"Hello, New Fellows! - Resources",https://www.resources.org/archives/hello-new-fellows/,5/19/2022,"Hello, New Fellows!&nbsp;&nbsp;Resources",Resources,AI-CNN
Asymmetry between right and left fundus images identified using convolutional neural networks | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-021-04323-3,1/27/2022,Asymmetry between right and left fundus images identified using convolutional neural networks | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-CNN
These flying robots protect endangered wildlife - Science News for Students,https://www.sciencenewsforstudents.org/article/drones-protect-endangered-wildlife-ai-conservation,3/10/2022,These flying robots protect endangered wildlife&nbsp;&nbsp;Science News for Students,Science News for Students,AI-CNN
The spread of millet from East Asia to Central Europe - Verve Times,https://vervetimes.com/the-spread-of-millet-from-east-asia-to-central-europe/,6/11/2022,The spread of millet from East Asia to Central Europe&nbsp;&nbsp;Verve Times,Verve Times,AI-CNN
New study will help inform understanding of natural climate variability and assist the evaluation of the cu... - Verve Times,https://vervetimes.com/new-study-will-help-inform-understanding-of-natural-climate-variability-and-assist-the-evaluation-of-the-current-drought-compared-to-history-sciencedaily/,6/9/2022,New study will help inform understanding of natural climate variability and assist the evaluation of the cu...&nbsp;&nbsp;Verve Times,Verve Times,AI-CNN
Body fat compartment determination by encoder–decoder convolutional neural network: application to amyotrophic lateral sclerosis | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-09518-w,4/1/2022,Body fat compartment determination by encoder–decoder convolutional neural network: application to amyotrophic lateral sclerosis | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-CNN
BioCPPNet: automatic bioacoustic source separation with deep neural networks | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-021-02790-2,12/6/2021,BioCPPNet: automatic bioacoustic source separation with deep neural networks | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-CNN
Watch Blue Origin launch its fifth passenger flight to the edge of space - Verve Times,https://vervetimes.com/watch-blue-origin-launch-its-fifth-passenger-flight-to-the-edge-of-space/,6/4/2022,Watch Blue Origin launch its fifth passenger flight to the edge of space&nbsp;&nbsp;Verve Times,Verve Times,AI-CNN
Watch the biggest-ever comet outburst spray dust across the cosmos | Live Science - Verve Times,https://vervetimes.com/watch-the-biggest-ever-comet-outburst-spray-dust-across-the-cosmos-live-science/,6/3/2022,Watch the biggest-ever comet outburst spray dust across the cosmos | Live Science&nbsp;&nbsp;Verve Times,Verve Times,AI-CNN
Multi-fidelity information fusion with concatenated neural networks | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-09938-8,4/7/2022,Multi-fidelity information fusion with concatenated neural networks | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-CNN
The graph connection - Nature.com,https://www.nature.com/articles/s42256-022-00476-6,3/23/2022,The graph connection&nbsp;&nbsp;Nature.com,Nature.com,AI-CNN
AI Experts Develop Big Data Approach for Wildlife Preservation - Unite.AI,https://www.unite.ai/ai-experts-develop-big-data-approach-for-wildlife-preservation/,2/13/2022,AI Experts Develop Big Data Approach for Wildlife Preservation&nbsp;&nbsp;Unite.AI,Unite.AI,AI-CNN
Experimental drug adagrasib also shows activity in lung cancer metastases to the brain — ScienceDaily - Verve Times,https://vervetimes.com/experimental-drug-adagrasib-also-shows-activity-in-lung-cancer-metastases-to-the-brain-sciencedaily/,6/3/2022,Experimental drug adagrasib also shows activity in lung cancer metastases to the brain — ScienceDaily&nbsp;&nbsp;Verve Times,Verve Times,AI-CNN
The spontaneous emergence of brain-like functional specialization in neural networks - Medical Xpress,https://medicalxpress.com/news/2022-03-spontaneous-emergence-brain-like-functional-specialization.html,3/24/2022,The spontaneous emergence of brain-like functional specialization in neural networks&nbsp;&nbsp;Medical Xpress,Medical Xpress,AI-CNN
"Remote Sensing, Neural Networks Combine to Measure Tree Height - Photonics.com",https://www.photonics.com/Articles/Remote_Sensing_Neural_Networks_Combine_to/a67980,4/29/2022,"Remote Sensing, Neural Networks Combine to Measure Tree Height&nbsp;&nbsp;Photonics.com",Photonics.com,AI-CNN
Immune to hacks: Inoculating deep neural networks to thwart attacks: The adaptive immune system serves as a template for defending neural nets from confusion-sowing attacks - Science Daily,https://www.sciencedaily.com/releases/2022/03/220324104547.htm,3/24/2022,Immune to hacks: Inoculating deep neural networks to thwart attacks: The adaptive immune system serves as a template for defending neural nets from confusion-sowing attacks&nbsp;&nbsp;Science Daily,Science Daily,AI-CNN
Impact of DNA mutations on lifelong blood cell production uncovered - ScienceDaily - Verve Times,https://vervetimes.com/impact-of-dna-mutations-on-lifelong-blood-cell-production-uncovered-sciencedaily/,6/2/2022,Impact of DNA mutations on lifelong blood cell production uncovered - ScienceDaily&nbsp;&nbsp;Verve Times,Verve Times,AI-CNN
Deep learning-based single image super-resolution for low-field MR brain images | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-10298-6,4/16/2022,Deep learning-based single image super-resolution for low-field MR brain images | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,AI-CNN
