Title,Link,pubDate,Description,Source,Tag
Biodiversity Collapse: Whats Foiling Indias Conservation Efforts? - IndiaSpend,https://www.indiaspend.com/earthcheck/biodiversity-collapse-whats-foiling-indias-conservation-efforts-820777,6/4/2022,Biodiversity Collapse: Whats Foiling Indias Conservation Efforts?&nbsp;&nbsp;IndiaSpend,IndiaSpend,Acoustic-Ornitology
New study offers hope that conservation can help nature adapt to climate change - Phys.org,https://phys.org/news/2022-05-nature-climate.html,5/19/2022,New study offers hope that conservation can help nature adapt to climate change&nbsp;&nbsp;Phys.org,Phys.org,Acoustic-Ornitology
Cornell Lab Of Ornithology Streams Newest California Condor Chick Live On Webcam - Los Alamos Daily Post,https://ladailypost.com/cornell-lab-of-ornithology-streams-newest-california-condor-chick-live-on-webcam/,6/12/2022,Cornell Lab Of Ornithology Streams Newest California Condor Chick Live On Webcam&nbsp;&nbsp;Los Alamos Daily Post,Los Alamos Daily Post,Acoustic-Ornitology
Survey of Protected Scottish Mountain Hares Hailed a Success - Newsweek,https://www.newsweek.com/survey-protected-scottish-mountain-hares-hailed-success-1710621,5/26/2022,Survey of Protected Scottish Mountain Hares Hailed a Success&nbsp;&nbsp;Newsweek,Newsweek,Acoustic-Ornitology
"In some places, humans and wildlife are 'business partners.' The relationships may not last - Science",https://www.science.org/content/article/some-places-humans-and-wildlife-are-business-partners-relationships-may-not-last,6/9/2022,"In some places, humans and wildlife are 'business partners.' The relationships may not last&nbsp;&nbsp;Science",Science,Acoustic-Ornitology
"To conserve the vibrant diversity of Central Africa's forests, include Indigenous people (commentary) - Mongabay.com",https://news.mongabay.com/2022/05/to-conserve-the-vibrant-diversity-of-central-africas-forests-include-indigenous-people-commentary/,5/16/2022,"To conserve the vibrant diversity of Central Africa's forests, include Indigenous people (commentary)&nbsp;&nbsp;Mongabay.com",Mongabay.com,Acoustic-Ornitology
Which way ahead for biodiversity conservation? Answer may lie in communities - Down To Earth Magazine,https://www.downtoearth.org.in/blog/wildlife-and-biodiversity/which-way-ahead-for-biodiversity-conservation-answer-may-lie-in-communities-82955,5/22/2022,Which way ahead for biodiversity conservation? Answer may lie in communities&nbsp;&nbsp;Down To Earth Magazine,Down To Earth Magazine,Acoustic-Ornitology
Poll the audience: Using data from citizen science to keep wild birds in flight: Data from birding apps offer utility to researchers and managers - Science Daily,https://www.sciencedaily.com/releases/2022/05/220519132738.htm,5/19/2022,Poll the audience: Using data from citizen science to keep wild birds in flight: Data from birding apps offer utility to researchers and managers&nbsp;&nbsp;Science Daily,Science Daily,Acoustic-Ornitology
"Tara Gandhi, author, Words for Birds: The Collected Radio Broadcasts - “We need to protect our urban biodiversity as well” - Hindustan Times",https://www.hindustantimes.com/books/tara-gandhi-author-words-for-birds-the-collected-radio-broadcasts-we-need-to-protect-our-urban-biodiversity-as-well-101654285049791.html,6/4/2022,"Tara Gandhi, author, Words for Birds: The Collected Radio Broadcasts - “We need to protect our urban biodiversity as well”&nbsp;&nbsp;Hindustan Times",Hindustan Times,Acoustic-Ornitology
Audubon Scientists Develop New Method to Improve Mapping of Bird Migrations | Audubon - National Audubon Society,https://www.audubon.org/news/audubon-scientists-develop-new-method-improve-mapping-bird-migrations,6/1/2022,Audubon Scientists Develop New Method to Improve Mapping of Bird Migrations | Audubon&nbsp;&nbsp;National Audubon Society,National Audubon Society,Acoustic-Ornitology
