Title,Link,pubDate,Description,Source,Tag
"For wildlife on Brazil's highways, roadkill is just the tip of the iceberg - Mongabay.com",https://news.mongabay.com/2022/05/for-wildlife-on-brazils-highways-roadkill-is-just-the-tip-of-the-iceberg/,5/25/2022,"For wildlife on Brazil's highways, roadkill is just the tip of the iceberg&nbsp;&nbsp;Mongabay.com",Mongabay.com,Acoustics
The influence of sea ice on the detection of bowhead whale calls | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12186-5,5/20/2022,The influence of sea ice on the detection of bowhead whale calls | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Acoustics
Neural activities in music frogs reveal call variations and phylogenetic relationships within the genus Nidirana | Communications Biology - Nature.com,https://www.nature.com/articles/s42003-022-03504-8,6/6/2022,Neural activities in music frogs reveal call variations and phylogenetic relationships within the genus Nidirana | Communications Biology&nbsp;&nbsp;Nature.com,Nature.com,Acoustics
Distributed acoustic sensing for active offshore shear wave profiling | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-13962-z,6/11/2022,Distributed acoustic sensing for active offshore shear wave profiling | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Acoustics
Newsletter 2022-05-26 - Mongabay.com,https://news.mongabay.com/newsletter/newsletter-2022-05-26/,5/26/2022,Newsletter 2022-05-26&nbsp;&nbsp;Mongabay.com,Mongabay.com,Acoustics
"Identifying conservation technology needs, barriers, and opportunities | Scientific Reports - Nature.com",https://www.nature.com/articles/s41598-022-08330-w,3/21/2022,"Identifying conservation technology needs, barriers, and opportunities | Scientific Reports&nbsp;&nbsp;Nature.com",Nature.com,Acoustics
Five ways AI is saving wildlife – from counting chimps to locating whales - The Guardian,https://www.theguardian.com/environment/2022/feb/21/five-ways-ai-is-saving-wildlife-from-counting-chimps-to-locating-whales-aoe,2/21/2022,Five ways AI is saving wildlife – from counting chimps to locating whales&nbsp;&nbsp;The Guardian,The Guardian,Acoustics
Birdsong classification based on ensemble multi-scale convolutional neural network | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12121-8,5/23/2022,Birdsong classification based on ensemble multi-scale convolutional neural network | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Acoustics
An Evolving Agenda for the Quad • Stimson Center - Stimson Center,https://www.stimson.org/2022/an-evolving-agenda-for-the-quad/,6/7/2022,An Evolving Agenda for the Quad • Stimson Center&nbsp;&nbsp;Stimson Center,Stimson Center,Acoustics
New guidelines for acoustic monitoring of sea life and wind energy projects - National Fisherman,https://www.nationalfisherman.com/national-international/new-guidelines-for-acoustic-monitoring-of-sea-life-and-wind-energy-projects,11/2/2021,New guidelines for acoustic monitoring of sea life and wind energy projects&nbsp;&nbsp;National Fisherman,National Fisherman,Acoustics
Temporal patterns in the soundscape of a Norwegian gateway to the Arctic | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-11183-y,5/10/2022,Temporal patterns in the soundscape of a Norwegian gateway to the Arctic | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Acoustics
A typology of North Sea oil and gas platforms | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-11975-2,5/16/2022,A typology of North Sea oil and gas platforms | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Acoustics
Animal soundscapes reveal key markers of Amazon forest degradation from fire and logging | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/doi/10.1073/pnas.2102878119,4/28/2022,Animal soundscapes reveal key markers of Amazon forest degradation from fire and logging | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org,Acoustics
Revealing microhabitat requirements of an endangered specialist lizard with LiDAR | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-08524-2,3/25/2022,Revealing microhabitat requirements of an endangered specialist lizard with LiDAR | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Acoustics
4 Companies Sustaining Water Supplies - Seeking Alpha,https://seekingalpha.com/article/4517636-4-companies-sustaining-water-supplies,6/10/2022,4 Companies Sustaining Water Supplies&nbsp;&nbsp;Seeking Alpha,Seeking Alpha,Acoustics
Safety Testing Lab Evaluates Strength of Buildings and Construction Materials - Lab Manager Magazine,https://www.labmanager.com/labs-less-ordinary/safety-testing-lab-evaluates-strength-of-buildings-and-construction-materials-28158,5/25/2022,Safety Testing Lab Evaluates Strength of Buildings and Construction Materials&nbsp;&nbsp;Lab Manager Magazine,Lab Manager Magazine,Acoustics
Utilizing DeepSqueak for automatic detection and classification of mammalian vocalizations: a case study on primate vocalizations | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-021-03941-1,12/27/2021,Utilizing DeepSqueak for automatic detection and classification of mammalian vocalizations: a case study on primate vocalizations | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Acoustics
Using the IUCN Red List to map threats to terrestrial vertebrates at global scale - Nature.com,https://www.nature.com/articles/s41559-021-01542-9,8/30/2021,Using the IUCN Red List to map threats to terrestrial vertebrates at global scale&nbsp;&nbsp;Nature.com,Nature.com,Acoustics
Label-free complete absorption microscopy using second generation photoacoustic remote sensing | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-11235-3,5/19/2022,Label-free complete absorption microscopy using second generation photoacoustic remote sensing | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Acoustics
Environment advocates call for more whale safeguards in offshore wind surveys - National Fisherman,https://www.nationalfisherman.com/national-international/environment-advocates-call-for-more-whale-safeguards-in-offshore-wind-surveys,3/7/2022,Environment advocates call for more whale safeguards in offshore wind surveys&nbsp;&nbsp;National Fisherman,National Fisherman,Acoustics
"Fishing activity before closure, during closure, and after reopening of the Northeast Canyons and Seamounts Marine National Monument | Scientific Reports - Nature.com",https://www.nature.com/articles/s41598-021-03394-6,1/18/2022,"Fishing activity before closure, during closure, and after reopening of the Northeast Canyons and Seamounts Marine National Monument | Scientific Reports&nbsp;&nbsp;Nature.com",Nature.com,Acoustics
Pink coral will expand its range up the British coastline due to climate change - Daily Mail,https://www.dailymail.co.uk/sciencetech/article-10860669/Vulnerable-pink-coral-push-UK-coastline-climate-warms-research.html,5/27/2022,Pink coral will expand its range up the British coastline due to climate change&nbsp;&nbsp;Daily Mail,Daily Mail,Acoustics
