Title,Link,pubDate,Description,Source,Tag
New College joins partnership for multidisciplinary mammal study - Sarasota Herald-Tribune,https://www.heraldtribune.com/story/news/2022/06/14/new-college-joins-partnership-multidisciplinary-mammal-study/7565469001/,6/14/2022,New College joins partnership for multidisciplinary mammal study&nbsp;&nbsp;Sarasota Herald-Tribune,Sarasota Herald-Tribune,Bioacoustics
Bioacoustics Sensing Market Is Booming Across the Globe and Witness Huge Growth by Key Players to 2028 | Matsu - openPR,https://www.openpr.com/news/2650279/bioacoustics-sensing-market-is-booming-across-the-globe,6/10/2022,Bioacoustics Sensing Market Is Booming Across the Globe and Witness Huge Growth by Key Players to 2028 | Matsu&nbsp;&nbsp;openPR,openPR,Bioacoustics
The music of birds can help boost mental well-being - OCRegister,https://www.ocregister.com/2022/06/11/the-music-of-birds-can-help-boost-mental-well-being,6/11/2022,The music of birds can help boost mental well-being&nbsp;&nbsp;OCRegister,OCRegister,Bioacoustics
New $1.5M fellowship honors bioacoustics pioneer | Cornell Chronicle - Cornell Chronicle,https://news.cornell.edu/stories/2021/12/new-15m-fellowship-honors-bioacoustics-pioneer,12/17/2021,New $1.5M fellowship honors bioacoustics pioneer | Cornell Chronicle&nbsp;&nbsp;Cornell Chronicle,Cornell Chronicle,Bioacoustics
"Bioacoustics: To fight the climate crisis, we have to listen to nature - gal-dem",https://gal-dem.com/to-fight-the-climate-crisis-we-have-to-listen-to-nature/,4/22/2022,"Bioacoustics: To fight the climate crisis, we have to listen to nature&nbsp;&nbsp;gal-dem",gal-dem,Bioacoustics
This New AI Can Detect The Calls of Animals Swimming in an Ocean of Noise - ScienceAlert,https://www.sciencealert.com/new-ai-tool-recognizes-animal-chatter-in-the-ocean-and-it-s-called-deepsqueak,5/24/2022,This New AI Can Detect The Calls of Animals Swimming in an Ocean of Noise&nbsp;&nbsp;ScienceAlert,ScienceAlert,Bioacoustics
Eavesdropping on nature: why Africa needs more bioacoustics research - theconversation.com,https://theconversation.com/eavesdropping-on-nature-why-africa-needs-more-bioacoustics-research-175527,1/26/2022,Eavesdropping on nature: why Africa needs more bioacoustics research&nbsp;&nbsp;theconversation.com,theconversation.com,Bioacoustics
Bioacoustics researcher wins top award for positive impact toward solving global challenges - Mongabay.com,https://news.mongabay.com/2021/12/bioacoustics-researcher-wins-top-award-for-positive-impact-toward-solving-global-challenges/,12/2/2021,Bioacoustics researcher wins top award for positive impact toward solving global challenges&nbsp;&nbsp;Mongabay.com,Mongabay.com,Bioacoustics
Bioacoustics: Listening To Nature Is Our Only Option To Solve The Climate Crisis - Green Queen Media,https://www.greenqueen.com.hk/bioacoustics-listening-to-nature/,5/1/2022,Bioacoustics: Listening To Nature Is Our Only Option To Solve The Climate Crisis&nbsp;&nbsp;Green Queen Media,Green Queen Media,Bioacoustics
Podcast: It's an 'incredibly exciting' time for the field of bioacoustics - Mongabay.com,https://news.mongabay.com/2021/06/podcast-its-an-incredibly-exciting-time-for-the-field-of-bioacoustics/,6/16/2021,Podcast: It's an 'incredibly exciting' time for the field of bioacoustics&nbsp;&nbsp;Mongabay.com,Mongabay.com,Bioacoustics
'The Beating Heart Of The Park's Ecosystems': How Bioacoustics Are Teaching Land Managers About Songbirds In Woodstock - Vermont Public Radio,https://www.vpr.org/vpr-news/2021-08-09/the-beating-heart-of-the-parks-ecosystems-how-bioacoustics-are-teaching-land-managers-about-songbirds-in-woodstock,8/9/2021,'The Beating Heart Of The Park's Ecosystems': How Bioacoustics Are Teaching Land Managers About Songbirds In Woodstock&nbsp;&nbsp;Vermont Public Radio,Vermont Public Radio,Bioacoustics
The right way to wear disposable earplugs - Safety+Health magazine,https://www.safetyandhealthmagazine.com/articles/22580-right-way-to-wear-disposable-earplugs,5/29/2022,The right way to wear disposable earplugs&nbsp;&nbsp;Safety+Health magazine,Safety+Health magazine,Bioacoustics
