Title,Link,pubDate,Description,Source,Tag
Amazonian 'camera traps' provided images for massive archive - The Washington Post,https://www.washingtonpost.com/science/2022/05/21/amazon-forests-camera-traps-dataset/,5/21/2022,Amazonian 'camera traps' provided images for massive archive&nbsp;&nbsp;The Washington Post,The Washington Post,Camera-Conservation
The Society for Conservation Biology - Wiley,https://conbio.onlinelibrary.wiley.com/doi/abs/10.1111/csp2.12743,6/7/2022,The Society for Conservation Biology&nbsp;&nbsp;Wiley,Wiley,Camera-Conservation
Can conservation technology help save our rapidly disappearing species? | Problem Solved - Mongabay.com,https://news.mongabay.com/2022/06/can-conservation-technology-help-save-our-rapidly-disappearing-species-problem-solved/,6/8/2022,Can conservation technology help save our rapidly disappearing species? | Problem Solved&nbsp;&nbsp;Mongabay.com,Mongabay.com,Camera-Conservation
Riveting Camera Trap Photos Create New Database of Amazon Wildlife - Treehugger,https://www.treehugger.com/camera-trap-photos-database-amazon-wildlife-5295696,5/25/2022,Riveting Camera Trap Photos Create New Database of Amazon Wildlife&nbsp;&nbsp;Treehugger,Treehugger,Camera-Conservation
A self-cloning sea grass is the world's biggest plant: 3 stories you may have missed - Conservation International,https://www.conservation.org/blog/a-self-cloning-sea-grass-is-the-world-s-biggest-plant-3-stories-you-may-have-missed,6/13/2022,A self-cloning sea grass is the world's biggest plant: 3 stories you may have missed&nbsp;&nbsp;Conservation International,Conservation International,Camera-Conservation
"Protect Persian leopards, and their defenders, for World Environment Day (commentary) - Mongabay.com",https://news.mongabay.com/2022/06/protect-persian-leopards-and-their-defenders-for-world-environment-day-commentary/,6/3/2022,"Protect Persian leopards, and their defenders, for World Environment Day (commentary)&nbsp;&nbsp;Mongabay.com",Mongabay.com,Camera-Conservation
Go Beyond the Safari With These Wildlife-focused Volunteer Trips in East and Southern Africa - Travel + Leisure,https://www.travelandleisure.com/animals/africa-wildlife-conservation-voluntourism-trips,6/9/2022,Go Beyond the Safari With These Wildlife-focused Volunteer Trips in East and Southern Africa&nbsp;&nbsp;Travel + Leisure,Travel + Leisure,Camera-Conservation
Data from thousands of cameras confirms protected areas promote mammal diversity - Science Daily,https://www.sciencedaily.com/releases/2022/01/220127120156.htm,1/27/2022,Data from thousands of cameras confirms protected areas promote mammal diversity&nbsp;&nbsp;Science Daily,Science Daily,Camera-Conservation
Data from thousands of surveillance cameras confirms that protected areas safeguard species diversity - theconversation.com,https://theconversation.com/data-from-thousands-of-surveillance-cameras-confirms-that-protected-areas-safeguard-species-diversity-176292,3/3/2022,Data from thousands of surveillance cameras confirms that protected areas safeguard species diversity&nbsp;&nbsp;theconversation.com,theconversation.com,Camera-Conservation
A Big Thank You from Snapshot Wisconsin | Science Mission Directorate - Science@NASA,https://science.nasa.gov/science-news/citizenscience/a-big-thank-you-from-snapshot-wisconsin,6/3/2022,A Big Thank You from Snapshot Wisconsin | Science Mission Directorate&nbsp;&nbsp;Science@NASA,Science@NASA,Camera-Conservation
73 species under threat from poaching in sanctuary - The Phnom Penh Post,https://www.phnompenhpost.com/national/73-species-under-threat-poaching-sanctuary,6/9/2022,73 species under threat from poaching in sanctuary&nbsp;&nbsp;The Phnom Penh Post,The Phnom Penh Post,Camera-Conservation
Can Humans and Jaguars Coexist? A Wildlife Biologist Uses Technology and Education to Reduce Conflict - Smithsonian Magazine,https://www.smithsonianmag.com/blogs/smithsonian-tropical-research-institute/2022/05/27/can-humans-and-jaguars-coexist-a-wildlife-biologist-uses-technology-and-education-to-reduce-conflict/,5/27/2022,Can Humans and Jaguars Coexist? A Wildlife Biologist Uses Technology and Education to Reduce Conflict&nbsp;&nbsp;Smithsonian Magazine,Smithsonian Magazine,Camera-Conservation
India's 'Man-Eating' Tigers Entangled in a Blame Game - Undark Magazine,https://undark.org/2022/05/16/indias-man-eating-tigers-entangled-in-a-blame-game/,5/16/2022,India's 'Man-Eating' Tigers Entangled in a Blame Game&nbsp;&nbsp;Undark Magazine,Undark Magazine,Camera-Conservation
'Protecting snow leopards benefits other species': Q&A with Rinzin Phunjok Lama - Mongabay.com,https://news.mongabay.com/2022/06/protecting-snow-leopards-benefits-other-species-qa-with-rinzin-phunjok-lama/,6/9/2022,'Protecting snow leopards benefits other species': Q&amp;A with Rinzin Phunjok Lama&nbsp;&nbsp;Mongabay.com,Mongabay.com,Camera-Conservation
Cambodia: Development threatens a last refuge of wildlife rescued from illegal trade (commentary) - Mongabay.com,https://news.mongabay.com/2022/05/cambodia-development-threatens-a-last-refuge-of-wildlife-rescued-from-illegal-trade-commentary/,5/20/2022,Cambodia: Development threatens a last refuge of wildlife rescued from illegal trade (commentary)&nbsp;&nbsp;Mongabay.com,Mongabay.com,Camera-Conservation
Black leopard caught on camera at BRT Tiger Reserve - The Hindu,https://www.thehindu.com/news/national/karnataka/black-leopard-camera-trapped-at-brt-tiger-reserve/article65447332.ece,5/22/2022,Black leopard caught on camera at BRT Tiger Reserve&nbsp;&nbsp;The Hindu,The Hindu,Camera-Conservation
NC State Student Supports Wildlife Conservation in Africa - NC State College of Natural Resources News,https://cnr.ncsu.edu/news/2022/01/nc-state-student-supports-wildlife-conservation-in-africa/,1/24/2022,NC State Student Supports Wildlife Conservation in Africa&nbsp;&nbsp;NC State College of Natural Resources News,NC State College of Natural Resources News,Camera-Conservation
