Title,Link,pubDate,Description,Source,Tag
Amazonian 'camera traps' provided images for massive archive - The Washington Post,https://www.washingtonpost.com/science/2022/05/21/amazon-forests-camera-traps-dataset/,5/21/2022,Amazonian 'camera traps' provided images for massive archive&nbsp;&nbsp;The Washington Post,The Washington Post,Camera-Traps
The Society for Conservation Biology - Wiley,https://conbio.onlinelibrary.wiley.com/doi/abs/10.1111/csp2.12743,6/7/2022,The Society for Conservation Biology&nbsp;&nbsp;Wiley,Wiley,Camera-Traps
Can conservation technology help save our rapidly disappearing species? | Problem Solved - Mongabay.com,https://news.mongabay.com/2022/06/can-conservation-technology-help-save-our-rapidly-disappearing-species-problem-solved/,6/8/2022,Can conservation technology help save our rapidly disappearing species? | Problem Solved&nbsp;&nbsp;Mongabay.com,Mongabay.com,Camera-Traps
Riveting Camera Trap Photos Create New Database of Amazon Wildlife - Treehugger,https://www.treehugger.com/camera-trap-photos-database-amazon-wildlife-5295696,5/25/2022,Riveting Camera Trap Photos Create New Database of Amazon Wildlife&nbsp;&nbsp;Treehugger,Treehugger,Camera-Traps
"Protect Persian leopards, and their defenders, for World Environment Day (commentary) - Mongabay.com",https://news.mongabay.com/2022/06/protect-persian-leopards-and-their-defenders-for-world-environment-day-commentary/,6/3/2022,"Protect Persian leopards, and their defenders, for World Environment Day (commentary)&nbsp;&nbsp;Mongabay.com",Mongabay.com,Camera-Traps
Go Beyond the Safari With These Wildlife-focused Volunteer Trips in East and Southern Africa - Travel + Leisure,https://www.travelandleisure.com/animals/africa-wildlife-conservation-voluntourism-trips,6/9/2022,Go Beyond the Safari With These Wildlife-focused Volunteer Trips in East and Southern Africa&nbsp;&nbsp;Travel + Leisure,Travel + Leisure,Camera-Traps
Data from thousands of surveillance cameras confirms that protected areas safeguard species diversity - theconversation.com,https://theconversation.com/data-from-thousands-of-surveillance-cameras-confirms-that-protected-areas-safeguard-species-diversity-176292,3/3/2022,Data from thousands of surveillance cameras confirms that protected areas safeguard species diversity&nbsp;&nbsp;theconversation.com,theconversation.com,Camera-Traps
Can Humans and Jaguars Coexist? A Wildlife Biologist Uses Technology and Education to Reduce Conflict - Smithsonian Magazine,https://www.smithsonianmag.com/blogs/smithsonian-tropical-research-institute/2022/05/27/can-humans-and-jaguars-coexist-a-wildlife-biologist-uses-technology-and-education-to-reduce-conflict/,5/27/2022,Can Humans and Jaguars Coexist? A Wildlife Biologist Uses Technology and Education to Reduce Conflict&nbsp;&nbsp;Smithsonian Magazine,Smithsonian Magazine,Camera-Traps
'Protecting snow leopards benefits other species': Q&A with Rinzin Phunjok Lama - Mongabay.com,https://news.mongabay.com/2022/06/protecting-snow-leopards-benefits-other-species-qa-with-rinzin-phunjok-lama/,6/9/2022,'Protecting snow leopards benefits other species': Q&amp;A with Rinzin Phunjok Lama&nbsp;&nbsp;Mongabay.com,Mongabay.com,Camera-Traps
India's 'Man-Eating' Tigers Entangled in a Blame Game - Undark Magazine,https://undark.org/2022/05/16/indias-man-eating-tigers-entangled-in-a-blame-game/,5/16/2022,India's 'Man-Eating' Tigers Entangled in a Blame Game&nbsp;&nbsp;Undark Magazine,Undark Magazine,Camera-Traps
Cambodia: Development threatens a last refuge of wildlife rescued from illegal trade (commentary) - Mongabay.com,https://news.mongabay.com/2022/05/cambodia-development-threatens-a-last-refuge-of-wildlife-rescued-from-illegal-trade-commentary/,5/20/2022,Cambodia: Development threatens a last refuge of wildlife rescued from illegal trade (commentary)&nbsp;&nbsp;Mongabay.com,Mongabay.com,Camera-Traps
Black leopard caught on camera at BRT Tiger Reserve - The Hindu,https://www.thehindu.com/news/national/karnataka/black-leopard-camera-trapped-at-brt-tiger-reserve/article65447332.ece,5/22/2022,Black leopard caught on camera at BRT Tiger Reserve&nbsp;&nbsp;The Hindu,The Hindu,Camera-Traps
World’s first fishing cat census done in Chilika - The Hindu,https://www.thehindu.com/news/national/other-states/worlds-first-fishing-cat-census-done-in-chilika/article65496773.ece,6/5/2022,World’s first fishing cat census done in Chilika&nbsp;&nbsp;The Hindu,The Hindu,Camera-Traps
Centre to conduct combined elephant and tiger survey this year - The Hindu,https://www.thehindu.com/sci-tech/energy-and-environment/centre-to-conduct-combined-elephant-and-tiger-survey-this-year/article65504679.ece,6/7/2022,Centre to conduct combined elephant and tiger survey this year&nbsp;&nbsp;The Hindu,The Hindu,Camera-Traps
NC State Student Supports Wildlife Conservation in Africa - NC State College of Natural Resources News,https://cnr.ncsu.edu/news/2022/01/nc-state-student-supports-wildlife-conservation-in-africa/,1/24/2022,NC State Student Supports Wildlife Conservation in Africa&nbsp;&nbsp;NC State College of Natural Resources News,NC State College of Natural Resources News,Camera-Traps
"Texas wildlife documentary features elusive, endangered ocelots in the Rio Grande Valley - Brownsville Herald",https://myrgv.com/local-news/2022/06/06/texas-wildlife-documentary-features-elusive-endangered-ocelots-in-the-rio-grande-valley/,6/7/2022,"Texas wildlife documentary features elusive, endangered ocelots in the Rio Grande Valley&nbsp;&nbsp;Brownsville Herald",Brownsville Herald,Camera-Traps
"Pride and protection must go hand in hand | Print Edition - The Sunday Times, Sri Lanka - The Sunday Times Sri Lanka",http://www.sundaytimes.lk/220612/plus/pride-and-protection-must-go-hand-in-hand-485367.html,6/12/2022,"Pride and protection must go hand in hand | Print Edition - The Sunday Times, Sri Lanka&nbsp;&nbsp;The Sunday Times Sri Lanka",The Sunday Times Sri Lanka,Camera-Traps
Etalin hydel: Experts warn of biodiversity loss in Dibang Valley in letter to forest advisory panel - Down To Earth Magazine,https://www.downtoearth.org.in/news/wildlife-biodiversity/etalin-hydel-experts-warn-of-biodiversity-loss-in-dibang-valley-in-letter-to-forest-advisory-panel-83087,5/31/2022,Etalin hydel: Experts warn of biodiversity loss in Dibang Valley in letter to forest advisory panel&nbsp;&nbsp;Down To Earth Magazine,Down To Earth Magazine,Camera-Traps
These new technologies could transform wildlife conservation - The Hill,https://thehill.com/changing-america/sustainability/environment/592820-these-new-technologies-could-transform-wildlife/,2/4/2022,These new technologies could transform wildlife conservation&nbsp;&nbsp;The Hill,The Hill,Camera-Traps
A World of Wildlife in Abandoned Mines - The Scientist,https://www.the-scientist.com/slideshows/a-world-of-wildlife-in-abandoned-mines-70054,6/1/2022,A World of Wildlife in Abandoned Mines&nbsp;&nbsp;The Scientist,The Scientist,Camera-Traps
Protected areas don't always boost biodiversity - Science Daily,https://www.sciencedaily.com/releases/2022/04/220420112946.htm,4/20/2022,Protected areas don't always boost biodiversity&nbsp;&nbsp;Science Daily,Science Daily,Camera-Traps
Camera traps capture rare wildlife species - The Phnom Penh Post,https://www.phnompenhpost.com/national/camera-traps-capture-rare-wildlife-species,2/21/2022,Camera traps capture rare wildlife species&nbsp;&nbsp;The Phnom Penh Post,The Phnom Penh Post,Camera-Traps
"For world's rarest gorillas, camera traps prove pivotal for protection - Mongabay.com",https://news.mongabay.com/2021/11/for-worlds-rarest-gorillas-camera-traps-prove-pivotal-for-protection/,11/23/2021,"For world's rarest gorillas, camera traps prove pivotal for protection&nbsp;&nbsp;Mongabay.com",Mongabay.com,Camera-Traps
The Definitive Wildlife Guide to Sikkim - Outlook India,https://www.outlookindia.com/travel/the-definitive-wildlife-guide-to-sikkim-news-198846,5/27/2022,The Definitive Wildlife Guide to Sikkim&nbsp;&nbsp;Outlook India,Outlook India,Camera-Traps
NH to study moose numbers using drones | Community | eagletribune.com - Eagle-Tribune,https://www.eagletribune.com/community/nh-to-study-moose-numbers-using-drones/article_9839a582-e762-11ec-bfbd-6312a5ddad7c.html,6/11/2022,NH to study moose numbers using drones | Community | eagletribune.com&nbsp;&nbsp;Eagle-Tribune,Eagle-Tribune,Camera-Traps
"Kakinada tiger scare: Big cat goes on midnight hunt again, kills calf - The New Indian Express",https://www.newindianexpress.com/states/andhra-pradesh/2022/jun/05/kakinada-tiger-scare-big-catgoes-onmidnight-hunt-again-kills-calf-2462013.html,6/5/2022,"Kakinada tiger scare: Big cat goes on midnight hunt again, kills calf&nbsp;&nbsp;The New Indian Express",The New Indian Express,Camera-Traps
"Rare possum caught for first time in the NT, enticed by peanut butter and apple - Australian Geographic",https://www.australiangeographic.com.au/news/2022/06/rare-possum-caught-for-first-time-in-the-nt-enticed-by-peanut-butter-and-apple/,6/9/2022,"Rare possum caught for first time in the NT, enticed by peanut butter and apple&nbsp;&nbsp;Australian Geographic",Australian Geographic,Camera-Traps
Five rare gaurs captured on camera in Kratie - Khmer Times,https://www.khmertimeskh.com/501089981/five-rare-gaurs-captured-on-camera-in-kratie/,6/7/2022,Five rare gaurs captured on camera in Kratie&nbsp;&nbsp;Khmer Times,Khmer Times,Camera-Traps
Cameras installed at Ft. De Soto to study animal behavior - Bay News 9,https://www.baynews9.com/fl/tampa/news/2022/05/12/eckerd-college-camera-study-,5/12/2022,Cameras installed at Ft. De Soto to study animal behavior&nbsp;&nbsp;Bay News 9,Bay News 9,Camera-Traps
Rare mammals caught on camera highlight value of Annamite Mountains - Mongabay.com,https://news.mongabay.com/2022/03/rare-mammals-caught-on-camera-highlight-value-of-annamite-mountains/,3/30/2022,Rare mammals caught on camera highlight value of Annamite Mountains&nbsp;&nbsp;Mongabay.com,Mongabay.com,Camera-Traps
The Largest Camera Trap Wildlife Study is Now a Free Mobile Game - PetaPixel,https://petapixel.com/2021/07/27/the-largest-camera-trap-wildlife-study-is-now-a-free-mobile-game/,7/27/2021,The Largest Camera Trap Wildlife Study is Now a Free Mobile Game&nbsp;&nbsp;PetaPixel,PetaPixel,Camera-Traps
"From a life among royals, to fighting for survival - Mongabay-India",https://india.mongabay.com/2022/05/from-a-life-among-royals-to-fighting-for-survival/,5/18/2022,"From a life among royals, to fighting for survival&nbsp;&nbsp;Mongabay-India",Mongabay-India,Camera-Traps
How Brazil is working to save the rare lion tamarins of the Atlantic Forest - Mongabay.com,https://news.mongabay.com/2022/06/how-brazil-is-working-to-save-the-rare-lion-tamarins-of-the-atlantic-forest/,6/1/2022,How Brazil is working to save the rare lion tamarins of the Atlantic Forest&nbsp;&nbsp;Mongabay.com,Mongabay.com,Camera-Traps
Are Bengal tigers reviving hope that the ‘Tiger Corridor’ in Andhra Pradesh is alive? - The Hindu,https://www.thehindu.com/news/national/andhra-pradesh/are-bengal-tigers-reviving-hope-that-the-tiger-corridor-in-andhra-pradesh-in-alive/article65472977.ece,5/29/2022,Are Bengal tigers reviving hope that the ‘Tiger Corridor’ in Andhra Pradesh is alive?&nbsp;&nbsp;The Hindu,The Hindu,Camera-Traps
The Giving Trees - Sierra Club,https://www.sierraclub.org/sierra/2022-2-summer/feature/giving-trees-alaska-tongass-national-forest,6/14/2022,The Giving Trees&nbsp;&nbsp;Sierra Club,Sierra Club,Camera-Traps
Camera trapping experts from HP to help track elusive snow leopard in Kashmir - The Kashmir Monitor - The Kashmir Monitor,https://www.thekashmirmonitor.net/camera-trapping-experts-from-hp-to-help-track-elusive-snow-leopard-in-kashmir/,5/24/2022,Camera trapping experts from HP to help track elusive snow leopard in Kashmir - The Kashmir Monitor&nbsp;&nbsp;The Kashmir Monitor,The Kashmir Monitor,Camera-Traps
Similipal only tiger reserve in world that’s home to melanistic big cats - Times of India,https://timesofindia.indiatimes.com/city/bhubaneswar/similipal-only-tiger-reserve-in-world-thats-home-to-melanistic-big-cats/articleshow/91901196.cms,5/31/2022,Similipal only tiger reserve in world that’s home to melanistic big cats&nbsp;&nbsp;Times of India,Times of India,Camera-Traps
I hid a $5000 camera rig in Brooklyn - The Verge,https://www.theverge.com/22926074/wildlife-photography-camera-trap-full-frame-becca-farsace,2/16/2022,I hid a $5000 camera rig in Brooklyn&nbsp;&nbsp;The Verge,The Verge,Camera-Traps
Camera Traps Show That Endangered Animals Roam Private Wildlife Refuges in Costa Rica - The Costa Rica News,https://thecostaricanews.com/camera-traps-show-that-endangered-animals-roam-private-wildlife-refuges-in-costa-rica/,4/1/2022,Camera Traps Show That Endangered Animals Roam Private Wildlife Refuges in Costa Rica&nbsp;&nbsp;The Costa Rica News,The Costa Rica News,Camera-Traps
Double-observer approach with camera traps can correct imperfect detection and improve the accuracy of density estimation of unmarked animal populations | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-05853-0,2/7/2022,Double-observer approach with camera traps can correct imperfect detection and improve the accuracy of density estimation of unmarked animal populations | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Camera-Traps
Newsletter 2022-06-09 - Mongabay.com,https://news.mongabay.com/newsletter/newsletter-2022-06-09/,6/9/2022,Newsletter 2022-06-09&nbsp;&nbsp;Mongabay.com,Mongabay.com,Camera-Traps
"State to study moose numbers using drones | News, Sports, Jobs - Nashua Telegraph",https://www.nashuatelegraph.com/news/local-news/2022/06/07/state-to-study-moose-numbers-using-drones/,6/7/2022,"State to study moose numbers using drones | News, Sports, Jobs&nbsp;&nbsp;Nashua Telegraph",Nashua Telegraph,Camera-Traps
