Title,Link,pubDate,Description,Source,Tag
Drones and High Resolution Lenses Protect Wildlife Around the World: Quantum Systems and Wilderness International in Peru - DroneLife,https://dronelife.com/2022/06/08/drones-and-high-resolution-lenses-protect-wildlife-around-the-world/,6/8/2022,Drones and High Resolution Lenses Protect Wildlife Around the World: Quantum Systems and Wilderness International in Peru&nbsp;&nbsp;DroneLife,DroneLife,Drones-Aircraft
Innovative Unmanned Vehicles Inspired by Mama Nature - SOFREP,https://sofrep.com/news/innovative-unmanned-vehicles-inspired-by-mama-nature/,6/5/2022,Innovative Unmanned Vehicles Inspired by Mama Nature&nbsp;&nbsp;SOFREP,SOFREP,Drones-Aircraft
"Lawmakers adopt several laws, resolutions on June 14 - http://en.vietnamplus.vn/",https://en.vietnamplus.vn/lawmakers-adopt-several-laws-resolutions-on-june-14/231142.vnp,6/14/2022,"Lawmakers adopt several laws, resolutions on June 14&nbsp;&nbsp;http://en.vietnamplus.vn/",http://en.vietnamplus.vn/,Drones-Aircraft
HENSOLDT defence industry developer of Land Air Sea Solutions and Products | Germany German defence industry company UK | Europe defence industry company UK - Army Recognition,https://www.armyrecognition.com/germany_german_defence_industry_company_uk/hensoldt_defence_industry_developer_of_land_air_sea_solutions_and_products.html,6/10/2022,HENSOLDT defence industry developer of Land Air Sea Solutions and Products | Germany German defence industry company UK | Europe defence industry company UK&nbsp;&nbsp;Army Recognition,Army Recognition,Drones-Aircraft
VIEWPOINT: Modernizing SOF Acquisition — Quietly - National Defense Magazine,https://www.nationaldefensemagazine.org/articles/2022/5/16/modernizing-sof-acquisition-quietly,5/16/2022,VIEWPOINT: Modernizing SOF Acquisition — Quietly&nbsp;&nbsp;National Defense Magazine,National Defense Magazine,Drones-Aircraft
Highlights From The Congressional Hearing on Unidentified Aerial Phenomena - The Debrief,https://thedebrief.org/live-coverage-c3-subcommittee-hearing-on-unidentified-aerial-phenomena/,5/17/2022,Highlights From The Congressional Hearing on Unidentified Aerial Phenomena&nbsp;&nbsp;The Debrief,The Debrief,Drones-Aircraft
Colorado Parks and Wildlife asking drone users to avoid harassing wildlife - The Denver Gazette,https://denvergazette.com/news/environment/colorado-parks-and-wildlife-asking-drone-users-to-avoid-harassing-wildlife/article_9dd8786e-05d7-11ec-b61e-d384e72dfa70.html,8/27/2021,Colorado Parks and Wildlife asking drone users to avoid harassing wildlife&nbsp;&nbsp;The Denver Gazette,The Denver Gazette,Drones-Aircraft
How France's Army chief is avoiding getting sucked into a 'Ukrainian tunnel' - DefenseNews.com,https://www.defensenews.com/global/europe/2022/06/13/how-frances-army-chief-is-avoiding-getting-sucked-into-a-ukrainian-tunnel/,6/13/2022,How France's Army chief is avoiding getting sucked into a 'Ukrainian tunnel'&nbsp;&nbsp;DefenseNews.com,DefenseNews.com,Drones-Aircraft
Dye tracing and concentration mapping in coastal waters using unmanned aerial vehicles | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-05189-9,1/21/2022,Dye tracing and concentration mapping in coastal waters using unmanned aerial vehicles | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Drones-Aircraft
JOINT RELEASE: North Dakota utilizes UAS network to assist storm recovery efforts with drones - North Dakota Office of the Governor,https://www.governor.nd.gov/news/joint-release-north-dakota-utilizes-uas-network-assist-storm-recovery-efforts-drones,4/27/2022,JOINT RELEASE: North Dakota utilizes UAS network to assist storm recovery efforts with drones&nbsp;&nbsp;North Dakota Office of the Governor,North Dakota Office of the Governor,Drones-Aircraft
Pentagon's Counter-UAS Program Holds Second Industry Demonstration - National Defense Magazine,https://www.nationaldefensemagazine.org/articles/2021/9/24/pentagons-counter-uas-program-holds-second-industry-demonstration,9/24/2021,Pentagon's Counter-UAS Program Holds Second Industry Demonstration&nbsp;&nbsp;National Defense Magazine,National Defense Magazine,Drones-Aircraft
Ukraine war: Russia intensifies battle for Donbas as forces encircle eastern key city - Daily Mail,https://www.dailymail.co.uk/news/article-10841895/Ukraine-war-Russia-intensifies-battle-Donbas-forces-encircle-eastern-key-city.html,5/22/2022,Ukraine war: Russia intensifies battle for Donbas as forces encircle eastern key city&nbsp;&nbsp;Daily Mail,Daily Mail,Drones-Aircraft
