Title,Link,pubDate,Description,Source,Tag
Deforestation: JBS unveils forest fire taskforce to protect 2.5 million hectares in Brazil - FoodNavigator.com,https://www.foodnavigator.com/Article/2022/06/14/deforestation-jbs-unveils-forest-fire-taskforce-to-protect-2.5-million-hectares-in-brazil,6/14/2022,Deforestation: JBS unveils forest fire taskforce to protect 2.5 million hectares in Brazil&nbsp;&nbsp;FoodNavigator.com,FoodNavigator.com,Fire-Monitoring
The NICFI Satellite Data Program is Being Leveraged Globally... - planet.com,https://www.planet.com/pulse/the-nicfi-satellite-data-program-is-being-leveraged-globally-to-advance-science-and-protect-forests/,6/10/2022,The NICFI Satellite Data Program is Being Leveraged Globally...&nbsp;&nbsp;planet.com,planet.com,Fire-Monitoring
Becoming a Pilot Biologist for the US Fish and Wildlife Service - US Fish and Wildlife Service,https://www.fws.gov/story/becoming-pilot-biologist-us-fish-and-wildlife-service,6/8/2022,Becoming a Pilot Biologist for the US Fish and Wildlife Service&nbsp;&nbsp;US Fish and Wildlife Service,US Fish and Wildlife Service,Fire-Monitoring
China brings in hi-tech methods to take care of its pandas - ZME Science,https://www.zmescience.com/science/china-brings-in-technology-to-better-take-care-of-its-pandas-16052022/,5/17/2022,China brings in hi-tech methods to take care of its pandas&nbsp;&nbsp;ZME Science,ZME Science,Fire-Monitoring
A West without barbed wire - Conservation Northwest,https://conservationnw.org/news-updates/a-west-without-barbed-wire/,5/17/2022,A West without barbed wire&nbsp;&nbsp;Conservation Northwest,Conservation Northwest,Fire-Monitoring
"Installation of Powerline Safety Settings Essentially Complete in High-Fire Risk Areas Across 25,500 Distribution Line Miles in PG&E’s Service Area - PGE Currents.",https://www.pgecurrents.com/2022/05/25/installation-of-powerline-safety-settings-essentially-complete-in-high-fire-risk-areas-across-25500-distribution-line-miles-in-pges-service-area/,5/25/2022,"Installation of Powerline Safety Settings Essentially Complete in High-Fire Risk Areas Across 25,500 Distribution Line Miles in PG&amp;E’s Service Area&nbsp;&nbsp;PGE Currents.",PGE Currents.,Fire-Monitoring
"Los Alamos lab helps fight fires, now it's threatened by one - The Christian Science Monitor",https://www.csmonitor.com/Environment/2022/0516/Los-Alamos-lab-helps-fight-fires-now-it-s-threatened-by-one,5/16/2022,"Los Alamos lab helps fight fires, now it's threatened by one&nbsp;&nbsp;The Christian Science Monitor",The Christian Science Monitor,Fire-Monitoring
IKIN ships holographic ARC terminal with no need for goggles - FierceElectronics,https://www.fierceelectronics.com/sensors/ikin-arc-ships-commercial-holographic-desktop-terminal-no-need-goggles,6/13/2022,IKIN ships holographic ARC terminal with no need for goggles&nbsp;&nbsp;FierceElectronics,FierceElectronics,Fire-Monitoring
Southern Nevada fire agencies announce fire restrictions ahead of summer - News3LV,https://news3lv.com/news/local/southern-nevada-fire-agencies-announce-fire-restrictions-ahead-of-summer,5/16/2022,Southern Nevada fire agencies announce fire restrictions ahead of summer&nbsp;&nbsp;News3LV,News3LV,Fire-Monitoring
Sumatra palm plantations the usual suspects as unusual burning razes peatlands - Mongabay.com,https://news.mongabay.com/2022/06/sumatra-palm-plantations-the-usual-suspects-as-unusual-burning-razes-peatlands/,6/2/2022,Sumatra palm plantations the usual suspects as unusual burning razes peatlands&nbsp;&nbsp;Mongabay.com,Mongabay.com,Fire-Monitoring
Ag Briefs: Hobart man faces prison for torching barns - Wisconsin State Farmer,https://www.wisfarmer.com/story/news/2022/06/13/ag-briefs-hobart-man-faces-prison-torching-barns/7541090001/,6/14/2022,Ag Briefs: Hobart man faces prison for torching barns&nbsp;&nbsp;Wisconsin State Farmer,Wisconsin State Farmer,Fire-Monitoring
KF51 Panther: Germany's New Tank Could Be a 'Hunter-Killer' - 19FortyFive,https://www.19fortyfive.com/2022/06/kf51-panther-germanys-new-tank-that-could-break-all-of-the-rules/,6/14/2022,KF51 Panther: Germany's New Tank Could Be a 'Hunter-Killer'&nbsp;&nbsp;19FortyFive,19FortyFive,Fire-Monitoring
DEVCOM Soldier Center designs protective jumpsuit for elite firefighters - United States Army,https://www.army.mil/article/256898/devcom_soldier_center_designs_protective_jumpsuit_for_elite_firefighters,5/23/2022,DEVCOM Soldier Center designs protective jumpsuit for elite firefighters&nbsp;&nbsp;United States Army,United States Army,Fire-Monitoring
"Protected areas saw dramatic spikes in fires during COVID lockdowns, study finds - Phys.org",https://phys.org/news/2022-05-areas-spikes-covid-lockdowns.html,5/5/2022,"Protected areas saw dramatic spikes in fires during COVID lockdowns, study finds&nbsp;&nbsp;Phys.org",Phys.org,Fire-Monitoring
"Biologists, leaders see wildlife still thriving in wake of huge fire at Fort Hood - United States Army",https://www.army.mil/article/256602/biologists_leaders_see_wildlife_still_thriving_in_wake_of_huge_fire_at_fort_hood,5/11/2022,"Biologists, leaders see wildlife still thriving in wake of huge fire at Fort Hood&nbsp;&nbsp;United States Army",United States Army,Fire-Monitoring
"Widespread fires tore through protected peatlands despite new ban, investigation reveals - About Manchester",https://aboutmanchester.co.uk/widespread-fires-tore-through-protected-peatlands-despite-new-ban-investigation-reveals/,5/30/2022,"Widespread fires tore through protected peatlands despite new ban, investigation reveals&nbsp;&nbsp;About Manchester",About Manchester,Fire-Monitoring
FY2023 CDS Requests | U.S. Senator Bill Cassidy of Louisiana - Senator Bill Cassidy,https://www.cassidy.senate.gov/helping-you/fy2023-cds-requests,5/24/2022,FY2023 CDS Requests | U.S. Senator Bill Cassidy of Louisiana&nbsp;&nbsp;Senator Bill Cassidy,Senator Bill Cassidy,Fire-Monitoring
Southeast Asian protected areas are effective in conserving forest cover and forest carbon stocks compared to unprotected areas | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-021-03188-w,12/9/2021,Southeast Asian protected areas are effective in conserving forest cover and forest carbon stocks compared to unprotected areas | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Fire-Monitoring
What the Building Safety Act 2022 means for you | RIBAJ - RIBA Journal,https://www.ribaj.com/intelligence/building-safety-act-2022-what-you-need-to-know,6/14/2022,What the Building Safety Act 2022 means for you | RIBAJ&nbsp;&nbsp;RIBA Journal,RIBA Journal,Fire-Monitoring
Inside China's New Massive National Park System - Bloomberg,https://www.bloomberg.com/news/features/2021-12-11/inside-china-s-new-massive-national-park-system,12/11/2021,Inside China's New Massive National Park System&nbsp;&nbsp;Bloomberg,Bloomberg,Fire-Monitoring
Analysis | The Colorado River faces a climate change-driven crisis - The Washington Post,https://www.washingtonpost.com/politics/2022/05/16/colorado-river-faces-climate-change-driven-crisis/,5/16/2022,Analysis | The Colorado River faces a climate change-driven crisis&nbsp;&nbsp;The Washington Post,The Washington Post,Fire-Monitoring
Reducing Wildfire Risk and Improving Wildlife Habitat | US Forest Service - USDA Forest Service,https://www.fs.usda.gov/features/reducing-wildfire-risk-and-improving-wildlife-habitat,4/6/2022,Reducing Wildfire Risk and Improving Wildlife Habitat | US Forest Service&nbsp;&nbsp;USDA Forest Service,USDA Forest Service,Fire-Monitoring
FACT SHEET: Biden-⁠Harris Administration Hits the Ground Running to Build a Better America Six Months into Infrastructure Implementation - The White House,https://www.whitehouse.gov/briefing-room/statements-releases/2022/05/16/fact-sheet-biden-harris-administration-hits-the-ground-running-to-build-a-better-america-six-months-into-infrastructure-implementation/,5/16/2022,FACT SHEET: Biden-⁠Harris Administration Hits the Ground Running to Build a Better America Six Months into Infrastructure Implementation&nbsp;&nbsp;The White House,The White House,Fire-Monitoring
Great Lakes fish and fisheries suffer stress of warming climate - Detroit Free Press,https://www.freep.com/in-depth/news/local/michigan/2022/06/14/great-lakes-fish-fisheries-warming-climate/9925762002/,6/14/2022,Great Lakes fish and fisheries suffer stress of warming climate&nbsp;&nbsp;Detroit Free Press,Detroit Free Press,Fire-Monitoring
Smart Locks to Smarter Security Systems: Twelve Tips from Alarm.com For New Homeowners and Recent Movers - Business Wire,https://www.businesswire.com/news/home/20220608005782/en/Smart-Locks-to-Smarter-Security-Systems-Twelve-Tips-from-Alarm.com-For-New-Homeowners-and-Recent-Movers,6/8/2022,Smart Locks to Smarter Security Systems: Twelve Tips from Alarm.com For New Homeowners and Recent Movers&nbsp;&nbsp;Business Wire,Business Wire,Fire-Monitoring
Special Topics | US Geological Survey - United States Geological Survey (.gov),https://www.usgs.gov/special-topics,5/31/2022,Special Topics | US Geological Survey&nbsp;&nbsp;United States Geological Survey (.gov),United States Geological Survey (.gov),Fire-Monitoring
Can Technology Save Our Forests? - National Geographic,https://www.nationalgeographic.com/environment/article/paid-content-can-technology-save-our-forests,3/21/2022,Can Technology Save Our Forests?&nbsp;&nbsp;National Geographic,National Geographic,Fire-Monitoring
These 5 tech innovations can protect wildlife and Earth - YourStory,https://yourstory.com/socialstory/2022/03/drone-ai-image-sensor-tech-innovations-protect-wildlife-earth/amp,3/30/2022,These 5 tech innovations can protect wildlife and Earth&nbsp;&nbsp;YourStory,YourStory,Fire-Monitoring
Private protected areas help conserve overlooked and threatened regions - Science Daily,https://www.sciencedaily.com/releases/2022/04/220407141854.htm,4/7/2022,Private protected areas help conserve overlooked and threatened regions&nbsp;&nbsp;Science Daily,Science Daily,Fire-Monitoring
"For fire-ravaged northern Thailand, there's now an app to battle the blaze - Mongabay.com",https://news.mongabay.com/2022/02/for-fire-ravaged-northern-thailand-theres-now-an-app-to-battle-the-blaze/,2/28/2022,"For fire-ravaged northern Thailand, there's now an app to battle the blaze&nbsp;&nbsp;Mongabay.com",Mongabay.com,Fire-Monitoring
A Lidar's-Eye View of How Forests Are Faring - Eos,https://eos.org/features/a-lidars-eye-view-of-how-forests-are-faring,4/29/2022,A Lidar's-Eye View of How Forests Are Faring&nbsp;&nbsp;Eos,Eos,Fire-Monitoring
DEC Forest Rangers - Week in Review - NYS Dept. of Environmental Conservation - New York State Department of Environmental Conservation,https://www.dec.ny.gov/press/125201.html,4/19/2022,DEC Forest Rangers - Week in Review - NYS Dept. of Environmental Conservation&nbsp;&nbsp;New York State Department of Environmental Conservation,New York State Department of Environmental Conservation,Fire-Monitoring
Improving biodiversity protection through artificial intelligence - Nature.com,https://www.nature.com/articles/s41893-022-00851-6,3/24/2022,Improving biodiversity protection through artificial intelligence&nbsp;&nbsp;Nature.com,Nature.com,Fire-Monitoring
Finding paths and breaking down barriers: Stories celebrating women in Virginia Tech's College of Natural Resources and Environment - Virginia Tech Daily,https://vtx.vt.edu/articles/2022/02/cnre-celebrating-women-in-cnre.html,2/9/2022,Finding paths and breaking down barriers: Stories celebrating women in Virginia Tech's College of Natural Resources and Environment&nbsp;&nbsp;Virginia Tech Daily,Virginia Tech Daily,Fire-Monitoring
Monitoring and evaluation of climate adaptation conservation initiatives - Science Daily,https://www.sciencedaily.com/releases/2022/04/220427115740.htm,4/27/2022,Monitoring and evaluation of climate adaptation conservation initiatives&nbsp;&nbsp;Science Daily,Science Daily,Fire-Monitoring
Wildlife survive wildfire | News | forthoodsentinel.com - The Fort Hood Sentinel,http://www.forthoodsentinel.com/news/wildlife-survive-wildfire/article_65e9eb08-cb17-11ec-867e-b399f690060d.html,5/5/2022,Wildlife survive wildfire | News | forthoodsentinel.com&nbsp;&nbsp;The Fort Hood Sentinel,The Fort Hood Sentinel,Fire-Monitoring
Will the next wildfire be prevented by a 14-year-old’s innovation? - Red Bluff Daily News,https://www.redbluffdailynews.com/2022/05/02/will-the-next-wildfire-be-prevented-by-a-14-year-olds-innovation,5/2/2022,Will the next wildfire be prevented by a 14-year-old’s innovation?&nbsp;&nbsp;Red Bluff Daily News,Red Bluff Daily News,Fire-Monitoring
"FACT SHEET: President Biden Signs Executive Order to Strengthen America's Forests, Boost Wildfire Resilience, and Combat Global Deforestation - The White House",https://www.whitehouse.gov/briefing-room/statements-releases/2022/04/22/fact-sheet-president-biden-signs-executive-order-to-strengthen-americas-forests-boost-wildfire-resilience-and-combat-global-deforestation/,4/22/2022,"FACT SHEET: President Biden Signs Executive Order to Strengthen America's Forests, Boost Wildfire Resilience, and Combat Global Deforestation&nbsp;&nbsp;The White House",The White House,Fire-Monitoring
How France's Army chief is avoiding getting sucked into a 'Ukrainian tunnel' - DefenseNews.com,https://www.defensenews.com/global/europe/2022/06/13/how-frances-army-chief-is-avoiding-getting-sucked-into-a-ukrainian-tunnel/,6/13/2022,How France's Army chief is avoiding getting sucked into a 'Ukrainian tunnel'&nbsp;&nbsp;DefenseNews.com,DefenseNews.com,Fire-Monitoring
How connected safety proactively reduces risk to oil and gas facilities and workers - BIC Magazine,https://www.bicmagazine.com/resources/sponsored-content/how-connected-safety-proactively-reduces-risk-to-oil-and-gas-workers/,5/31/2022,How connected safety proactively reduces risk to oil and gas facilities and workers&nbsp;&nbsp;BIC Magazine,BIC Magazine,Fire-Monitoring
