Title,Link,pubDate,Description,Source,Tag
"Offshore wind developers, conservation groups collaborate to protect birds - Port City Daily",https://portcitydaily.com/local-news/2022/05/29/offshore-wind-developers-conservation-groups-collaborate-to-protect-birds/,5/29/2022,"Offshore wind developers, conservation groups collaborate to protect birds&nbsp;&nbsp;Port City Daily",Port City Daily,Sensors-Optical
Photonics applications emerge for agriculture - Laser Focus World,https://www.laserfocusworld.com/detectors-imaging/article/14276564/photonics-applications-emerge-for-agriculture,5/19/2022,Photonics applications emerge for agriculture&nbsp;&nbsp;Laser Focus World,Laser Focus World,Sensors-Optical
Best wildlife photography cameras 2022 - Livescience.com,https://www.livescience.com/best-wildlife-photography-cameras,5/17/2022,Best wildlife photography cameras 2022&nbsp;&nbsp;Livescience.com,Livescience.com,Sensors-Optical
KF51 Panther: Germany's New Tank Could Be a 'Hunter-Killer' - 19FortyFive,https://www.19fortyfive.com/2022/06/kf51-panther-germanys-new-tank-that-could-break-all-of-the-rules/,6/14/2022,KF51 Panther: Germany's New Tank Could Be a 'Hunter-Killer'&nbsp;&nbsp;19FortyFive,19FortyFive,Sensors-Optical
Crystal Diamond Mirrors Stand Up to Continuous-Wave Laser Powers - Photonics.com,https://www.photonics.com/Articles/Crystal_Diamond_Mirrors_Stand_Up_to/a68092,6/10/2022,Crystal Diamond Mirrors Stand Up to Continuous-Wave Laser Powers&nbsp;&nbsp;Photonics.com,Photonics.com,Sensors-Optical
Do You Know Where the Tallest Trees on Earth Grow? - SnowBrains,https://snowbrains.com/do-you-know-where-the-tallest-trees-on-earth-grow/,5/24/2022,Do You Know Where the Tallest Trees on Earth Grow?&nbsp;&nbsp;SnowBrains,SnowBrains,Sensors-Optical
Emerging technology gives first ever global view of hidden vessels - GlobeNewswire,https://www.globenewswire.com/news-release/2022/06/08/2458326/0/en/Emerging-technology-gives-first-ever-global-view-of-hidden-vessels.html,6/8/2022,Emerging technology gives first ever global view of hidden vessels&nbsp;&nbsp;GlobeNewswire,GlobeNewswire,Sensors-Optical
Fleshy red algae mats act as temporary reservoirs for sessile invertebrate biodiversity | Communications Biology - Nature.com,https://www.nature.com/articles/s42003-022-03523-5,6/13/2022,Fleshy red algae mats act as temporary reservoirs for sessile invertebrate biodiversity | Communications Biology&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Optical
Five finalists selected to field-test new technology to measure carbon in nature - WWF.CA - WWF-Canada Blog,https://wwf.ca/media-releases/five-finalists-selected-to-field-test-new-technology-to-measure-carbon-in-nature/,4/13/2022,Five finalists selected to field-test new technology to measure carbon in nature - WWF.CA&nbsp;&nbsp;WWF-Canada Blog,WWF-Canada Blog,Sensors-Optical
Canada's human footprint reveals large intact areas juxtaposed against areas under immense anthropogenic pressure - FACETS Journal,https://www.facetsjournal.com/doi/10.1139/facets-2021-0063,3/19/2022,Canada's human footprint reveals large intact areas juxtaposed against areas under immense anthropogenic pressure&nbsp;&nbsp;FACETS Journal,FACETS Journal,Sensors-Optical
