Title,Link,pubDate,Description,Source,Tag
73 species under threat from poaching in sanctuary - The Phnom Penh Post,https://www.phnompenhpost.com/national/73-species-under-threat-poaching-sanctuary,6/9/2022,73 species under threat from poaching in sanctuary&nbsp;&nbsp;The Phnom Penh Post,The Phnom Penh Post,Sensors-Poaching
Group fights back against poachers along California coast - Spectrum News 1,https://spectrumnews1.com/ca/la-west/public-safety/2022/05/17/group-fights-poachers-california-coast,5/18/2022,Group fights back against poachers along California coast&nbsp;&nbsp;Spectrum News 1,Spectrum News 1,Sensors-Poaching
Zimbabwe Wants African Ivory Sales to Fund Elephant Conservation - Foreign Policy,https://foreignpolicy.com/2022/06/12/africa-ivory-trade-zimbabwe-elephant-poaching-conservation/,6/12/2022,Zimbabwe Wants African Ivory Sales to Fund Elephant Conservation&nbsp;&nbsp;Foreign Policy,Foreign Policy,Sensors-Poaching
"Campaign against animal traps in Stung Treng a success, says ministry - Khmer Times",https://www.khmertimeskh.com/501078050/campaign-against-animal-traps-in-stung-treng-a-success-says-ministry/,5/19/2022,"Campaign against animal traps in Stung Treng a success, says ministry&nbsp;&nbsp;Khmer Times",Khmer Times,Sensors-Poaching
Go Beyond the Safari With These Wildlife-focused Volunteer Trips in East and Southern Africa - Travel + Leisure,https://www.travelandleisure.com/animals/africa-wildlife-conservation-voluntourism-trips,6/9/2022,Go Beyond the Safari With These Wildlife-focused Volunteer Trips in East and Southern Africa&nbsp;&nbsp;Travel + Leisure,Travel + Leisure,Sensors-Poaching
"Protect Persian leopards, and their defenders, for World Environment Day (commentary) - Mongabay.com",https://news.mongabay.com/2022/06/protect-persian-leopards-and-their-defenders-for-world-environment-day-commentary/,6/3/2022,"Protect Persian leopards, and their defenders, for World Environment Day (commentary)&nbsp;&nbsp;Mongabay.com",Mongabay.com,Sensors-Poaching
Can Humans and Jaguars Coexist? A Wildlife Biologist Uses Technology and Education to Reduce Conflict - Smithsonian Magazine,https://www.smithsonianmag.com/blogs/smithsonian-tropical-research-institute/2022/05/27/can-humans-and-jaguars-coexist-a-wildlife-biologist-uses-technology-and-education-to-reduce-conflict/,5/27/2022,Can Humans and Jaguars Coexist? A Wildlife Biologist Uses Technology and Education to Reduce Conflict&nbsp;&nbsp;Smithsonian Magazine,Smithsonian Magazine,Sensors-Poaching
'Protecting snow leopards benefits other species': Q&A with Rinzin Phunjok Lama - Mongabay.com,https://news.mongabay.com/2022/06/protecting-snow-leopards-benefits-other-species-qa-with-rinzin-phunjok-lama/,6/9/2022,'Protecting snow leopards benefits other species': Q&amp;A with Rinzin Phunjok Lama&nbsp;&nbsp;Mongabay.com,Mongabay.com,Sensors-Poaching
NC State Student Supports Wildlife Conservation in Africa - NC State College of Natural Resources News,https://cnr.ncsu.edu/news/2022/01/nc-state-student-supports-wildlife-conservation-in-africa/,1/24/2022,NC State Student Supports Wildlife Conservation in Africa&nbsp;&nbsp;NC State College of Natural Resources News,NC State College of Natural Resources News,Sensors-Poaching
Back from the brink of extinction: The best conservation success stories - BBC Science Focus Magazine,https://www.sciencefocus.com/nature/back-from-the-brink-of-extinction-the-best-conservation-success-stories/,6/11/2022,Back from the brink of extinction: The best conservation success stories&nbsp;&nbsp;BBC Science Focus Magazine,BBC Science Focus Magazine,Sensors-Poaching
Indian Mouse Deer’s status as ‘Lowest Risk’ is worrying. Look at full picture first - ThePrint,https://theprint.in/opinion/indian-mouse-deers-status-as-lowest-risk-is-worrying-look-at-full-picture-first/980354/,6/4/2022,Indian Mouse Deer’s status as ‘Lowest Risk’ is worrying. Look at full picture first&nbsp;&nbsp;ThePrint,ThePrint,Sensors-Poaching
Wildlife crime crackdown: Dhenkanal shows the way - The New Indian Express,https://www.newindianexpress.com/states/odisha/2022/may/29/wildlife-crime-crackdown-dhenkanal-shows-the-way-2459326.html,5/29/2022,Wildlife crime crackdown: Dhenkanal shows the way&nbsp;&nbsp;The New Indian Express,The New Indian Express,Sensors-Poaching
Jumbo death traps in the jungles - The Hindu,https://www.thehindu.com/news/national/tamil-nadu/jumbo-death-traps/article65487086.ece,6/2/2022,Jumbo death traps in the jungles&nbsp;&nbsp;The Hindu,The Hindu,Sensors-Poaching
Eight species that have been rediscovered after decades lost - Guinness World Records,https://www.guinnessworldrecords.com/news/2022/5/eight-species-that-were-rediscovered-after-decades-lost-704635,5/20/2022,Eight species that have been rediscovered after decades lost&nbsp;&nbsp;Guinness World Records,Guinness World Records,Sensors-Poaching
These new technologies could transform wildlife conservation - The Hill,https://thehill.com/changing-america/sustainability/environment/592820-these-new-technologies-could-transform-wildlife/,2/4/2022,These new technologies could transform wildlife conservation&nbsp;&nbsp;The Hill,The Hill,Sensors-Poaching
Dr Kae Kwanishi calls for strict enforcement to save the Malayan tiger - The Star Online,https://www.thestar.com.my/lifestyle/living/2022/05/26/tiger-biologist-calls-for-strict-enforcement-to-save-the-malayan-tiger,5/26/2022,Dr Kae Kwanishi calls for strict enforcement to save the Malayan tiger&nbsp;&nbsp;The Star Online,The Star Online,Sensors-Poaching
"Patrols work, but community-based conservation needs a rethink, study shows - Mongabay.com",https://news.mongabay.com/2022/03/patrols-work-but-community-based-conservation-needs-a-rethink-study-shows/,3/11/2022,"Patrols work, but community-based conservation needs a rethink, study shows&nbsp;&nbsp;Mongabay.com",Mongabay.com,Sensors-Poaching
"Himalayan musk deer talk to each other through poop, but poachers are also listening - Mongabay.com",https://news.mongabay.com/2022/05/himalayan-musk-deer-talk-to-each-other-through-poop-but-poachers-are-also-listening/,5/10/2022,"Himalayan musk deer talk to each other through poop, but poachers are also listening&nbsp;&nbsp;Mongabay.com",Mongabay.com,Sensors-Poaching
Evaluating the benefits and risks of social media for wildlife conservation - FACETS Journal,https://www.facetsjournal.com/doi/10.1139/facets-2021-0112,3/10/2022,Evaluating the benefits and risks of social media for wildlife conservation&nbsp;&nbsp;FACETS Journal,FACETS Journal,Sensors-Poaching
Poaching on forest fringes - The Hindu,https://www.thehindu.com/news/national/tamil-nadu/poaching-on-forest-fringes/article65341303.ece,4/21/2022,Poaching on forest fringes&nbsp;&nbsp;The Hindu,The Hindu,Sensors-Poaching
Cattle Grazing = Death Traps for Yellowstone Grizzly Bears - CounterPunch,https://www.counterpunch.org/2022/05/26/cattle-grazing-death-traps-for-yellowstone-grizzly-bears/,5/26/2022,Cattle Grazing = Death Traps for Yellowstone Grizzly Bears&nbsp;&nbsp;CounterPunch,CounterPunch,Sensors-Poaching
