Title,Link,pubDate,Description,Source,Tag
"Offshore wind developers, conservation groups collaborate to protect birds - Port City Daily",https://portcitydaily.com/local-news/2022/05/29/offshore-wind-developers-conservation-groups-collaborate-to-protect-birds/,5/29/2022,"Offshore wind developers, conservation groups collaborate to protect birds&nbsp;&nbsp;Port City Daily",Port City Daily,Sensors-Radar
IKIN ships holographic ARC terminal with no need for goggles - FierceElectronics,https://www.fierceelectronics.com/sensors/ikin-arc-ships-commercial-holographic-desktop-terminal-no-need-goggles,6/13/2022,IKIN ships holographic ARC terminal with no need for goggles&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Radar
Emerging technology gives first ever global view of hidden vessels - GlobeNewswire,https://www.globenewswire.com/news-release/2022/06/08/2458326/0/en/Emerging-technology-gives-first-ever-global-view-of-hidden-vessels.html,6/8/2022,Emerging technology gives first ever global view of hidden vessels&nbsp;&nbsp;GlobeNewswire,GlobeNewswire,Sensors-Radar
LaMDA IQ debate swirls over who (or what) is tone deaf - FierceElectronics,https://www.fierceelectronics.com/sensors/lamdas-iq-raises-debate-over-who-or-what-tone-deaf,6/13/2022,LaMDA IQ debate swirls over who (or what) is tone deaf&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Radar
"How to think, move, act like a farmer with precision autonomous farm tech: Bansal - FierceElectronics",https://www.fierceelectronics.com/sensors/how-think-move-act-farmer-precision-autonomous-farm-tech,6/13/2022,"How to think, move, act like a farmer with precision autonomous farm tech: Bansal&nbsp;&nbsp;FierceElectronics",FierceElectronics,Sensors-Radar
Assam: Speed-check cameras to prevent Kaziranga wildlife killings - Times of India,https://timesofindia.indiatimes.com/city/guwahati/assam-speed-check-cameras-to-prevent-kaziranga-wildlife-killings/articleshow/92113325.cms,6/9/2022,Assam: Speed-check cameras to prevent Kaziranga wildlife killings&nbsp;&nbsp;Times of India,Times of India,Sensors-Radar
Renesas to buy Reality AI for embedded and tinyML products in non-visual sensing - FierceElectronics,https://www.fierceelectronics.com/sensors/renesas-buy-reality-ai-embedded-and-tinyml-products-non-visual-sensing,6/9/2022,Renesas to buy Reality AI for embedded and tinyML products in non-visual sensing&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Radar
"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology - CBC News",https://www.cbc.ca/news/world/galapagos-illegal-fishing-satellite-technology-1.6469424,6/4/2022,"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology&nbsp;&nbsp;CBC News",CBC News,Sensors-Radar
How are Sensors Used in Conservation Efforts? - AZoSensors,https://www.azosensors.com/article.aspx?ArticleID=2414,12/29/2021,How are Sensors Used in Conservation Efforts?&nbsp;&nbsp;AZoSensors,AZoSensors,Sensors-Radar
5 expert tips on introducing a smart factory system: Whitley - FierceElectronics,https://www.fierceelectronics.com/sensors/5-expert-tips-introducing-smart-factory-system-whitley,6/10/2022,5 expert tips on introducing a smart factory system: Whitley&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Radar
How lidar hardware and perception software aid OEM differentiation: Sharma - FierceElectronics,https://www.fierceelectronics.com/sensors/how-lidar-hardware-and-perception-software-aid-oem-differentiation-sharma,6/14/2022,How lidar hardware and perception software aid OEM differentiation: Sharma&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Radar
Automotive Intelligent Lighting System Market | APAC to occupy 40% market share | Technavio - The Auto Channel,https://www.theautochannel.com/news/2022/06/13/1154774-automotive-intelligent-lighting-system-market-apac-to-occupy-40-market.html,6/13/2022,Automotive Intelligent Lighting System Market | APAC to occupy 40% market share | Technavio&nbsp;&nbsp;The Auto Channel,The Auto Channel,Sensors-Radar
"Identifying conservation technology needs, barriers, and opportunities | Scientific Reports - Nature.com",https://www.nature.com/articles/s41598-022-08330-w,3/21/2022,"Identifying conservation technology needs, barriers, and opportunities | Scientific Reports&nbsp;&nbsp;Nature.com",Nature.com,Sensors-Radar
Transforming intrusion alarm systems with power-intelligent analog computing architecture - FierceElectronics,https://www.fierceelectronics.com/sensors/transforming-intrusion-alarm-systems-power-intelligent-analog-computing-architecture,6/8/2022,Transforming intrusion alarm systems with power-intelligent analog computing architecture&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Radar
"Wearable shipments drop first time in 1Q except Apple, IDC says - FierceElectronics",https://www.fierceelectronics.com/sensors/wearable-shipments-drop-first-time-1q-except-apple-idc-says,6/7/2022,"Wearable shipments drop first time in 1Q except Apple, IDC says&nbsp;&nbsp;FierceElectronics",FierceElectronics,Sensors-Radar
Arctic engineers develop innovative radar method to detect polar bears - Verve Times,https://vervetimes.com/arctic-engineers-develop-innovative-radar-method-to-detect-polar-bears/,5/25/2022,Arctic engineers develop innovative radar method to detect polar bears&nbsp;&nbsp;Verve Times,Verve Times,Sensors-Radar
HENSOLDT defence industry developer of Land Air Sea Solutions and Products | Germany German defence industry company UK | Europe defence industry company UK - Army Recognition,https://www.armyrecognition.com/germany_german_defence_industry_company_uk/hensoldt_defence_industry_developer_of_land_air_sea_solutions_and_products.html,6/10/2022,HENSOLDT defence industry developer of Land Air Sea Solutions and Products | Germany German defence industry company UK | Europe defence industry company UK&nbsp;&nbsp;Army Recognition,Army Recognition,Sensors-Radar
Astrocast acquiring Hiber as IoT M&A activity heats up - FierceElectronics,https://www.fierceelectronics.com/iot-wireless/astrocast-acquiring-hiber-iot-ma-activity-heats,6/6/2022,Astrocast acquiring Hiber as IoT M&amp;A activity heats up&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Radar
Amazon River Freshwater Fish Show Signs of Overexploitation - Lab Manager Magazine,https://www.labmanager.com/news/amazon-river-freshwater-fish-show-signs-of-overexploitation-28245,6/9/2022,Amazon River Freshwater Fish Show Signs of Overexploitation&nbsp;&nbsp;Lab Manager Magazine,Lab Manager Magazine,Sensors-Radar
Arm aims new image signal processor at IoT embedded computer vision apps - FierceElectronics,https://www.fierceelectronics.com/iot-wireless/arm-aims-new-image-signal-processor-iot-embedded-computer-vision-apps,6/8/2022,Arm aims new image signal processor at IoT embedded computer vision apps&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Radar
Garmin Varia RCT715 Camera + Radar In-Depth Review - DC Rainmaker,https://www.dcrainmaker.com/2022/05/garmin-rct715-varia-rearview-bikelight-radar-camera-review.html,5/18/2022,Garmin Varia RCT715 Camera + Radar In-Depth Review&nbsp;&nbsp;DC Rainmaker,DC Rainmaker,Sensors-Radar
Special Topics | US Geological Survey - United States Geological Survey (.gov),https://www.usgs.gov/special-topics,5/31/2022,Special Topics | US Geological Survey&nbsp;&nbsp;United States Geological Survey (.gov),United States Geological Survey (.gov),Sensors-Radar
Space Infrastructure for a Sustainable Arctic: Opportunities and Challenges of Spaceport Development in the High North - The Arctic Institute,https://www.thearcticinstitute.org/space-infrastructure-sustainable-arctic-opportunities-and-challenges-spaceport-development-high-north/,5/31/2022,Space Infrastructure for a Sustainable Arctic: Opportunities and Challenges of Spaceport Development in the High North&nbsp;&nbsp;The Arctic Institute,The Arctic Institute,Sensors-Radar
