Title,Link,pubDate,Description,Source,Tag
"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology - CBC News",https://www.cbc.ca/news/world/galapagos-illegal-fishing-satellite-technology-1.6469424,6/4/2022,"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology&nbsp;&nbsp;CBC News",CBC News,Sensors-Sonar
Newsletter 2022-06-09 - Mongabay.com,https://news.mongabay.com/newsletter/newsletter-2022-06-09/,6/9/2022,Newsletter 2022-06-09&nbsp;&nbsp;Mongabay.com,Mongabay.com,Sensors-Sonar
How Light and Noise Pollution Confound Animals' Senses - The Atlantic,https://www.theatlantic.com/magazine/archive/2022/07/light-noise-pollution-animal-sensory-impact/638446/,6/13/2022,How Light and Noise Pollution Confound Animals' Senses&nbsp;&nbsp;The Atlantic,The Atlantic,Sensors-Sonar
New AI Tool Could Help Track the Calls and Noise of Marine Animals - Nature World News,https://www.natureworldnews.com/articles/51025/20220526/ai-tool-marine-animals-calls-and-noise.htm,5/26/2022,New AI Tool Could Help Track the Calls and Noise of Marine Animals&nbsp;&nbsp;Nature World News,Nature World News,Sensors-Sonar
"CODA OCTOPUS GROUP, INC. MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS (form 10-Q) - Marketscreener.com",https://www.marketscreener.com/quote/stock/CODA-OCTOPUS-GROUP-INC-38066056/news/CODA-OCTOPUS-GROUP-INC-MANAGEMENT-S-DISCUSSION-AND-ANALYSIS-OF-FINANCIAL-CONDITION-AND-RESULTS-OF-40716869/,6/14/2022,"CODA OCTOPUS GROUP, INC. MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS (form 10-Q)&nbsp;&nbsp;Marketscreener.com",Marketscreener.com,Sensors-Sonar
Is Fishing With a Drone the Way of the Future? - Smithsonian Magazine,https://www.smithsonianmag.com/innovation/is-fishing-with-a-drone-the-way-of-the-future-180980177/,6/1/2022,Is Fishing With a Drone the Way of the Future?&nbsp;&nbsp;Smithsonian Magazine,Smithsonian Magazine,Sensors-Sonar
Esri's Dawn Wright Will Journey to Challenger Deep with Explorer Victor Vescovo - Business Wire,https://www.businesswire.com/news/home/20220608005274/en/Esris-Dawn-Wright-Will-Journey-to-Challenger-Deep-with-Explorer-Victor-Vescovo,6/8/2022,Esri's Dawn Wright Will Journey to Challenger Deep with Explorer Victor Vescovo&nbsp;&nbsp;Business Wire,Business Wire,Sensors-Sonar
Drone Fishers Are in the Hot Seat - Hakai Magazine,https://hakaimagazine.com/news/drone-fishers-are-in-the-hot-seat/,5/26/2022,Drone Fishers Are in the Hot Seat&nbsp;&nbsp;Hakai Magazine,Hakai Magazine,Sensors-Sonar
Sailing into Success with Saildrone's Unmanned Surface Vehicles - AZoRobotics,https://www.azorobotics.com/Article.aspx?ArticleID=516,5/16/2022,Sailing into Success with Saildrone's Unmanned Surface Vehicles&nbsp;&nbsp;AZoRobotics,AZoRobotics,Sensors-Sonar
How are Sensors Used in Conservation Efforts? - AZoSensors,https://www.azosensors.com/article.aspx?ArticleID=2414,12/29/2021,How are Sensors Used in Conservation Efforts?&nbsp;&nbsp;AZoSensors,AZoSensors,Sensors-Sonar
