Title,Link,pubDate,Description,Source,Tag
AutoML-ID: automated machine learning model for intrusion detection using wireless sensor network | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-13061-z,5/31/2022,AutoML-ID: automated machine learning model for intrusion detection using wireless sensor network | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Wireless
IKIN ships holographic ARC terminal with no need for goggles - FierceElectronics,https://www.fierceelectronics.com/sensors/ikin-arc-ships-commercial-holographic-desktop-terminal-no-need-goggles,6/13/2022,IKIN ships holographic ARC terminal with no need for goggles&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Wireless
"Offshore wind developers, conservation groups collaborate to protect birds - Port City Daily",https://portcitydaily.com/local-news/2022/05/29/offshore-wind-developers-conservation-groups-collaborate-to-protect-birds/,5/29/2022,"Offshore wind developers, conservation groups collaborate to protect birds&nbsp;&nbsp;Port City Daily",Port City Daily,Sensors-Wireless
LaMDA IQ debate swirls over who (or what) is tone deaf - FierceElectronics,https://www.fierceelectronics.com/sensors/lamdas-iq-raises-debate-over-who-or-what-tone-deaf,6/13/2022,LaMDA IQ debate swirls over who (or what) is tone deaf&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Wireless
"Wireless Communication Technologies in Healthcare Market Trends, Business Overview, Future Demand, Industry Growth, Dynamic Innovations and Forecast to 2028 | Latest Release By IBI - Digital Journal",https://www.digitaljournal.com/pr/wireless-communication-technologies-in-healthcare-market-trends-business-overview-future-demand-industry-growth-dynamic-innovations-and-forecast-to-2028-latest-release-by-ibi,6/13/2022,"Wireless Communication Technologies in Healthcare Market Trends, Business Overview, Future Demand, Industry Growth, Dynamic Innovations and Forecast to 2028 | Latest Release By IBI&nbsp;&nbsp;Digital Journal",Digital Journal,Sensors-Wireless
"How to think, move, act like a farmer with precision autonomous farm tech: Bansal - FierceElectronics",https://www.fierceelectronics.com/sensors/how-think-move-act-farmer-precision-autonomous-farm-tech,6/13/2022,"How to think, move, act like a farmer with precision autonomous farm tech: Bansal&nbsp;&nbsp;FierceElectronics",FierceElectronics,Sensors-Wireless
Transforming intrusion alarm systems with power-intelligent analog computing architecture - FierceElectronics,https://www.fierceelectronics.com/sensors/transforming-intrusion-alarm-systems-power-intelligent-analog-computing-architecture,6/8/2022,Transforming intrusion alarm systems with power-intelligent analog computing architecture&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Wireless
Renesas to buy Reality AI for embedded and tinyML products in non-visual sensing - FierceElectronics,https://www.fierceelectronics.com/sensors/renesas-buy-reality-ai-embedded-and-tinyml-products-non-visual-sensing,6/9/2022,Renesas to buy Reality AI for embedded and tinyML products in non-visual sensing&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Wireless
Smart Locks to Smarter Security Systems: Twelve Tips from Alarm.com For New Homeowners and Recent Movers - Valdosta Daily Times,https://www.valdostadailytimes.com/news/business/smart-locks-to-smarter-security-systems-twelve-tips-from-alarm-com-for-new-homeowners-and/article_61e36b25-4dbb-5d3f-a443-74647f471464.html,6/8/2022,Smart Locks to Smarter Security Systems: Twelve Tips from Alarm.com For New Homeowners and Recent Movers&nbsp;&nbsp;Valdosta Daily Times,Valdosta Daily Times,Sensors-Wireless
5 expert tips on introducing a smart factory system: Whitley - FierceElectronics,https://www.fierceelectronics.com/sensors/5-expert-tips-introducing-smart-factory-system-whitley,6/10/2022,5 expert tips on introducing a smart factory system: Whitley&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Wireless
How lidar hardware and perception software aid OEM differentiation: Sharma - FierceElectronics,https://www.fierceelectronics.com/sensors/how-lidar-hardware-and-perception-software-aid-oem-differentiation-sharma,6/14/2022,How lidar hardware and perception software aid OEM differentiation: Sharma&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Wireless
"DevAppSol, India's #1 Private LORAWAN Provider Develops World's Lowest Powered Ultra-Small Multi Sensor Devices - Pro News Report",https://pronewsreport.com/2022/05/25/devappsol-indias-1-private-lorawan-provider-develops-worlds-lowest-powered-ultra-small-multi-sensor-devices/,5/25/2022,"DevAppSol, India's #1 Private LORAWAN Provider Develops World's Lowest Powered Ultra-Small Multi Sensor Devices&nbsp;&nbsp;Pro News Report",Pro News Report,Sensors-Wireless
Astrocast acquiring Hiber as IoT M&A activity heats up - FierceElectronics,https://www.fierceelectronics.com/iot-wireless/astrocast-acquiring-hiber-iot-ma-activity-heats,6/6/2022,Astrocast acquiring Hiber as IoT M&amp;A activity heats up&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Wireless
"Wearable shipments drop first time in 1Q except Apple, IDC says - FierceElectronics",https://www.fierceelectronics.com/sensors/wearable-shipments-drop-first-time-1q-except-apple-idc-says,6/7/2022,"Wearable shipments drop first time in 1Q except Apple, IDC says&nbsp;&nbsp;FierceElectronics",FierceElectronics,Sensors-Wireless
Arm aims new image signal processor at IoT embedded computer vision apps - FierceElectronics,https://www.fierceelectronics.com/iot-wireless/arm-aims-new-image-signal-processor-iot-embedded-computer-vision-apps,6/8/2022,Arm aims new image signal processor at IoT embedded computer vision apps&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Wireless
Death of 3G? No Problem. We've Got Satellites. - Storm Water Solutions,https://www.estormwater.com/storm-water-monitoring-equipment/death-3g-no-problem-weve-got-satellites,5/17/2022,Death of 3G? No Problem. We've Got Satellites.&nbsp;&nbsp;Storm Water Solutions,Storm Water Solutions,Sensors-Wireless
Dynamic spectrum sharing between active and passive users above 100 GHz | Communications Engineering - Nature.com,https://www.nature.com/articles/s44172-022-00002-x,5/26/2022,Dynamic spectrum sharing between active and passive users above 100 GHz | Communications Engineering&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Wireless
How AI is supporting wildlife and site protection - Ericsson,https://www.ericsson.com/en/blog/2021/11/ai-for-protecting-mangroves-site-protection,11/5/2021,How AI is supporting wildlife and site protection&nbsp;&nbsp;Ericsson,Ericsson,Sensors-Wireless
AMD and Qualcomm team up on business laptop silicon - FierceElectronics,https://www.fierceelectronics.com/iot-wireless/amd-and-qualcomm-team-business-laptop-silicon,5/17/2022,AMD and Qualcomm team up on business laptop silicon&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Wireless
"Lattice launches ORAN stack, new FPGA with security in mind - FierceElectronics",https://www.fierceelectronics.com/iot-wireless/lattice-launches-oran-solutions-stack-new-fpga-security-mind,6/1/2022,"Lattice launches ORAN stack, new FPGA with security in mind&nbsp;&nbsp;FierceElectronics",FierceElectronics,Sensors-Wireless
Canon EOS R3 review - Space.com,https://www.space.com/canon-eos-r3-review,6/10/2022,Canon EOS R3 review&nbsp;&nbsp;Space.com,Space.com,Sensors-Wireless
