Title,Link,pubDate,Description,Source,Tag
Kansas Wildlife and Parks Commission to Meet on June 23 - Kansas Department of Wildlife and Parks,https://ksoutdoors.com/KDWP-Info/News/Weekly-News/6-10-22-Kansas-Wildlife-and-Parks-Commission-to-Meet-on-June-23/Kansas-Wildlife-and-Parks-Commission-to-Meet-on-June-23,6/10/2022,Kansas Wildlife and Parks Commission to Meet on June 23&nbsp;&nbsp;Kansas Department of Wildlife and Parks,Kansas Department of Wildlife and Parks,Telemetry
Nature Notes: Using light-level geolocators to track birds - Victoria Advocate,https://www.victoriaadvocate.com/news/local/nature-notes-using-light-level-geolocators-to-track-birds/article_51fc2ac4-e5a8-11ec-8014-c39dca5dcb85.html,6/9/2022,Nature Notes: Using light-level geolocators to track birds&nbsp;&nbsp;Victoria Advocate,Victoria Advocate,Telemetry
"CO Reports: ATV violations reported, burning regulations in place - Brainerd Dispatch",https://www.brainerddispatch.com/sports/northland-outdoors/co-reports-atv-violations-reported-burning-regulations-in-place,6/14/2022,"CO Reports: ATV violations reported, burning regulations in place&nbsp;&nbsp;Brainerd Dispatch",Brainerd Dispatch,Telemetry
BlackBerry Launches new Zero Trust Network Access (ZTNA) Solution with CylanceGATEWAY - PR Newswire,https://www.prnewswire.com/news-releases/blackberry-launches-new-zero-trust-network-access-ztna-solution-with-cylancegateway-301562518.html,6/7/2022,BlackBerry Launches new Zero Trust Network Access (ZTNA) Solution with CylanceGATEWAY&nbsp;&nbsp;PR Newswire,PR Newswire,Telemetry
Wildlife Leadership Academy sparks passion among teens - Sunbury Daily Item,https://www.dailyitem.com/wildlife-leadership-academy-sparks-passion-among-teens/article_40528c0e-5f71-11ec-8255-67a30906b525.html,12/19/2021,Wildlife Leadership Academy sparks passion among teens&nbsp;&nbsp;Sunbury Daily Item,Sunbury Daily Item,Telemetry
From tiger to snow leopard: 50 years of conservation science in India - Scroll.in,https://scroll.in/article/1017452/from-tiger-to-snow-leopard-50-years-of-conservation-science-in-india,2/16/2022,From tiger to snow leopard: 50 years of conservation science in India&nbsp;&nbsp;Scroll.in,Scroll.in,Telemetry
The Women Scientists Behind Decades of Bog Turtle Research - The Nature Conservancy,https://www.nature.org/en-us/about-us/where-we-work/united-states/massachusetts/stories-in-massachusetts/women-scientists-bog-turtle-research/,4/7/2022,The Women Scientists Behind Decades of Bog Turtle Research&nbsp;&nbsp;The Nature Conservancy,The Nature Conservancy,Telemetry
Federal agency outlines a plan to curb illegal killings of imperiled Mexican gray wolf - The Arizona Republic,https://www.azcentral.com/story/news/local/arizona-environment/2022/04/14/federal-agency-releases-plan-curb-mexican-gray-wolf-killings/7315270001/,4/14/2022,Federal agency outlines a plan to curb illegal killings of imperiled Mexican gray wolf&nbsp;&nbsp;The Arizona Republic,The Arizona Republic,Telemetry
Effects of physical parameters on fish migration between a reservoir and its tributaries | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-12231-3,5/23/2022,Effects of physical parameters on fish migration between a reservoir and its tributaries | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Telemetry
CO Reports: Busy opener in the mine pit lakes - Brainerd Dispatch,https://www.brainerddispatch.com/sports/northland-outdoors/co-reports-busy-opener-in-the-mine-pit-lakes,5/17/2022,CO Reports: Busy opener in the mine pit lakes&nbsp;&nbsp;Brainerd Dispatch,Brainerd Dispatch,Telemetry
AGCO Stock Is A Buy On Strong Growth Prospects (NYSE:AGCO) - Seeking Alpha,https://seekingalpha.com/article/4513322-agco-stock-buy-room-to-grow,5/20/2022,AGCO Stock Is A Buy On Strong Growth Prospects (NYSE:AGCO)&nbsp;&nbsp;Seeking Alpha,Seeking Alpha,Telemetry
Careers and Internships | US Fish & Wildlife Service - US Fish and Wildlife Service,https://www.fws.gov/careers,2/24/2022,Careers and Internships | US Fish & Wildlife Service&nbsp;&nbsp;US Fish and Wildlife Service,US Fish and Wildlife Service,Telemetry
Federal agency counts a record number of Mexican gray wolves - The Arizona Republic,https://www.azcentral.com/story/news/local/arizona-environment/2022/03/31/federal-agency-counts-record-number-mexican-gray-wolves/7221220001/,3/31/2022,Federal agency counts a record number of Mexican gray wolves&nbsp;&nbsp;The Arizona Republic,The Arizona Republic,Telemetry
SCI signs on as B&C Trailblazer in Conservation - goHUNT.com,https://www.gohunt.com/content/news/sci-signs-on-as-b-c-trailblazer-in-conservation,10/7/2021,SCI signs on as B&amp;C Trailblazer in Conservation&nbsp;&nbsp;goHUNT.com,goHUNT.com,Telemetry
