Title,Link,pubDate,Description,Source,Tag
The Society for Conservation Biology - Wiley,https://conbio.onlinelibrary.wiley.com/doi/10.1111/csp2.12743,6/7/2022,The Society for Conservation Biology&nbsp;&nbsp;Wiley,Wiley,Vehicles
"Off-road vehicles are tearing up N.J.’s Pinelands, says new report - The Philadelphia Inquirer",https://www.inquirer.com/news/new-jersey-pinelands-pine-barrens-wharton-state-forest-off-road-vehicles-20220607.html,6/7/2022,"Off-road vehicles are tearing up N.J.’s Pinelands, says new report&nbsp;&nbsp;The Philadelphia Inquirer",The Philadelphia Inquirer,Vehicles
"For wildlife on Brazil's highways, roadkill is just the tip of the iceberg - Mongabay.com",https://news.mongabay.com/2022/05/for-wildlife-on-brazils-highways-roadkill-is-just-the-tip-of-the-iceberg/,5/25/2022,"For wildlife on Brazil's highways, roadkill is just the tip of the iceberg&nbsp;&nbsp;Mongabay.com",Mongabay.com,Vehicles
How you can help turtles | US Fish & Wildlife Service - US Fish and Wildlife Service,https://www.fws.gov/story/how-you-can-help-turtles,5/19/2022,How you can help turtles | US Fish & Wildlife Service&nbsp;&nbsp;US Fish and Wildlife Service,US Fish and Wildlife Service,Vehicles
CSRWire - Green Mountain Energy Sun Club Funds Sustainable Upgrades for Wildlife Conservation Society's Bronx Zoo - CSRwire.com,https://www.csrwire.com/press_releases/744791-green-mountain-energy-sun-club-funds-sustainable-upgrades-wildlife,5/17/2022,CSRWire - Green Mountain Energy Sun Club Funds Sustainable Upgrades for Wildlife Conservation Society's Bronx Zoo&nbsp;&nbsp;CSRwire.com,CSRwire.com,Vehicles
Which way ahead for biodiversity conservation? Answer may lie in communities - Down To Earth Magazine,https://www.downtoearth.org.in/blog/wildlife-and-biodiversity/which-way-ahead-for-biodiversity-conservation-answer-may-lie-in-communities-82955,5/22/2022,Which way ahead for biodiversity conservation? Answer may lie in communities&nbsp;&nbsp;Down To Earth Magazine,Down To Earth Magazine,Vehicles
Tanzania: Thousands of Maasai flee into the bush after dozens shot and detained following evictions for trophy hunting and conservation - Survival International,https://www.survivalinternational.org/news/13051,6/13/2022,Tanzania: Thousands of Maasai flee into the bush after dozens shot and detained following evictions for trophy hunting and conservation&nbsp;&nbsp;Survival International,Survival International,Vehicles
Zimbabwe Wants African Ivory Sales to Fund Elephant Conservation - Foreign Policy,https://foreignpolicy.com/2022/06/12/africa-ivory-trade-zimbabwe-elephant-poaching-conservation/,6/12/2022,Zimbabwe Wants African Ivory Sales to Fund Elephant Conservation&nbsp;&nbsp;Foreign Policy,Foreign Policy,Vehicles
Environmental Conservation Police on Patrol - NYS Dept. of Environmental Conservation - New York State Department of Environmental Conservation,https://www.dec.ny.gov/press/125534.html,6/9/2022,Environmental Conservation Police on Patrol - NYS Dept. of Environmental Conservation&nbsp;&nbsp;New York State Department of Environmental Conservation,New York State Department of Environmental Conservation,Vehicles
Assessing The Environmental Impacts Of The War In Ukraine | Scoop News - Scoop,https://www.scoop.co.nz/stories/WO2206/S00165/assessing-the-environmental-impacts-of-the-war-in-ukraine.htm,6/13/2022,Assessing The Environmental Impacts Of The War In Ukraine | Scoop News&nbsp;&nbsp;Scoop,Scoop,Vehicles
Can Humans and Jaguars Coexist? A Wildlife Biologist Uses Technology and Education to Reduce Conflict - Smithsonian Magazine,https://www.smithsonianmag.com/blogs/smithsonian-tropical-research-institute/2022/05/27/can-humans-and-jaguars-coexist-a-wildlife-biologist-uses-technology-and-education-to-reduce-conflict/,5/27/2022,Can Humans and Jaguars Coexist? A Wildlife Biologist Uses Technology and Education to Reduce Conflict&nbsp;&nbsp;Smithsonian Magazine,Smithsonian Magazine,Vehicles
FWC wildlife officer killed in St. Lucie County wrong-way crash identified as Kyle Patterson - WPTV News Channel 5 West Palm,https://www.wptv.com/news/treasure-coast/region-st-lucie-county/fwc-wildlife-officer-killed-in-st-lucie-county-wrong-way-crash-identified-as-kyle-patterson,6/10/2022,FWC wildlife officer killed in St. Lucie County wrong-way crash identified as Kyle Patterson&nbsp;&nbsp;WPTV News Channel 5 West Palm,WPTV News Channel 5 West Palm,Vehicles
African conservation parks use Swedish CAKE electric motorbikes to combat wildlife poaching | thepack.news - Electric motorcycle news,https://thepack.news/african-conservation-parks-use-swedish-cake-electric-motorbikes-to-combat-wildlife-poaching/,6/10/2022,African conservation parks use Swedish CAKE electric motorbikes to combat wildlife poaching | thepack.news&nbsp;&nbsp;Electric motorcycle news,Electric motorcycle news,Vehicles
"Nepal's key habitat could lose 39% of its tigers in 20 years, study says - Mongabay.com",https://news.mongabay.com/2022/05/study-warns-of-increased-tiger-roadkill-risk-on-roads-near-nepal-park/,5/30/2022,"Nepal's key habitat could lose 39% of its tigers in 20 years, study says&nbsp;&nbsp;Mongabay.com",Mongabay.com,Vehicles
1.7 million hunters and fishers give $66 million to Michigan wildlife conservation - The Center Square,https://www.thecentersquare.com/michigan/1-7-million-hunters-and-fishers-give-66-million-to-michigan-wildlife-conservation/article_5268fefa-e67b-11ec-b706-9fec849f8f8e.html,6/7/2022,1.7 million hunters and fishers give $66 million to Michigan wildlife conservation&nbsp;&nbsp;The Center Square,The Center Square,Vehicles
Barn Hill Preserve Is A Louisiana Haven For The World’s Coolest Creatures - Only In Your State,https://www.onlyinyourstate.com/louisiana/barn-hill-preserve-small-business-spotlight-la/,6/14/2022,Barn Hill Preserve Is A Louisiana Haven For The World’s Coolest Creatures&nbsp;&nbsp;Only In Your State,Only In Your State,Vehicles
Lassen National Park Highway Open To Vehicles - National Parks Traveler,https://www.nationalparkstraveler.org/2022/06/lassen-national-park-highway-open-vehicles,6/4/2022,Lassen National Park Highway Open To Vehicles&nbsp;&nbsp;National Parks Traveler,National Parks Traveler,Vehicles
Number of Greater One-Horned Rhinos Reaches New High – Up From Just 100 Individuals - Good News Network,https://www.goodnewsnetwork.org/number-of-greater-one-horned-rhinos-reaches-new-high/,5/17/2022,Number of Greater One-Horned Rhinos Reaches New High – Up From Just 100 Individuals&nbsp;&nbsp;Good News Network,Good News Network,Vehicles
Officials: 3 Florida panthers struck and killed by vehicles - WPLG Local 10,https://www.local10.com/news/florida/2022/05/17/officials-3-florida-panthers-struck-and-killed-by-vehicles/,5/17/2022,Officials: 3 Florida panthers struck and killed by vehicles&nbsp;&nbsp;WPLG Local 10,WPLG Local 10,Vehicles
SC order on eco-sensitive zones may not pass the scientific test - The News Minute,https://www.thenewsminute.com/article/sc-order-eco-sensitive-zones-may-not-pass-scientific-test-164937,6/14/2022,SC order on eco-sensitive zones may not pass the scientific test&nbsp;&nbsp;The News Minute,The News Minute,Vehicles
B.C. Wildlife Federation wants critical areas of fire-damaged Thompson-Okanagan roads off-limits for vehicles - CFJC Today Kamloops,https://cfjctoday.com/2022/06/09/b-c-wildlife-federation-wants-critical-areas-of-fire-damaged-thompson-okanagan-roads-off-limits-for-vehicles/,6/9/2022,B.C. Wildlife Federation wants critical areas of fire-damaged Thompson-Okanagan roads off-limits for vehicles&nbsp;&nbsp;CFJC Today Kamloops,CFJC Today Kamloops,Vehicles
"Odisha: In boon for tourists, Debrigarh divided into seven sub-zones - Times of India",https://timesofindia.indiatimes.com/city/bhubaneswar/in-boon-for-tourists-debrigarh-divided-into-seven-sub-zones/articleshow/92137017.cms,6/10/2022,"Odisha: In boon for tourists, Debrigarh divided into seven sub-zones&nbsp;&nbsp;Times of India",Times of India,Vehicles
"From CPP: Elk and other large species in NC mountains constrained by changing habitats, human activity - Mountain Xpress",https://mountainx.com/news/from-cpp-elk-and-other-large-species-in-nc-mountains-constrained-by-changing-habitats-human-activity/,5/26/2022,"From CPP: Elk and other large species in NC mountains constrained by changing habitats, human activity&nbsp;&nbsp;Mountain Xpress",Mountain Xpress,Vehicles
Large-scale logging in Cambodia's Prey Lang linked to politically-connected mining operation - Mongabay.com,https://news.mongabay.com/2022/05/large-scale-logging-in-cambodias-prey-lang-linked-to-politically-connected-mining-operation/,5/26/2022,Large-scale logging in Cambodia's Prey Lang linked to politically-connected mining operation&nbsp;&nbsp;Mongabay.com,Mongabay.com,Vehicles
"Tenerife’s most beautiful national park and protected areas, from pine forests to volcanic peaks - Lonely Planet Travel News",https://www.lonelyplanet.com/articles/best-national-parks-tenerife,5/31/2022,"Tenerife’s most beautiful national park and protected areas, from pine forests to volcanic peaks&nbsp;&nbsp;Lonely Planet Travel News",Lonely Planet Travel News,Vehicles
Watch: Tiger Siblings Playing In The Wild Win Over Internet - NDTV,https://www.ndtv.com/offbeat/video-of-playful-tiger-siblings-wins-over-the-internet-3065101,6/14/2022,Watch: Tiger Siblings Playing In The Wild Win Over Internet&nbsp;&nbsp;NDTV,NDTV,Vehicles
Should Split Oak wildlife refuge become a dog's world? - Orlando Sentinel,https://www.orlandosentinel.com/news/environment/os-ne-florida-dog-in-wilderness-20220518-cadgszmkjvekndmiamhxbk3mo4-story.html,5/18/2022,Should Split Oak wildlife refuge become a dog's world?&nbsp;&nbsp;Orlando Sentinel,Orlando Sentinel,Vehicles
13 Fish Poachers Busted After Taking Hundreds of Whitefish - MeatEater,https://www.themeateater.com/conservation/wildlife-management/13-fish-poachers-busted-after-taking-hundreds-of-whitefish,6/8/2022,13 Fish Poachers Busted After Taking Hundreds of Whitefish&nbsp;&nbsp;MeatEater,MeatEater,Vehicles
