Tag,Query,Uploaded?,Web of Science Query
Sensors,"Protected Areas, Conservation, Wildlife ""Sensors"" when:1y",Done,(TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity))))))
Sensors-Marine,"Marine OR Aquatic AND (Wildlife OR Protected Areas OR Conservation) Sensing Technology when:1y",Done,(TS=(Marine) OR TS=(Aquatic)) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity))))))
Sensors-Remote,"Wildlife OR Protected Areas OR Conservation ""Remote Sensing"" when:1y",Done,(TS=(Wireless) OR TS=(Remote)) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2019) AND ((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))
Sensors-Wireless,"Wildlife OR Protected Areas OR Conservation Wireless Sensors when:1y",Done,(TS=(Wireless) OR TS=(Remote)) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2020-2022) AND ((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))
Sensors-Optical,,,TS=(Optical Sensors) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Sensors-Thermal,,,TS=(Thermal Sensors) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Sensors-Spectral,,,TS=(Spectral Sensors) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Sensors-Radar,,,TS=(Radar) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Sensors-Lidar,,,TS=(Lidar) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Sensors-Motion,,,(TS=(Motion Sensors) OR TS=(Position Sensors)) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Sensors-Sonar,,,TS=(Sonar) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Sensors-Vibration,,,TS=(Vibration Sensors) AND (TS=(Sensing) OR TS=(Sensors)) AND PY=(2017-2022) AND (((((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))))) 
Imagery-Remote,,,(TS=(Remote imagery) OR TS=(Remote Sensing)) AND PY=(2017-2022) AND TS=(Conservation) AND TS=(Wildlife)
Fire-Monitoring,,,TS=(Fire) AND (TS=(Sensors) OR TS=(Sensing) OR TS=(Monitoring)) AND (TS=(Wildlife) OR (TS=(Conservation) AND (TS=(Biodiversity) OR TS=(Animals)))) AND PY=(2017-2022)
Fire-Monitoring-2,,,(TS=(Forest Fire Monitoring) OR TS=(Forest Fire Prediction)) AND (TS=(Wildlife) OR (TS=(Conservation) AND WC=(Biodiversity Conservation))) AND PY=(2017-2022)
Trackers,,,TS=(Tracker) AND PY=(2017-2022) AND ((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity))) NOT TS=(Review)
Vehicles,,,TS=(Vehicle) AND PY=(2017-2022) AND ((TS=(Wildlife) OR TS=(Protected Areas) OR TS=(Conservation)) AND (TS=(Animals) OR TS=(Biodiversity)))
Camera-Traps,,,TS=(Wildlife) AND AK=(Camera traps) AND (WC=(Remote Sensing) OR WC=(Ecology) OR WC=(Biodiversity Conservation) OR TS=(Monitoring)) AND PY=(2017-2022)
Camera-Conservation,,,"(TS=(""camera trapping"") OR TS=(camera traps)) AND PY=(2017-2022) AND WC=(Biodiversity Conservation) AND (TS=(protected areas) OR TS=(conservation)) OR (TS=(""camera trapping"") OR TS=(camera traps)) AND PY=(2017-2022) AND (TS=(protected areas) OR TS=(conservation)) AND TS=(Wildlife)"
Sensors-Poaching,,,(TS=(Poachers) OR TS=(Poaching)) AND (TS=(Cameras) OR TS=(Sensors) OR TS=(Detectors)) AND (TS=(Wildlife) OR (TS=(Conservation) AND (TS=(Animals) OR TS=(Biodiversity))))
