Title,Link,pubDate,Description,Source,Category
Photos of Amazon animals supply extensive collection of biodiversity data - Mirage News,https://www.miragenews.com/photos-of-amazon-animals-supply-extensive-792797/,2022/06/01,Photos of Amazon animals supply extensive collection of biodiversity data&nbsp;&nbsp;Mirage News,Mirage News,Sensors
Current Affairs in Short: 8 June 2022 - Jagran Josh,https://www.jagranjosh.com/current-affairs/current-affairs-in-short-8-june-2022-1654690783-1,2022/06/08,Current Affairs in Short: 8 June 2022&nbsp;&nbsp;Jagran Josh,Jagran Josh,Sensors
Acoustic sensors to pinpoint shooters in an urban setting - Verve Times,https://vervetimes.com/acoustic-sensors-to-pinpoint-shooters-in-an-urban-setting/,2022/05/24,Acoustic sensors to pinpoint shooters in an urban setting&nbsp;&nbsp;Verve Times,Verve Times,Sensors
IoT to Enable Smart Environmental Monitoring - IoT For All,https://www.iotforall.com/iot-to-enable-smart-environmental-monitoring,2022/06/03,IoT to Enable Smart Environmental Monitoring&nbsp;&nbsp;IoT For All,IoT For All,Sensors
Voluntary consensus based geospatial data standards for the global illegal trade in wild fauna and flora | Scientific Data - Nature.com,https://www.nature.com/articles/s41597-022-01371-w,2022/06/03,Voluntary consensus based geospatial data standards for the global illegal trade in wild fauna and flora | Scientific Data&nbsp;&nbsp;Nature.com,Nature.com,Sensors
Swimming with sharks and debunking misinformation — all part of the job of a shark scientist - CBC.ca,https://www.cbc.ca/radio/quirks/may-28-flying-salamanders-headbutting-animals-and-brain-damage-undersea-cable-sensors-and-more-1.6467018/swimming-with-sharks-and-debunking-misinformation-all-part-of-the-job-of-a-shark-scientist-1.6467032,2022/05/27,Swimming with sharks and debunking misinformation — all part of the job of a shark scientist&nbsp;&nbsp;CBC.ca,CBC.ca,Sensors
Polar bear conservation research aided by SFU radar technology - SFU News - Simon Fraser University News,https://www.sfu.ca/sfunews/stories/2022/05/polar-bear-conservation-research-aided-by-sfu-radar-technology-.html,2022/05/30,Polar bear conservation research aided by SFU radar technology - SFU News&nbsp;&nbsp;Simon Fraser University News,Simon Fraser University News,Sensors
Novel Technologies To Protect Our Oceans - Scoop,https://pacific.scoop.co.nz/2022/06/novel-technologies-to-protect-our-oceans/,2022/06/02,Novel Technologies To Protect Our Oceans&nbsp;&nbsp;Scoop,Scoop,Sensors
"Global collision-risk hotspots of marine traffic and the world's largest fish, the whale shark | Proceedings of the National Academy of Sciences - pnas.org",https://www.pnas.org/doi/10.1073/pnas.2117440119,2022/05/10,"Global collision-risk hotspots of marine traffic and the world's largest fish, the whale shark | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org",pnas.org,Sensors
Find my elephant: The conservation apps revolutionizing how rangers work - Mongabay.com,https://news.mongabay.com/2021/08/find-my-elephant-the-conservation-apps-revolutionizing-how-rangers-work/,2021/08/30,Find my elephant: The conservation apps revolutionizing how rangers work&nbsp;&nbsp;Mongabay.com,Mongabay.com,Sensors
