Title,Link,pubDate,Description,Source,Tag
Sea turtle conservation gets boost from new DNA detection method - University of Florida,https://news.ufl.edu/2022/05/sea-turtle-edna/,5/24/2022,Sea turtle conservation gets boost from new DNA detection method&nbsp;&nbsp;University of Florida,University of Florida,Sensors-Marine
"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology - CBC News",https://www.cbc.ca/news/world/galapagos-illegal-fishing-satellite-technology-1.6469424,6/4/2022,"To fight illegal fishing in the Galapagos, Ecuador turns to Canadian satellite and sensing technology&nbsp;&nbsp;CBC News",CBC News,Sensors-Marine
New app aims to take a bite out of illegal shark fin trade - Conservation International,https://www.conservation.org/blog/new-app-aims-to-take-a-bite-out-of-illegal-shark-fin-trade,6/8/2022,New app aims to take a bite out of illegal shark fin trade&nbsp;&nbsp;Conservation International,Conservation International,Sensors-Marine
Emerging technology gives first ever global view of hidden vessels - GlobeNewswire,https://www.globenewswire.com/news-release/2022/06/08/2458326/0/en/Emerging-technology-gives-first-ever-global-view-of-hidden-vessels.html,6/8/2022,Emerging technology gives first ever global view of hidden vessels&nbsp;&nbsp;GlobeNewswire,GlobeNewswire,Sensors-Marine
Emerging Marine Monitoring Technologies Enable More Effective Management of Protected Areas - The Pew Charitable Trusts,https://www.pewtrusts.org/research-and-analysis/articles/2021/09/27/emerging-marine-monitoring-technologies-enable-more-effective-management-of-protected-areas,9/27/2021,Emerging Marine Monitoring Technologies Enable More Effective Management of Protected Areas&nbsp;&nbsp;The Pew Charitable Trusts,The Pew Charitable Trusts,Sensors-Marine
IKIN ships holographic ARC terminal with no need for goggles - FierceElectronics,https://www.fierceelectronics.com/sensors/ikin-arc-ships-commercial-holographic-desktop-terminal-no-need-goggles,6/13/2022,IKIN ships holographic ARC terminal with no need for goggles&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Marine
Blue Bonds in Ecuador: An Innovative Approach to Conservation - Global Americans,https://theglobalamericans.org/2022/05/blue-bonds-in-ecuador/,5/24/2022,Blue Bonds in Ecuador: An Innovative Approach to Conservation&nbsp;&nbsp;Global Americans,Global Americans,Sensors-Marine
Interannual fluctuations in connectivity among crab populations (Liocarcinus depurator) along the Atlantic-Mediterranean transition | Scientific Reports - Nature.com,https://www.nature.com/articles/s41598-022-13941-4,6/13/2022,Interannual fluctuations in connectivity among crab populations (Liocarcinus depurator) along the Atlantic-Mediterranean transition | Scientific Reports&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Marine
Financing conservation by valuing carbon services produced by wild animals | Proceedings of the National Academy of Sciences - pnas.org,https://www.pnas.org/doi/10.1073/pnas.2120426119,5/25/2022,Financing conservation by valuing carbon services produced by wild animals | Proceedings of the National Academy of Sciences&nbsp;&nbsp;pnas.org,pnas.org,Sensors-Marine
LaMDA IQ debate swirls over who (or what) is tone deaf - FierceElectronics,https://www.fierceelectronics.com/sensors/lamdas-iq-raises-debate-over-who-or-what-tone-deaf,6/13/2022,LaMDA IQ debate swirls over who (or what) is tone deaf&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Marine
International Day for Biological Diversity: Israeli tech making a difference - Geektime,https://www.geektime.com/international-day-for-biological-diversity-israeli-tech/,5/22/2022,International Day for Biological Diversity: Israeli tech making a difference&nbsp;&nbsp;Geektime,Geektime,Sensors-Marine
Swimming with sharks and debunking misinformation — all part of the job of a shark scientist - CBC.ca,https://www.cbc.ca/radio/quirks/may-28-flying-salamanders-headbutting-animals-and-brain-damage-undersea-cable-sensors-and-more-1.6467018/swimming-with-sharks-and-debunking-misinformation-all-part-of-the-job-of-a-shark-scientist-1.6467032,5/27/2022,Swimming with sharks and debunking misinformation — all part of the job of a shark scientist&nbsp;&nbsp;CBC.ca,CBC.ca,Sensors-Marine
"Celebrating World Oceans Day, every day - Times of Malta",https://timesofmalta.com/articles/view/celebrating-world-oceans-day-every-day.960248,6/8/2022,"Celebrating World Oceans Day, every day&nbsp;&nbsp;Times of Malta",Times of Malta,Sensors-Marine
2022 Hurricane Season - Louisiana State University,https://www.lsu.edu/mediacenter/news/2022/06/02hurricaneexperts.php,6/2/2022,2022 Hurricane Season&nbsp;&nbsp;Louisiana State University,Louisiana State University,Sensors-Marine
Voluntary consensus based geospatial data standards for the global illegal trade in wild fauna and flora | Scientific Data - Nature.com,https://www.nature.com/articles/s41597-022-01371-w,6/3/2022,Voluntary consensus based geospatial data standards for the global illegal trade in wild fauna and flora | Scientific Data&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Marine
Stony coral tissue loss disease decimated Caribbean coral populations and reshaped reef functionality | Communications Biology - Nature.com,https://www.nature.com/articles/s42003-022-03398-6,6/9/2022,Stony coral tissue loss disease decimated Caribbean coral populations and reshaped reef functionality | Communications Biology&nbsp;&nbsp;Nature.com,Nature.com,Sensors-Marine
5 expert tips on introducing a smart factory system: Whitley - FierceElectronics,https://www.fierceelectronics.com/sensors/5-expert-tips-introducing-smart-factory-system-whitley,6/10/2022,5 expert tips on introducing a smart factory system: Whitley&nbsp;&nbsp;FierceElectronics,FierceElectronics,Sensors-Marine
A 3D approach to protecting biodiversity on the high seas - Phys.org,https://phys.org/news/2022-04-3d-approach-biodiversity-high-seas.html,4/5/2022,A 3D approach to protecting biodiversity on the high seas&nbsp;&nbsp;Phys.org,Phys.org,Sensors-Marine
