Tag                  ,Query                                                                                                                ,Uploaded?
Sensors              ,"Protected Areas, Conservation, Wildlife ""Sensors"" when:1y"                                                        ,Done
Sensors-Marine       ,Marine OR Aquatic AND (Wildlife OR Protected Areas OR Conservation) Sensing Technology when:1y                       ,Done
Sensors-Remote       ,"Wildlife OR Protected Areas OR Conservation ""Remote Sensing"" when:1y"                                             ,Done
Sensors-Wireless     ,Wildlife OR Protected Areas OR Conservation Wireless Sensors when:1y                                                 ,Done
Sensors-Optical      ,"Wildlife OR Protected Areas OR Conservation ""Optical"" Sensors when:1y"                                            ,
Sensors-Thermal      ,"Wildlife OR Protected Areas OR Conservation ""Thermal"" Sensors when:1y"                                            ,
Sensors-Spectral     ,"Wildlife OR Protected Areas OR Conservation ""Spectral"" Sensors when:1y"                                           ,
Sensors-Radar        ,"Wildlife OR Protected Areas OR Conservation ""Radar"" Sensors when:1y"                                              ,
Sensors-Lidar        ,"Wildlife OR Protected Areas OR Conservation ""Lidar"" Sensors when:1y"                                              ,
Sensors-Motion       ,"Wildlife OR Protected Areas OR Conservation ""Motion"" Sensors when:1y"                                             ,
Sensors-Sonar        ,Wildlife OR Protected Areas OR Conservation Sonar Technology when:1y                                                 ,
Sensors-Vibration    ,"Wildlife OR Protected Areas OR Conservation ""Vibration"" Sensors when:1y"                                          ,
Imagery-Remote       ,"Wildlife OR Protected Areas OR Conservation ""Remote"" ""Imagery"" when:1y"                                         ,
Fire-Monitoring      ,Wildlife OR Protected Areas OR Conservation Fire Monitoring Technology when:1y                                       ,
Vehicles             ,"Wildlife OR Protected Areas OR Conservation ""Vehicles"" when:1y"                                                   ,
Tracking             ,"(Wildlife Conservation OR Protected Areas) ""Tracking"" OR ""Trackers"" when:1y"                                    ,
Camera-Traps         ,"Wildlife OR Protected Areas OR Conservation ""Camera Traps"" when:1y"                                               ,
Camera-Conservation  ,Wildlife OR Protected Areas OR Conservation Camera Traps when:1y                                                     ,
Sensors-Poaching     ,Wildlife OR Protected Areas OR Conservation Poaching Traps when:1y                                                   ,
Telemetry            ,"Wildlife OR Protected Areas OR Conservation ""Telemetry"" Equipment when:1y"                                        ,
Sensors-Radio        ,Wildlife OR Protected Areas OR Conservation Radio Technology when:1y                                                 ,
IoT-General          ,Wildlife OR Protected Areas OR Conservation IoT Technology when:1y                                                   ,
Bioacoustics         ,"""Bioacoustics"" when:1y"                                                                                           ,
Acoustics            ,"Wildlife OR Proteced Areas OR Conservation ""Acoustic"" Monitoring Classification when:1y"                          ,
Acoustic-Passive     ,"Wildlife OR Proteced Areas OR Conservation ""Passive Acoustic"" when:1y"                                            ,
Acoustic-Ornithology ,"Wildlife OR Proteced Areas OR Conservation ""Ornithology"" when:1y"                                                 ,
AI-General           ,"Wildlife OR Proteced Areas OR Conservation ""Artificial intelligence"" when:1y"                                     ,
AI-NeuralNetworks    ,"Wildlife OR Proteced Areas OR Conservation ""Neural Networks"" when:1y"                                             ,
AI-CNN               ,"Wildlife OR Proteced Areas OR Conservation ""Convolutional Neural Networks"" when:1y"                               ,
AI-Optimization      ,"Wildlife OR Proteced Areas OR Conservation ""Optimization"" when:1y"                                                ,
AI-Classification    ,Proteced Areas OR Conservation Wildlife Classification Algorithms when:1y                                            ,
AI-LTS               ,Wildlife OR Protected Areas OR Conservation Long Term Support LTS when:1y                                            ,
AI-RL                ,Wildlife OR Protected Areas OR Conservation Regression Learning when:1y                                              ,
AI-GameTheory        ,"Protected Areas OR Conservation ""Wildlife"" ""Game Theory"" when:1y"                                               ,
Drones               ,Wildlife OR Protected Areas OR Conservation (Drones OR Aerial Survey Technology) when:1y                             ,
Drones-Aircraft      ,Wildlife OR Protected Areas OR Conservation (UAV OR Unmanned Aerial Vehicles OR Unoccupied Aircraft Systems) when:1y ,
